user,text,country,id
AfghanNextDoor,b'Fuck it I?ll get my own ps5 ?',Afghanistan,1306613633129025544
tabishayuby,b'Just posted a video https://t.co/Z7Wqq4AZpa',Afghanistan,1306574427539136519
YarRajabi,b'@SediqSediqqi @TOLOnews Update on this please @SediqSediqqi https://t.co/bZnMGEmmR9',Afghanistan,1306545523017633792
ali_sedaqat,b'@YenFinance @cctip_io great',Afghanistan,1306405044930121728
chasewreeves,"b'@ninjabiscuit If you can give me a little info about what you?re looking for, how you travel, favorite music/movies? https://t.co/mbgU6FtsGF'",Afghanistan,1306391515694989312
chasewreeves,b'Useful graph. https://t.co/k11quUmM9e',Afghanistan,1306278768164495361
chasewreeves,b'Mandatory citizen of the earth listening ?  https://t.co/5zdp49YEnv',Afghanistan,1306271077153165315
AfghanNextDoor,"b'80 hours last week, 60 this week, I?m about to book a fat holiday ??'",Afghanistan,1306259580050116608
bashirA61537447,b'@GQaderoghli Congratulation',Afghanistan,1306256626287087617
AfghanNextDoor,b'@zahidsafi19 ??? Nah bro I need to lose weight',Afghanistan,1306192366974492678
AfghanNextDoor,b'@themargieIa What?s the issue ?',Afghanistan,1306192209381916672
lazisomi,b'RT @AfghanNextDoor: I lost 2 followers bcs of this shit I?m crying',Afghanistan,1306124541614194688
_malihaax,"b'RT @AfghanNextDoor: I?m taking ur Mrs , nah brudda im joking ? https://t.co/NOyceluilJ'",Afghanistan,1306057858165989379
AfghanNextDoor,b'She?s growing up too fast ?? https://t.co/3QglzAg9fS https://t.co/S3az2pGXn1',Afghanistan,1306035954612871168
AfghanNextDoor,b'@sxra_kxraganie Why do men what ?',Afghanistan,1306035197297782785
SekandariNasir,"b'@JillanHabiba Yes, her poems are really beautiful?? ..'",Afghanistan,1305942084554297344
SamiullahHamid8,b'RT @FereshtaYusufi: show-off with my Afghan clothes ... https://t.co/EX8Py9BGDQ',Afghanistan,1305712391313920001
chasewreeves,b'@fortelabs Families can be weapons of mass dysfunction.',Afghanistan,1305696275942178817
edexistant,b'RT @chasewreeves: I wrote this. https://t.co/Y3NoxB75Af https://t.co/WFZqq1lV3r',Afghanistan,1305683006988804097
chasewreeves,b'I wrote this. https://t.co/Y3NoxB75Af https://t.co/WFZqq1lV3r',Afghanistan,1305589846262517761
chasewreeves,"b'@jessedriftwood1 Ugh, i?m so sorry. That sucks man. Violation.'",Afghanistan,1305575151837143040
chasewreeves,"b'@jonnastor I actually love that :) go straight to the source, keep your opinions off my lawn.'",Afghanistan,1305574952154800128
chasewreeves,b'Look at this cool guy just making stuff and finding a way to sell it. https://t.co/Mjz28nUPHm',Afghanistan,1305574679579557888
chasewreeves,b'Is this on Bloomberg? https://t.co/MSOaFCnLGP',Afghanistan,1305563936373178369
chasewreeves,b'@andyjpdx Loving your buns from far away.',Afghanistan,1305530626548719617
chasewreeves,b'My mom saw me give my wife a little butt squeeze. ?That?s a nice little butt tap. Butt taps really help.? \n\n#TheMoreYouKnow',Afghanistan,1305530265482096640
hashimi3mustafa,"b'I believe this world is a damaged place, and if you can find a sliver of happiness, stay in it as long as you can.'",Afghanistan,1305474616031432704
mujtaba43897411,b'@KhawajaMAsif Yes really god is with you https://t.co/t3i825CfGv',Afghanistan,1305337725311168512
chasewreeves,b'Breath work. Nervous system.  https://t.co/a3JIImgymk',Afghanistan,1305263977572610049
chasewreeves,b'Smoke driving.  https://t.co/qkqWUlCCDO',Afghanistan,1305259483384303618
FereshtaYusufi,b'@BeingMonib Absolutely Sir',Afghanistan,1305204092889948160
FereshtaYusufi,b'@BeingMonib Thanks ?',Afghanistan,1305202632487849986
EsmaeilHasan,b'The great click of today from #DohaTalks in Qatar.\n\n@FForotan https://t.co/J9RGtelW32',Afghanistan,1305190528036868097
sherivwphoto,"b'RT @chasewreeves: Haven?t read her books yet, but her tweets are {chef?s kiss}.'",Afghanistan,1305175839361789952
chasewreeves,"b'Haven?t read her books yet, but her tweets are {chef?s kiss}. https://t.co/oX2FsYxKEf'",Afghanistan,1305163240440094720
S_MIRA_S35,b'RT @FereshtaYusufi: show-off with my Afghan clothes ... https://t.co/EX8Py9BGDQ',Afghanistan,1305118405607985154
fuso82,b'RT @chasewreeves: ?This may be the only therapy you need.? ~ @ragecreate \n\nThis was so good ?\n\nhttps://t.co/Lk11C9SWvE',Afghanistan,1305047515788701699
chasewreeves,b'@egondickau Down in the Bay Area. We got away ok to regroup.',Afghanistan,1304994032108494848
chasewreeves,b'?This may be the only therapy you need.? ~ @ragecreate \n\nThis was so good ?\n\nhttps://t.co/Lk11C9SWvE',Afghanistan,1304987706666020864
chasewreeves,b'Respect ? https://t.co/RF0kyvNsAh',Afghanistan,1304980793056358400
chasewreeves,b'@MattGiovanisci Oh? Thx for the heads up.',Afghanistan,1304947370606567424
Baracshahi,b'RT @FereshtaYusufi: show-off with my Afghan clothes ... https://t.co/EX8Py9BGDQ',Afghanistan,1304854892759183369
FereshtaYusufi,b'@asifrasool1979 Thanks \nIn Kabul',Afghanistan,1304854706536275968
