user,text,country,id
Mjaltehojesh,b'I loved you but you need to know that I have changed \nOu https://t.co/9XKlTaU2fW',Albania,1306661367471054849
eliveizaj,b'The Best of Liszt https://t.co/5PoDSzicdy via @YouTube',Albania,1306520455508094978
originalzachk,b'Hadda get some new VLone Hadda do this shit on my own ? @ Vlone https://t.co/Y1u1RqKJzl',Albania,1306389703273459713
PolXhaferi,"b""@windyoshi @RobCounts @OnEdgeOfWonder No. That is a very good video. I'm talking about the one Ben posted. At first? https://t.co/9lkpn0mTHv""",Albania,1306341759895691270
PolXhaferi,b'@windyoshi @RobCounts @OnEdgeOfWonder Yes. And this video seems to be old.',Albania,1306328221550628864
sweetie_pie0906,b'Java e pare e shkolles is the new Fashion week.',Albania,1306203639929765889
banago,"b'@betimdrenica @oaarifi @PayPal @stripe @braintree Albania, of course.'",Albania,1306175860479844353
Eriwhitemartian,"b'@bjondiinab Damn ,cancel auntie!!??'",Albania,1306171210359861250
Eriwhitemartian,b'@bjondiinab Well if you trying to look like those skinny models you will definitely die from anorexia',Albania,1306166630746124289
eliveizaj,b'George Michael: Live in London 2009 (Trailer) https://t.co/BRSzUcFh5i via @YouTube',Albania,1306148954019696640
banago,"b""@Abuamerican I think C63 is what I'm going to get next. But I also cannot wait to get my hands on an electric car.""",Albania,1306140852075540481
SiboraXhemali,b'RT @BesiStefa: Vlorida ?u never looked so beautiful before??? https://t.co/pOl86zttcv',Albania,1306108528168493057
banago,b'@Abuamerican What do you find wrong with electric cars?',Albania,1305932659017822210
LoriBazaj,"b'I should just be a bony bitch forever, its so much easier'",Albania,1305923961176326144
LoriBazaj,"b'Im soo weak nowwwww, why i gotta build up my muscles all over again ?'",Albania,1305923800438013953
VloraYouth,b'International Day of Democracy @SwedeninAL @Palmecenter https://t.co/jz42kFy7L4',Albania,1305855091463856131
banago,"b""That's a good jab ? https://t.co/2dVRqRhlve""",Albania,1305827265972928513
NacoDritan,b'RT @BesiStefa: Vlorida ?u never looked so beautiful before??? https://t.co/pOl86zttcv',Albania,1305826766641078272
banago,b'This is nice. https://t.co/UyZgxW7Xyt',Albania,1305800366072754179
retroalbania,b'RT @BesiStefa: Vlorida ?u never looked so beautiful before??? https://t.co/pOl86zttcv',Albania,1305793367113117696
BesiStefa,b'Vlorida ?u never looked so beautiful before??? https://t.co/pOl86zttcv',Albania,1305782863938363392
eliveizaj,"b'Beethoven\'s Symphony No. 9 ""Ode to Joy"" https://t.co/AzQ7DnL000 via @YouTube'",Albania,1305686214746537985
eliveizaj,"b'Mary J. Blige, U2 - One (Official Music Video) https://t.co/4BvfDWE58L via @YouTube \nIs it getting better'",Albania,1305533603019980802
eliveizaj,b'If I Can Dream - Elvis Presley with the Royal Philharmonic Orchestra  [ ... https://t.co/FMWMYjsqj8 via @YouTube \nA? https://t.co/0UBF9i4wsX',Albania,1305452725061193729
LoriBazaj,b'@JannatMian Speaking facts my baby ?',Albania,1305341343972167680
Raimond99036320,b'@TIME What is the meaning of the word Mulan ?',Albania,1305324935808778240
Eriwhitemartian,"b'@bjondiinab Hell nahh, fuck this guy'",Albania,1305150053888253952
Raimond99036320,b'@nytimes Wow ! Like  Virgin Mary lol',Albania,1304924163715534848
Raimond99036320,b'@CNN God send a ?touching ? message to him  lol',Albania,1304923106662850560
PolXhaferi,"b""@erikgs19 @photogater @bigbellypdx @AKLLL49 @FBIPortland Why not? Isn't now the perfect time for chaos ? Right befo? https://t.co/0Rxao7Lnn1""",Albania,1304920734830034945
PolXhaferi,b'@erikgs19 @photogater @bigbellypdx @AKLLL49 @FBIPortland Fire was invented a lot of time ago.  Antifa just uses it? https://t.co/eAzhbyI0ap',Albania,1304917873983397888
PolXhaferi,"b'@Reed85824244 @FBIPortland Noo kids! The FBI is lying! Trying to make a fool/stupid of ordinary people , by using k? https://t.co/jgvFiFp8Uc'",Albania,1304915308889726983
PolXhaferi,"b'@rudy19652020 @EBGforM4A @RepAdamSchiff Drinking Kool-Aid would have made him stupid , which would have made him th? https://t.co/uNgpcjaY1j'",Albania,1304881991821725700
PolXhaferi,"b""@BellaLuna468 @RepAdamSchiff Don't worry. Mr Schiff and his cabal friends have a plan to use tungsten rods launched? https://t.co/WewBaOzOaf""",Albania,1304881502363299842
banago,"b""@allie_nimmons What's wrong with that?""",Albania,1304863409658306560
eliveizaj,b'Wham! - Last Christmas (Pudding Mix) [Official Video] https://t.co/oZGiOiD740 via @YouTube \nHello!\nMy song for toda? https://t.co/X0sJsnbnWs',Albania,1304685803533144064
malokejam,"b""RT @kkkamiilaa: Don't forget Allah when you get what you prayed for.""",Albania,1304640030544191488
Eriwhitemartian,b'@FacePetull You re welcome?',Albania,1304497178568798208
Eriwhitemartian,b'@FacePetull Ill go ahead and tell that you have a great body?',Albania,1304470245088858112
Raimond99036320,"b'From Albania , in Loving memory to the victims of 9/11 . R.I.P. https://t.co/ajfpL6xj3c'",Albania,1304457374250528768
eliveizaj,b'Beethoven - Moonlight Sonata (FULL) https://t.co/ZVhNo1Rmys via @YouTube',Albania,1304433786483101696
PolXhaferi,"b""@amicloudy @TracySorensen1 @GrimblesOc @wspd1pio It's the so called Cabal/Deep State.""",Albania,1304425549369094146
PolXhaferi,"b""@ShephardErika @pjenks143 @pdx_lady @UeenDancing @wspd1pio @greggutfeld @VincentCrypt46 @TuckerCarlson You don't kn? https://t.co/6mvWRTtfJx""",Albania,1304424805236723715
PolXhaferi,b'@VicciA3 @leddy124 People should wake up! Why do people want doctors to sacrifice themselves for nothing. This data? https://t.co/ulY60hh6eB',Albania,1304421796511469571
VloraYouth,b'RT @ACvlora: American Corner Vlora members and Vlora Youth Center co-hosted a meeting on Girls in Technology. They shared their experience?',Albania,1304398131845566464
Mjaltehojesh,b'@6rus_ Nopeee',Albania,1304397423591161856
ACvlora,b'American Corner Vlora members and Vlora Youth Center co-hosted a meeting on Girls in Technology. They shared their? https://t.co/wimgVJbCtR',Albania,1304357353488355328
Mjaltehojesh,b'Reciprokeee https://t.co/EjmDNzoeIP',Albania,1304339419172868096
Mjaltehojesh,b'Emmm why should iiii https://t.co/q5UgIvuVYf',Albania,1304339077311983617
Eriwhitemartian,b'@awsomeblossomm Brock',Albania,1304138552180170752
WaterpennyW,"b""RT @PolXhaferi: @JohnDav08799777 @FatEmperor These criminals aren't doing this by mistake, but by design.    People should start to underst?""",Albania,1304111495555330049
PolXhaferi,"b'@RT_com @TheAntiPCProf By design from the cabal criminals , not by chance.'",Albania,1304099993926742018
MrDavidDaniel,"b""After a bit of a snag in Pogradec (where we were supposed to meet up with @jamesleithart) we're back in one of our? https://t.co/UC0ncWfRwM""",Albania,1304089882806153216
PolXhaferi,"b""@JohnDav08799777 @FatEmperor These criminals aren't doing this by mistake, but by design.    People should start to? https://t.co/sqeVvFnBKr""",Albania,1304084282714009603
ACvlora,"b'Teachers, do you want to learn how to organize and lead effective professional development events? If so, enroll to? https://t.co/ecjtUS2IFz'",Albania,1304006597023281152
eliveizaj,b'Bon Jovi - Bed Of Roses (Official Music Video) https://t.co/wjXHSQvXox via @YouTube',Albania,1303999915627085824
httphenri,b'@nusepashk All of em',Albania,1303828652640083968
httphenri,b'Different',Albania,1303813618165833729
PolXhaferi,"b'@RT_com This seems like a rollout of high robotic technology , more than guarding the bases.'",Albania,1303767774486056962
eliveizaj,b'U2 - One with lyrics https://t.co/McIfjMN0oO via @YouTube \n Is it getting better',Albania,1303702027764203521
ACvlora,b'Our YES?20 alumna Sefeda Lazaj and a member of American Corner Vlora shares her thoughts on being an exchange stude? https://t.co/QAlHrjacrI',Albania,1303627298457956352
aaldda_,"b'Yes breakups hurt, but my knee hurts more and i am only 17. :/'",Albania,1303561800047304704
Raimond99036320,"b'@RavioliLawyer @MaxdOutTrdr @albinkurti I?m guessing , 3 x a** ?'",Albania,1303530509335756801
Raimond99036320,"b'@predator984 @albinkurti After  5 years , you are going to say:  Sanxhak je Srbie ?'",Albania,1303528577665818630
Raimond99036320,"b'@SasaNik09097710 @albinkurti No matter where he is from.  , what it does matter is  his conscience . Got it ?  Welcome  to 21st Century !'",Albania,1303526138308898817
DBircaj,b'@USAmbAlbania You can help Albanians make progress ???????????',Albania,1303525008606666757
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
Raimond99036320,b'@Shajkacha1912 @albinkurti It?s a State bordering with Serbia',Albania,1303523920121860096
xaalk_,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306732221546594304
togepidesu,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306732140084822018
rexxon_woof,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731999835627523
Reid_the_Cat,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731942302437378
VanezaMonroe,b'My mom really said ?why are yall like that? when i said her favorite grandson was coming over tomorrow',Albania,1306731892033703937
KrissaHigashi12,b'@JoshinTosh_ mines arriving sept 29 - oct 2\n\nBUT ALMOST SLIGHT CLOSE TO SHIPPED\n\nin amazon\n\nJust a few move and It shipped',Albania,1306731834114560005
GiganticPaws,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731826988290048
Y00NGl69,b'@hottietaehyung3 i think im wrong because in the image its telling you to match up the equations with the terms at? https://t.co/SE5VuKA0oz',Albania,1306731750413029381
Meyueki,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306731717273812992
DonutSuue,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306731689570377728
KaiTatanka,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306731684562448384
KrissaHigashi12,b'@NaughtyGeist I wonder if MHW/ MHR be worth it\n\nIf also\n\nWhat are the reasons?\n\nand how combat works?',Albania,1306731647103098880
really_username,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731595634802688
robbycchi,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306731476831080451
EdwardTheBear12,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731440961396737
Larrythellama12,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731398405947392
VatanVuthi,"b'RT @rexhi_: [ Drum Kit Preview ] ""CHAMPION II"" BY REXHI https://t.co/hJdQBl3wgl via @YouTube \n\nYoo! Please help me share this.'",Albania,1306731230084427781
r4inah,b'@parislorrence (they are the same person)',Albania,1306731184194379776
Tenki101,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306731092402040833
TheUnknownBirb,"b'@illumiloveyou The musicians murder weapon.\nOr, musical wolverine?s claws'",Albania,1306731065525055498
pk_fye,b'Spicy nuggets from mcds are valid ! \nfuck',Albania,1306730876634570758
HyenaIke,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306730870485680128
happik4y,b'ty to everyone who ordered or donated for rileys hospital bill ??',Albania,1306730753611399169
KamenRiderFurry,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306730711479660544
diogx_,b'@Mariana_milheir That bich is THA BICH PERIODT',Albania,1306730669998039040
undefinedxik,"b'RT @rexhi_: [ Drum Kit Preview ] ""CHAMPION II"" BY REXHI https://t.co/hJdQBl3wgl via @YouTube \n\nYoo! Please help me share this.'",Albania,1306730654567202816
KrissaHigashi12,b'@NaughtyGeist same MHW be my first but maybe Rise be my first',Albania,1306730560065241088
GrayAlister2,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306730559557730305
evildjali,"b'RT @rexhi_: [ Drum Kit Preview ] ""CHAMPION II"" BY REXHI https://t.co/hJdQBl3wgl via @YouTube \n\nYoo! Please help me share this.'",Albania,1306730515286949888
Alex_J_Cleret,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306730512522805249
Hanabu_chan,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306730453211242502
AjvaziArt,"b'RT @rexhi_: [ Drum Kit Preview ] ""CHAMPION II"" BY REXHI https://t.co/hJdQBl3wgl via @YouTube \n\nYoo! Please help me share this.'",Albania,1306730348093595648
sk8terb76846167,b'i finished at 7:02 whew chile',Albania,1306730186835140608
AmonBars,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306730158028664832
Y00NGl69,"b""@hottietaehyung3 im not completely sure but don't you just have to prove the awnser is right or something""",Albania,1306730118048559104
uskiiee,b'RT @Yoaihime: blue ??? https://t.co/VQ2NLXAYy5',Albania,1306730064596422658
TheGonso,b'RT @JockPossum: In a mood for dire fortnite \n\nIn running shorts https://t.co/W01El4H8IU',Albania,1306729837071986688
Y00NGl69,b'@hottietaehyung3 justification ?',Albania,1306729772320518145
