user,text,country,id
SondraSousou,"b""It's tonight ??\n#yenihayat #NeyinPe?indesin https://t.co/MGyjBaJur2""",Algeria,1306679215597723648
arleehr,"b'RT @iskanderhyoshoe: Loyalty and Sabotage ??\nShe\'s playing the game of ""How to trigger sone"" https://t.co/Vn2BhSkG9i'",Algeria,1306668784141336577
VitaDolc,b'@aminocide @Yas_m_ina What hhh',Algeria,1306667667437301762
Odyous_,b'@Neashoba @katiham11 Oh putin...',Algeria,1306664372530565120
Shaakal59,"b'If you were a super-hero, what powers would you have? ? J?me t?l?porte https://t.co/gCuJpa21mq'",Algeria,1306663908053319690
redstwitta,b'@lizardwife Beautiful',Algeria,1306659535348785159
besbousah,b'@Dustypinku ??gimme hug',Algeria,1306651635121352705
a_ymena16,b'@dz_mza @danofthesouth_ @JackRosser_ You mean to big?',Algeria,1306648578169933832
Hadjermoussa4,b'@JiminGlobal Immm readdy fighting army????????',Algeria,1306647106246057987
taherking53,b'@lidyalily7 Pointure 16 ???',Algeria,1306639951069614083
besbousah,b'@narimane_7 Girl GO OUT if the exam not tmr it can wait?',Algeria,1306639806299074560
Chaouienbrrr,b'@mohawiii Wesh bro',Algeria,1306632252437168128
helynbolanis,b'RT @vern_holmes: Can anyone explain to me why liberals think increasing their decibel output increases their apparent IQ?\n\n(Asking for cons?',Algeria,1306628111367393281
MomoDrug,b'@randypaint I?ll simply die young',Algeria,1306627211055845381
besbousah,b'@mgratiaplena No he thought he SNAPPED i-',Algeria,1306616532382945287
besbousah,b'@mgratiaplena CHANGE UR NAME NYOOOWW??? nothing to stan here pls pity me instead????? and i dont post outside of pr? https://t.co/oMp5o6UfSC',Algeria,1306616434013896704
janetthhh1,"b""RT @iskanderhyoshoe: I know now y'all not even wanting blonde Hyoyeon back.. yup yup ? the supremacy ?\n\n@Hyoyeon_djhyo #HYO #DJ_HYO https:/?""",Algeria,1306607925494833153
vern_holmes,"b'When the Clinton/Reno BATF used an Abrams tank to burn the Davidian compound, I said every citizen needs to own an? https://t.co/hebykoxj9v'",Algeria,1306607144024846343
IamOurSid,b'@realDonaldTrump Like Kentucky every year?',Algeria,1306606228194365446
vern_holmes,b'I think you must have to voluntarily surrender 30 - 40 IQ points to become a Dimmercrat. https://t.co/nUx66RPnrX',Algeria,1306605676903493637
MadVoterInMN,b'RT @vern_holmes: Can anyone explain to me why liberals think increasing their decibel output increases their apparent IQ?\n\n(Asking for cons?',Algeria,1306605525145128961
SunMadeDreams,b'Is this fog or smoke?',Algeria,1306604661177163777
vern_holmes,b'Can anyone explain to me why liberals think increasing their decibel output increases their apparent IQ?\n\n(Asking f? https://t.co/WGqF8aUCyg',Algeria,1306603363015036930
vern_holmes,b'@Reversequestion @AngelWarrior321 Dummycrats are th ultimate racists... \nThe assume the whole human race is beneath them.',Algeria,1306601846988038145
haoulimohamed,b'Today is propitious for addressing any domestic issues that ne... More for Libra https://t.co/WNRxbob65U',Algeria,1306601652862898176
rayraydargis,b'@SneakerNews Per usual...I recieved the.... https://t.co/Z6o0UPQQcG',Algeria,1306600436720455680
rayraydargis,b'@nikestore @Jumpman23 Once again I was handed the.... https://t.co/pFBOXUDfzG',Algeria,1306600022054764544
vern_holmes,"b'Does Nanny ""let them eat sherbet"" @speakerpelosi think she can win votes by punishing citizens for rejecting dummyc? https://t.co/N6gM1kSuvd'",Algeria,1306599868606148609
vern_holmes,"b'@Concealcarrygrl @AngelWarrior321 And now ""cuties"" brings a whole new meaning to the term ""boob tube"".'",Algeria,1306597316380495872
vern_holmes,b'@Trumpgirl_45_ @AngelWarrior321 @JoeBiden ... I see dead voters...',Algeria,1306596211206631424
I_Got_Hilarious,b'@adamjam99 @thehill @TheHillOpinion The surge in readers of this Article = Sensationalism Sells = Profits Over People',Algeria,1306593727972925441
LowRQP,b'@ID0ntHaveAUse I want that pants and shirts',Algeria,1306582700401160193
a_ymena16,b'Murray is the real kise fun to watch and cool https://t.co/aSiwnLlynQ',Algeria,1306580752520433665
mgh_dzz,b'@Chxrxnxso pute https://t.co/JVgTNhbV4H',Algeria,1306572381478158336
iskanderhyoshoe,"b'Loyalty and Sabotage ??\nShe\'s playing the game of ""How to trigger sone"" https://t.co/Vn2BhSkG9i'",Algeria,1306569487509004291
iskanderhyoshoe,b'imagine the group of girls who will be playing the roles of trainees will later form a group that Jessica will mana? https://t.co/AaIXs1hZ6Z',Algeria,1306567582443503619
seifannaba4,b'@BettingAccas Boom',Algeria,1306567388750635009
IamOurSid,"b""@realDonaldTrump Just like you'll release you taxes, and soon.\nLike you'll release your health care reform, and soo? https://t.co/Lvn450Dsh3""",Algeria,1306565748324732928
iskanderhyoshoe,"b""Y'all gotta admit that, her beauty &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; everyone else's in Kpop https://t.co/lI72eI1ZzV""",Algeria,1306565746818940940
opulencebimb,"b'RT @iskanderhyoshoe: I remember when I dropped this edit  asking for a brunette latina Hyoyeon comeback y\'all were like ""yes but blonde Hyo?'",Algeria,1306564973645029376
