user,text,country,id
Stay_young4now,b'RT @democratie_kate: Palmer used the UAP to swing the Australian federal election. He clearly intends to do the same in the QLD state elect?',Australia,1306690639631843328
k_mahlburg,b'@DrKarlynB And who decides anyway that religion is second-tier?',Australia,1306690582383788032
drspacejunk,b'@AnthroPunk @meharris @NASA @EsteeLauder I have many mixed feelings',Australia,1306690479249973249
Oldwargamer,"b'@Sirgerrymander LOL, now that brings back memories ??'",Australia,1306690420760428545
hannahrwardill,"b'@caro_whine and @kanecornes - come on, I thought better of you both. To be carried off by the opposition, irrespect? https://t.co/9RaqPJH8py'",Australia,1306690391098286080
mdqyimn,b'@AishFareez Fuhh congrats idola ??',Australia,1306690253256761344
BPozzie,b'@gatcon1 Put him in prison.',Australia,1306690120519544832
starkrob21,b'@alexwalker2020 @JoeBiden It?s obvious it?s gonna be something everyday from here on out but I?d like a little originality please.',Australia,1306690115553689600
Oldwargamer,"b'@GavinoPepino @Creebles Cheers, that?s exactly the effect I am after ??'",Australia,1306690043273048064
Barbara_Gare_,b'@AbstractThreats @DrGJackBrown @donwinslow Hmm true.',Australia,1306689987132366848
rationaliza,b'RT @TurekAndrew: OMG ! Another new case !\nWe are all going to die!',Australia,1306689944967024640
bulldoglegend,"b""RT @Vic_Rollison: Again I'm having to call out @rachelbaxendale's misrepresentation of Victorian covid data in her never ending campaign to?""",Australia,1306689930807054337
drspacejunk,b'@PatchouliW I have to agree.',Australia,1306689928131084289
blake_sally,b'RT @ithinkwellHugh: Next week is National Postdoc Appreciation Week. Make sure you tell a postdoc how much you appreciate their work. @Nati?',Australia,1306689842298990592
gsadelaide,"b'@Mad_Morris @mjrowland68 Will there be a citizenship assessment requirement for existing citizens?\nFor example, when people want a passport?'",Australia,1306689838867910658
Barbara_Gare_,"b""@RiDavlo @donwinslow Sadly, I've not heard their voices either.""",Australia,1306689820081549312
mdqyimn,b'@akmalololo Congratsss',Australia,1306689776154599424
drspacejunk,b'@nona80_swanette Never to return?',Australia,1306689776074985472
triplejplays_sa,b'iamcxloe - 12 Steps [05:51]',Australia,1306689757968175104
cookjdavid,b'@eljonesuk Where can I find Take Us Home if I am in Australia? Any ideas. Thanks',Australia,1306689756122640384
emma_r_97,b'RT @mixerkweens: so many artists just release the same album again and again with the same theme but little mix constantly reinvent themsel?',Australia,1306689693279498241
TraceyCappie,"b""RT @Vic_Rollison: Again I'm having to call out @rachelbaxendale's misrepresentation of Victorian covid data in her never ending campaign to?""",Australia,1306689690884427776
sdpcthreatintel,"b'60.167.191.86 attempted to login to SSH using username hunter and password hunter 2 time(s), DShield attacks: 1, Country: CN'",Australia,1306689687285710848
manwivamullet,b'@puppyprotectr Crikey!',Australia,1306689587834621952
TheFreemasons,b'RT @matt_the_mason: Grand Mark Lodge of South Australia and Northern Territory installation rehearsal tonight for our new Grand Master. Cov?',Australia,1306689551566401536
jdnzau007,b'4 of 5 stars to Hag-Seed by Margaret Atwood https://t.co/aglBsn30HU',Australia,1306689480271765513
DaveMUnderwood,b'RT @Vic_Rollison: Anyone else feel like they?re suffering under the intense stress of living under a government and much of the media where?',Australia,1306689321953419264
DarklingTwin,b'RT @SprinksDM: Only 16 hours till the #video Drops.\n\n#numenera #cyphersystem #GMSprinkles #TTRPG #YouTube https://t.co/8sixWb2Xwh',Australia,1306689319554424849
_andrewhayes,b'@papajfry666 @ethanmeldrum_ How good!!!',Australia,1306689290718441472
starkrob21,"b'@RockyTopRedneck This could be a problem if it wasn?t done already, like 20x?s.'",Australia,1306689282862731264
triplejplays_sa,b'AtheAstronaut - Caught In The Middle [05:49]',Australia,1306689254660079616
