user,text,country,id
MuchokiC,b'RT @Mariakaigai: The difference between man/ women mkifika room ?????? https://t.co/K6H0ENkO7W',Bahrain,1306690774000689152
7miill_,b'Real life means family and friends',Bahrain,1306690555003445257
sli10_,"b""I'm at Dose in Dammam, Ash Sharqiyah https://t.co/6fgb2Q2x2C""",Bahrain,1306690343279243265
Lulualthomairy,b'being the car dj is a very stressful job',Bahrain,1306690322907516933
May_B_Mon,b'I?m cashing in',Bahrain,1306690280993759234
xnjm5,"b""I'm alive but the question? What is the point of living when I don't feel alive?""",Bahrain,1306690279139876867
iZahraZuhair,b'Sometimes your scars... https://t.co/Yxo6IP5SZI',Bahrain,1306690256662679552
xnjm5,b'I went through my darkest times alone so I?m sorry if I act like I don?t need anyone',Bahrain,1306690088408096784
SaraMohammedA46,b'I miss you.',Bahrain,1306689944690274305
majidurrehman,b'That late female power in antique Arabia was later overcome by Islam. https://t.co/XKcqfQQ69w',Bahrain,1306689756550627328
SaraAlshukri,b'Overthinking ?.',Bahrain,1306689407865454593
Mariakaigai,"b""@TheTvPlug There's hope pal??""",Bahrain,1306689394691186696
nimra_kazmi_,b'@vulnerable987 Pleasure ?',Bahrain,1306689370972397575
xiift1,b'my baby? https://t.co/NkOvGCEJVG',Bahrain,1306689350831411200
Sant0ri,"b""I'm at Balance Coffee in Al Khubar, Ash Sharqiyah https://t.co/5Kd3BRlMvV""",Bahrain,1306689210829680640
nadaalnn,b'people?s bullshit and fakeness are the main reason why i like being alone',Bahrain,1306689156937117696
maisq96,b'The sign                      The face https://t.co/v2ZUDCN7oS https://t.co/ntzJNMPOrd',Bahrain,1306689151622881297
dheeman007,b'RT @just_kashyap: Kindly please spread this message to your surrounding small business who are struggling due to pandemic. https://t.co/n9i?',Bahrain,1306688960672874498
HamraBaloch,b'I feel sad the younger lot will never know these. https://t.co/T7nraR4fA6',Bahrain,1306688888883367936
nimra_kazmi_,"b""@MajidZafarsayss There's no sharing option ??""",Bahrain,1306688878972149767
Naut_Piyush,b'RT @just_kashyap: Kindly please spread this message to your surrounding small business who are struggling due to pandemic. https://t.co/n9i?',Bahrain,1306688875864023040
_xxlr8,b'Goodbye Twitter????',Bahrain,1306688810579828736
Halmulla38,"b""@thataqeya Even when I lose I'm winning ?""",Bahrain,1306688680090886151
frekysn,"b""Hold me let's escape..""",Bahrain,1306688603813220354
nimra_kazmi_,b'@vulnerable987 I guess your maturity ? the kind of stuff you tweet shows that',Bahrain,1306688581914763264
Mariakaigai,b'@NjeriMuchina2 Hello very much ?',Bahrain,1306688541506834433
nimra_kazmi_,b'@MajidZafarsayss They say I am always full of energy ?',Bahrain,1306688405376507911
AK21RD,"b'@AllJuveCast - What?s your preferred lineup and formation?\n- Assuming Dzeko/Higuain is finalized, how would you rat? https://t.co/FqowBu15aB'",Bahrain,1306688347885142016
pxt_7,b'@ISl6_2 Friends ?',Bahrain,1306688337676316673
zuhra_zakariya,"b'Don?t just exist, live'",Bahrain,1306688329346416641
ekamsidhu1984,b'@Parmjee83723405 What oh jwaab wrong honge',Bahrain,1306688229521981445
Halmulla38,b'A true idol https://t.co/LyrqYUV50s',Bahrain,1306688153521184769
Noufley,b'go daddy go',Bahrain,1306688126509821952
ZozoAlkhalifah,b'@shamlan_abeer No way ?',Bahrain,1306688047837257734
_fiiz,b'Loving can hurt j',Bahrain,1306688015545311244
x0xill6,"b""RT @x0xill6: I don't like your silence and your absence, and I can't afford time without you, but I can't do anything about it""",Bahrain,1306687980933910536
NawafAlaswad_,"b""I'm at Raising Cane?s in Dammam, Ash Sharqiyah https://t.co/KHuY8eDXtr""",Bahrain,1306687834405863424
nimra_kazmi_,b'@Bint_e_Sadiq Thats cute ?',Bahrain,1306687785554894848
x0xill6,b'RT @x0xill6: I want to cry',Bahrain,1306687623205920776
AlBarrak_Bader,"b""Look, I'm the type to talk to the stars Straight up""",Bahrain,1306687469878943761
Shadow_Kage505,b'I need a good night sleep https://t.co/BRsZGC8cBL',Bahrain,1306687436613971969
SherBah46958042,"b'RT @Aramco: At #Aramco, we have a passion for enabling people to grow. We create opportunities to empower them to build a foundation for th?'",Bahrain,1306687371493044225
beasenzatrice,b'ciao Francescaaaa sand you abbacchio baciiio bacio ok i have t i have ti learn italian https://t.co/Ak9w9dCL5F',Bahrain,1306687371002482688
faithhaji,b'Make a wish',Bahrain,1306687167092137998
4i_love,b'be honest with me even if it hurts',Bahrain,1306687123098132482
nm3wd,"b'Me too , wish you have a happy life ??'",Bahrain,1306686957515354114
Mariakaigai,b'@Kianangih Hello?',Bahrain,1306686949093191680
olahussainn,b'I think so https://t.co/PCeUTStAGH https://t.co/24VbhLdqpM',Bahrain,1306686709028003844
BeAdultTrying,b'@TimJDillon Fat people die because they too fat to cough.',Bahrain,1306686683350552577
NightBlood0,b'@BatoolSA5 Legends never die ?',Bahrain,1306686595119165443
AAAG13,b'Just posted a photo https://t.co/sqCakgdHBr',Bahrain,1306686589695938563
Mariakaigai,b'@NashonGaza @gidikariuki No time???',Bahrain,1306686552706293760
regllsy,b'@lostbaby29 Understandable have a great day ??',Bahrain,1306686260283613188
Ctrl6,"b'RT @US5thFleet: (3/3) Paparo also expressed appreciation to Said for the continued support from the Government of Egypt, Suez Canal Authori?'",Bahrain,1306686180730249217
Ctrl6,b'RT @US5thFleet: (2/3) The leaders discussed the importance of integration and interoperability between the navies of Egypt and the United S?',Bahrain,1306686166108958727
Ctrl6,b'RT @US5thFleet: (1/3) NAVCENT/@US5thFleet/@CMF_Bahrain Commander VADM Samuel Paparo spoke with Commander of the Egyptian Navy Vice Adm. Ahm?',Bahrain,1306686145770782720
HoorXM,"b""I'm at Dose in Dammam, Ash Sharqiyah w/ @zahraxhm https://t.co/MVeH9qydeO""",Bahrain,1306686070550138885
ExpertOmar,b'RT @Shyousef_: And which one are you??? https://t.co/U0XkJdsWmQ',Bahrain,1306686033753509888
21RHCP,b'@Alpha_Remix_HD @bryanalvarez Wow great realization! Up next: the sky is blue.',Bahrain,1306685983061090305
l2iiiq,b'2020 stop pleaseeeee https://t.co/p0Z1jod8bz',Bahrain,1306685981832237060
