user,text,country,id
atickhan,b'@_David_MUFC @SkySportsPL Guess Kai Havertz is worried about David_MUFC and his 69 friends will mock his every misplaced pass this season.',Bangladesh,1306690808687419392
carrieann9000,"b'RT @BeingFarhad: ""We\'re going to see and continue to see a lot of devastation and loss of life.""\n\nDeadly fires continue to burn in Californ?'",Bangladesh,1306690691565670400
fayaz_shadman,b'(3/3) Access in-depth insights and best practices from #MarketLeaders for how an observer can become an accelerator? https://t.co/2AiRITINZb',Bangladesh,1306690616043008000
fayaz_shadman,"b'(2/3) #Survivors, #Observers, or #Accelerators.\nWhile the majority of industry leaders fit within the Observers cat? https://t.co/5yN7v8m9Al'",Bangladesh,1306690613371310080
fayaz_shadman,"b'(1/3) According to the following research, both public and private B2B companies in software, IT services, UC&amp;C, an? https://t.co/QPZYeRNJxK'",Bangladesh,1306690610783375360
arman017256789,b'@SikoVallery @ElrondNetwork @BinanceLabs @InjectiveLabs Back plz pl',Bangladesh,1306690525894832128
RipaRaniRoy2,"b'Hello, Are You Looking for a Creative &amp; Minimalist Logo Designer? \n\nHere, I am a master of Adobe Photoshop and Adob? https://t.co/yAHJGmB9Nr'",Bangladesh,1306690461961125888
Erum7Ahmed,b'Never ever give up no matter how hard it is..\nHopeful night precious world ??????? https://t.co/Ugve0S4yyy',Bangladesh,1306690456755949568
csemamun,b'@ReliableNet_k it?s amazing.',Bangladesh,1306690336668803072
atickhan,"b""@Pepitoooo19 @SkySportsPL It'll only apply to Kai of Chelsea finish 8th this season.""",Bangladesh,1306690158893260801
iamsakibsadman,b'@ringchips @Samaeled not cool bro',Bangladesh,1306690136965431296
khansazzad1,"b""You only get one life. It's actually your duty to live it as fully as possible... https://t.co/caogHo6EqR""",Bangladesh,1306690133500940289
Krichemen14,b'RT @EvilEyes_VII: @SamuEl_KentMan @ray8fisher @wbpictures @WarnerMedia oi @ATT @hbomax @jasonkilar look at this please!!!! #IStandWithRayFi?',Bangladesh,1306690085165957120
ArnikaSahaINC,b'RT @ShreyasiINC: @INCIndia President Smt Sonia Gandhi ji extends her warmest felicitations to Shri @Oommen_Chandy ji on completing 50 years?',Bangladesh,1306689984489955328
