user,text,country,id
Landadu1,"b'That Vergil announcement sure was a surprise, but a good one. It?s somewhat strange to see special edition without? https://t.co/r3ueOalpQL'",Belarus,1306513863731548165
VytasNeviera,b'Including #Lithuania. https://t.co/v6qp5q3F0y',Belarus,1306351632607838208
nanocentaur,b'Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/TW3SQtDMPv',Belarus,1306337206836047877
KortezR_,"b'I still need pool practice to be good on tournaments, but I dont really know If I will have enough free time in weekdays to practice pools ?'",Belarus,1306295147462889473
ArturBasak,"b'@jensimmons I think this could be useful for applications such as a calendar, a todo list, or time filters, but it? https://t.co/dL1CsLleYq'",Belarus,1306289145430634498
amby_okoli,"b'It?s the (successful) twist-outs,low puffs, high buns,flat twists.\nIt?s the entire Afro hair for me.\nAfro hair ? Ra? https://t.co/vDk9Xop2pU'",Belarus,1306193072376745989
kuon_orochi,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306192329922039809
rissandquan1,b'RT @lexi_rivera18: Follow on fb. \nhttps://t.co/amrUBu8phS',Belarus,1306164259425005569
lexi_rivera18,b'Follow on fb. \nhttps://t.co/amrUBu8phS',Belarus,1306164078231138304
lexi_rivera18,b'Comment if u want to join Lexi and Brent discord.',Belarus,1306161442844966912
Landadu1,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306126405101645825
tinytouchtales,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306092652555915264
WealthyAardvark,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306072953684197383
KemonoBito1987,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306058901524156421
NetworkIndie,b'RT @Landadu1: Into the Breach fanart conversion I did a few weeks ago. I am really thrilled with idea of a game ItB-like in fantasy setting?',Belarus,1306058581037457411
