user,text,country,id
M3Dialogue,b'Feeling #optimistic? Our editor @JRogenhofer explores some of the ways in which #coronavirus might bear some promis? https://t.co/gCLgt4ddAZ',Belgium,1306690969325183004
EduVasquezM,b'$858 US dollars is the official price for the #PlayStation5 in Chile. \n\nAlmost double the price of the US market.? https://t.co/ubP6bvvVS1',Belgium,1306690962677211145
1234hormiga,"b'RT @NATO_PASCAD: As we prepare for tomorrow?s #NATOMC conference, let us take a moment to reacquaint ourselves with the 30 #NATO Chiefs of?'",Belgium,1306690953902727184
mmicallef95,"b'RT @EPPGroup: We stand #WithBelarus! We support the Belarusian people in their fight for dignity, freedom &amp; democracy. Together with @ThePr?'",Belgium,1306690927730323457
gghendrixx,"b'If you play around dumb, then a nigga might shoot'",Belgium,1306690925561872384
stephen82728429,b'RT @SebDance: As a Spad in the NI Office I sat in on a meeting between the SoS and families of the Omagh bombing victims. It?s one of the m?',Belgium,1306690917294841874
Eurocontinent,b'@JorgWojahn @pmwBxl @Newsweek This is Integrity Initiative \npropaganda whose objective is to promote  anglo-saxon g? https://t.co/E8OEDvVXkw',Belgium,1306690906637115403
nade2723,b'RT @JosepBorrellF: Strong support from Ministers of the ICG to continue working for a negotiated political solution to #Venezuela crisis. T?',Belgium,1306690874215194624
GretaEvans81,"b'RT @astroehlein: ""The results are both shocking and saddening... We need to understand why we aren?t doing better in educating a younger ge?'",Belgium,1306690872881418242
EdChatEU,b'RT @eTwinningEurope: What is needed to promote and sustain meaningful school self-evaluation and development? An analysis by the Education?',Belgium,1306690871182721024
PSKC_cares,b'RT @worldkidneyday: ?Today #WorldKidneyDay is launching its 2021 Campaign!! This year?s theme focuses on living well with #KidneyDisease an?',Belgium,1306690834482503684
DunsPitcus,"b'RT @BBCkatyaadler: If by end of Sept the government doesn?t remove partsof internal market bill overriding #Brexit divorce deal then, says?'",Belgium,1306690834134372355
ITI_Horizon2020,b'RT @EUScienceInnov: The #H2020 #EUGreenDeal call is not only about tackling grand challenges such as the #ClimateEmergency &amp; post #COVID19?',Belgium,1306690831869452301
Optimus81701666,"b'@VeBullvtho Whales, tear down these walls??? https://t.co/sBMEs182VI'",Belgium,1306690830523080707
Yoldas43333117,b'RT @ArrestedLawyers: Our joint statement on the mass-arrest of lawyers in Ankara. @IBAHRI @HRF @TheRWCHR @CNF_it @LRWCanada @LawSociety_SA?',Belgium,1306690826878234625
DavidChriston4,b'RT @haaohaoo: 2020 AD WATCH: #JaimeHarrison is hoping to unseat Sen. #LindseyGraham in South Carolina with this super-powered ad\n@nowthisne?',Belgium,1306690791356723201
MartinSelmayr,b'RT @JHahnEU: Very much welcome the speedy #EP vote on its #OwnResources opinion. An important step towards the implementation of our #recov?',Belgium,1306690782016004099
Perspectivisto,b'The world needs #RegenerativeLeadership to reconnect to ourselves and move forward with purpose and community.? https://t.co/MNk7NW73zH',Belgium,1306690775959379982
linkxari,b'why would my roommate say he loves my earrings then not kiss me???',Belgium,1306690772771758082
EnervaX_4k,b'Ki 1v1 fast ke je clip la chatte a smr he doit faire 1 hl need trio',Belgium,1306690758557212677
dzhray,b'RT @NATOpress: #NATO?s new Atlantic Command was declared operational in a ceremony in Norfolk??. SecGen @jensstoltenberg welcomed the miles?',Belgium,1306690753461129217
cliff_944,"b'RT @BBCkatyaadler: If by end of Sept the government doesn?t remove partsof internal market bill overriding #Brexit divorce deal then, says?'",Belgium,1306690750185381901
NeilMaybin,b'RT @SebDance: As a Spad in the NI Office I sat in on a meeting between the SoS and families of the Omagh bombing victims. It?s one of the m?',Belgium,1306690719533408262
_skpss,b'@mna_vx Yeaaah',Belgium,1306690716425482240
aldodesantis,b'RT @JosepBorrellF: Strong support from Ministers of the ICG to continue working for a negotiated political solution to #Venezuela crisis. T?',Belgium,1306690709647433740
GretaEvans81,"b'RT @ENAREurope: According to the study of millennial and Gen Z adults aged between 18 and 39, almost half (48%) could not name a single con?'",Belgium,1306690709165088788
AxelleDuf,b'RT @CongoCashJr: Dating someone who pushes u to do better is so fucking important',Belgium,1306690685924507648
ve10ve,"b'RT @ve10ve: Please donate to #JaimeHarrison, make it rain ? to send #SendLindseyHome!\n\nA chance like this is NOT happening again soon!\n\nDon?'",Belgium,1306690663946297344
i_ameztoy,b'RT @CopernicusEU: ??Fly over Viedma Glacier in the Southern Patagonian Ice Field with this stunning #Sentinel2 ????video from August 2020.?',Belgium,1306690662906114049
Ossmeteobargone,b'RT @CopernicusEU: ??Fly over Viedma Glacier in the Southern Patagonian Ice Field with this stunning #Sentinel2 ????video from August 2020.?',Belgium,1306690656522379265
Les_Dubh,"b'RT @JenniferMerode: All EU ambassadors that spoke on Brexit today raised the question of trust: ?Of those that feel close to Britain, that?'",Belgium,1306690648574173193
JoelBaccas,"b'RT @01ivi3r1u6: @LanceForman No, it?s clear you don?t understand my tweet. I never said anything about not voting. You need to come to grip?'",Belgium,1306690640751865857
JakeWilliamsDC,"b""Congratulations to @googlecloud's Mike Daniels on winning the Industry Leadership of the Year Award in this year's? https://t.co/UJqvLn6cuU""",Belgium,1306690639648694282
muzahara2,b'RT @journalismfund: SOS Chr?tiens d?Orient in #Syria: The far-right French NGO supporting Bashar al-Assad. \nResults of 8-month investigatio?',Belgium,1306690632086364160
Needabreak10,b'RT @ILGAEurope: ?How can we create safe-spaces for Polish activists to come together to think on strategies?? asks @khugendubel in our new?',Belgium,1306690631415336960
prince_shungu,b'RT @aksinho: kiss_me_thru_the_phone.mp3',Belgium,1306690627074166785
isabelleory,"b'RT @RShilhav: ""Unfortunately, #Moria is not a failure of policy - it *is* policy. We do not need to improve camp, we have to abolish camps.?'",Belgium,1306690619901964288
JoelBaccas,"b'RT @01ivi3r1u6: @LanceForman Isn?t your tweet a heads up to say that every time sh*t hits the fan (you know, like it has been for the past?'",Belgium,1306690603783262214
sedelyod,b'RT @SebDance: As a Spad in the NI Office I sat in on a meeting between the SoS and families of the Omagh bombing victims. It?s one of the m?',Belgium,1306690594782183428
adriantowey,"b""RT @Axine4: @elliotttimes USA is a guarantor of the GFA, so it's aolso their business to uphold it.  Brexit broke the status quo &amp; puts WTO?""",Belgium,1306690589157662726
togura04,b'RT @EUClimateAction: ? EU 2030 Climate Target Plan ????\nWe want to cut net greenhouse gas emissions to 55% below 1990 levels by 2030.\nThis?',Belgium,1306690586703872000
CorPirvulescu,b'Men represent 90% of candidates for mayors in upcoming local #elections in #Romania. \nMen represent 80% of total ca? https://t.co/wJ8d7OfYxG',Belgium,1306690586418831360
wezlng,b'@nvmptn_ Grave possible',Belgium,1306690580269989888
alfre_gr,"b""RT @JosepBorrellF: Here is today's Ministerial declaration by the International Contact Group on #Venezuela https://t.co/bZGuoLxVDW""",Belgium,1306690568001654790
Carnegie_Europe,"b""RT @Carnegie_Europe: ? Europe's Post-Pandemic Trajectory\n\nIn this episode of the #WorldUnpacked, @RosaBalfour joins @LauraLMagnuson for a c?""",Belgium,1306690555720724482
voldemortix,b'@rosseparasiet Natural baby',Belgium,1306690554181361673
theWeatherboy,b'RT @defis_eu: #EUSpace for global monitoring\n\n#Hurricane #Sally has caused catastrophic #flooding in #Florida &amp; #Alabama ??\n\n?? @Copernicus?',Belgium,1306690543284436992
moh_0906,b'RT @MartinVachiery: This you ? https://t.co/q84o2EDAjV',Belgium,1306690541812359176
LousThrell,b'Skip ass sound like he was gon cry? https://t.co/2Ty2q2aV08',Belgium,1306690533859958787
mmicallef95,b'RT @bxlbinder: True representation only happens when public debates reflect the true diversity of society. ????????????\n\nCheck out the 4 da?',Belgium,1306690531926441984
edgle_andrade,b'RT @JosepBorrellF: Strong support from Ministers of the ICG to continue working for a negotiated political solution to #Venezuela crisis. T?',Belgium,1306690530915618817
efren_colombani,"b""RT @JosepBorrellF: Here is today's Ministerial declaration by the International Contact Group on #Venezuela https://t.co/bZGuoLxVDW""",Belgium,1306690524733206529
Nico280384,b'@Laurent96602132 @gassillios @TEAMGETCREAM @ideanomicshq @alf_poor I agree with you about the fact of poor communic? https://t.co/LuByTkVgDy',Belgium,1306690522451447808
efren_colombani,b'RT @JosepBorrellF: Strong support from Ministers of the ICG to continue working for a negotiated political solution to #Venezuela crisis. T?',Belgium,1306690514998226945
betti0864,b'RT @EU_Commission: We are doing everything in our power to keep the promise we made to Europeans: make Europe the first climate-neutral con?',Belgium,1306690506328543234
smagghe_chloe,"b'RT @Llutriciaa: Its funny how he cheated on her again, broke their mariage but everyone blames it on her ? talking about song she wrote ?'",Belgium,1306690496455155719
CalebBello_,b'RT @Tbabz__: Advanced LLM in International and European Law with specialisation in Data Law in the capital city of the European Union?? \n\nV?',Belgium,1306690476905566209
PortraitsKieran,b'RT @SebDance: As a Spad in the NI Office I sat in on a meeting between the SoS and families of the Omagh bombing victims. It?s one of the m?',Belgium,1306690471914332161
Jos_Natuurpunt,"b'RT @RISE_Fnd: Spearheaded by our chairman @JanezPotocnik22, 198 political decision-makers, business leaders, trade associations, NGOs, and?'",Belgium,1306690465064984603
BindachSoukaina,b'RT @CongoCashJr: Dating someone who pushes u to do better is so fucking important',Belgium,1306690462007336976
Pitou_L,"b'RT @ONEinEU: @vonderleyen @WHO ??????We couldn?t agree more. Vaccines for all are vital for tackling this pandemic. @vonderleyen, we are co?'",Belgium,1306690460153454619
krimisukrainian,"b'RT @JenniferMerode: The Brexit vision of 2016 never recognised that other countries are sovereign too. Now with the US and EU, Brexiteers a?'",Belgium,1306690452096196611
linkxari,b'oomf is so hot... https://t.co/0XSckBPgkK',Belgium,1306690449382486018
