user,text,country,id
ShirshenduRoy3,"b'@narendramodi Happy Birthday sir, may you live long and always be our PM. Wish you a very very happy Birthday sir.??'",Benin,1306412791553822722
IreneFieldsYT,b'Living https://t.co/6kIVUguDB6',Benin,1306343847870558210
bpsclown,b'@croqueta95 same',Benin,1306244547786297345
IreneFieldsYT,"b'Nada, se me ha ido el top AFK \nI love this game https://t.co/RtLNSCAhu1'",Benin,1306226418024624134
IreneFieldsYT,b'@jony1993cab Lets goooooo',Benin,1306223191073992704
NEFERTETA9,b'@dennauri_ WAKE ME UP WHEN SEPTEMBER ENDS https://t.co/wbsfXj23b8',Benin,1306218532489883648
bpsclown,b'@Yasmain_ sameeee',Benin,1306048195798200322
bpsclown,"b'@strayminhos legendary, breathtaking, extraordinary, epic, iconic https://t.co/5R85luaOWH'",Benin,1306047697162567680
NEFERTETA9,b'@hinfan Put your hands up in the airrr!!!',Benin,1306000442262990848
Sandip74015130,b'click on the link to view my channel on youtube!! https://t.co/WB9eatm7EH #Caricaturist #Sketches #TerryArtService? https://t.co/Jtt9B2ZEzL',Benin,1305937092120281088
bpsclown,b'stream folklore https://t.co/N9yZYflBro https://t.co/jX7QOXEZo4 https://t.co/c0WEOQljYH',Benin,1305876299181895681
RajRoy60310283,"b""@nusratchirps Mam ata Facebook a post korun apnar hatter's dar mukha jobab din..love you mam big fan of you and I a? https://t.co/hyvXOphJQ7""",Benin,1305771801616805888
RajRoy60310283,b'@nusratchirps I am proud of you mam  because I am your fan?',Benin,1305769958404751362
RajRoy60310283,b'@nusratchirps Love you mam??????',Benin,1305769745808011264
TeguHassanJ,b'On another note........?? @ Another Cloud https://t.co/2dgtrZqeKf',Benin,1305317329027424256
angysubmissive,b'Just a reminder that i have this song tattooed on my arm and I couldn?t be happier about it https://t.co/2TgjeFYe6X',Benin,1305242286796791809
angysubmissive,b'I wanna DUET W THEM',Benin,1305233291805687812
angysubmissive,b'I have a thing to doing background voices for the rap line',Benin,1305233246507225089
angysubmissive,b'FACTS https://t.co/hPgFTl7dJn',Benin,1305231903403003905
angysubmissive,b'UP IN THE CLUBS W MY HOMIES TRYNA HET A LIL V I \nKEEP IT DOWN ON THE LOWKEY',Benin,1305231340699291653
IreneFieldsYT,b'He ganao',Benin,1305211290072350722
dreamofjoonie,b'RT @angysubmissive: NO DISRESPECT FOR STARFISH BUT IF U WANT A FISH BE SELFISH',Benin,1305196290406481920
angysubmissive,b'NO DISRESPECT FOR STARFISH BUT IF U WANT A FISH BE SELFISH',Benin,1305195373921742848
angysubmissive,b'Tsiffie?? attention please \nBarkbark',Benin,1305192812653285381
tatelshara_,b'that?s mah baby?? https://t.co/mPDvXEB8Ip',Benin,1305192488693460992
angysubmissive,b'@ekoloko come back to Israel',Benin,1305190362269593602
angysubmissive,b'@tmoodforeva What am i to u',Benin,1305188864873697281
angysubmissive,b'@yeahitsbitten @haveasipbabe I SCREAMS CAUSE THIS IS MY BABY PUPPY IM BARKS BARKS RWASSE',Benin,1305183472886177798
angysubmissive,b'@yeahitsbitten Who dis',Benin,1305183150860120064
uwuyooni,b'RT @angysubmissive: This AU @uwuyooni of namgi https://t.co/s65lJ80z7W',Benin,1305178911974871043
angysubmissive,b'@yeahitsbitten Im such a simp for u its concerning',Benin,1305177697333768195
angysubmissive,b'@ALTRUISTlCVIO that?s on jumping on his cock after 3 seconds of knowing him',Benin,1305173838888611841
angysubmissive,"b'And for u sis, his sweet kisses were sweet because his mouth still tasted like my coochie.'",Benin,1305173207452979200
angysubmissive,b'This AU @uwuyooni of namgi https://t.co/s65lJ80z7W',Benin,1305154605228216320
angysubmissive,"b'Namjoon said huge arms and huge tiddies fellas, dude gotta wear a bra since he is THE BIGGEST BIG TIDDIE ANIME GIRL? https://t.co/a9QpU5vnRO'",Benin,1305148717847269376
angysubmissive,"b'@btstwerks @dreamofjoonie On that, namjoon deserves better.'",Benin,1305148263889137664
angysubmissive,b'@btstwerks @dreamofjoonie Honestly some armys litearly disrespect namjoon so much if it doesn?t have anything to do? https://t.co/2uAWbKTsFa',Benin,1305148202585391104
angysubmissive,b'Also the stuff our governments are doing DOESNT relate to the people living at both sided and y?all should fucking? https://t.co/kM2s33igYh',Benin,1305147752121274368
angysubmissive,b'Being antizionist and being antisemitism IS the same thing cause being an antizionist is ignoring the pain the jews? https://t.co/nkmA5StCOJ',Benin,1305147082366423047
angysubmissive,"b'@DRACOSHABlT thats why im leaving sis, you are the age of my mf little sister thinking u can actually talk shit abo? https://t.co/j8DYw84enh'",Benin,1305145058061152256
angysubmissive,"b'@DRACOSHABlT ofc you are, this is why u post such things, grow up and then we will discuss'",Benin,1305144188946837504
angysubmissive,b'@DRACOSHABlT And thats on being a jobless bitch.',Benin,1305143478041677824
angysubmissive,b'Only the avatar?? https://t.co/lCBDRcTLAF',Benin,1305131287305433088
angysubmissive,b'And betting on my actions when im just fucking tryna discover stuff about myself and saying that you know me better? https://t.co/SFvzbe9TpI',Benin,1305119873916375042
angysubmissive,b'You dont have any control on me start admitting it? i have fucking alot of flaws but the things i do are MY choice? https://t.co/EY7YG4xyQ4',Benin,1305119534685335552
angysubmissive,b'Honestly my friends always makes me feel so dumb and i wonder if in whatever group i will be in it will EVER change.',Benin,1305119043553296386
angysubmissive,b'@jewsmatter Im a simp',Benin,1305076837224251393
angysubmissive,b'OMG ME ME ME ME https://t.co/UCtXiu4EM6',Benin,1304946554009194497
_KarlieA,"b'RT @jveelasquez: One year later...\n\nTruly blessed to be with someone as loving, encouraging, and honest.\n \nits pretty neat https://t.co/2SD?'",Benin,1304938698367172608
kibmooo,"b'RT @jveelasquez: One year later...\n\nTruly blessed to be with someone as loving, encouraging, and honest.\n \nits pretty neat https://t.co/2SD?'",Benin,1304906026538463233
angysubmissive,b'@jewsmatter He is a mf hot dude',Benin,1304892154234494976
angysubmissive,b'Deadass icon https://t.co/5nhjkcAZvQ',Benin,1304861033845133314
angysubmissive,b'@yeahitsbitten your cute friend did not me?????',Benin,1304858658191421440
angysubmissive,b'Wow if this aint me https://t.co/QOW64ZUDoF',Benin,1304856179663921152
angysubmissive,b'OKAY PERFECT https://t.co/4q27SCcQ26',Benin,1304855874826113025
macyjean_,"b'RT @jveelasquez: One year later...\n\nTruly blessed to be with someone as loving, encouraging, and honest.\n \nits pretty neat https://t.co/2SD?'",Benin,1304837344307097603
angysubmissive,b'Im not a simp i only punch his ass',Benin,1304829606604701697
angysubmissive,b'Yall simp for my tsif we need to make gc for all of his simps',Benin,1304829544063475713
angysubmissive,b'Namjoon?s bdayyyyy?????????? https://t.co/qE08solwCo',Benin,1304825944650252289
angysubmissive,b'PERFECT https://t.co/JsYwtXK462',Benin,1304823310526619652
Creations310,"b'RT @jveelasquez: One year later...\n\nTruly blessed to be with someone as loving, encouraging, and honest.\n \nits pretty neat https://t.co/2SD?'",Benin,1304818225096654848
jveelasquez,"b'One year later...\n\nTruly blessed to be with someone as loving, encouraging, and honest.\n \nits pretty neat https://t.co/2SDxtU2PrW'",Benin,1304817593807757316
angysubmissive,b'On his bday but this shit wack af cause even tho he knows me it will never happen hahahahahha',Benin,1304703947580616704
angysubmissive,b'Its the fifth bday I celebrate w namjoon and honestly im always fucking struggling cause i love the dude sm and im? https://t.co/vSYg8fnTJi',Benin,1304703946041315331
angysubmissive,b'I SENT MIRI A VOICE AUDIO OF ME MOANING ?IM GONNA CUM? AFTER SHE SENT ME A VID OF NAMJOON IM?- iwas rlly high last night',Benin,1304703098200494080
angysubmissive,b'He is my man https://t.co/bhs27U2ZVK',Benin,1304701927108870144
angysubmissive,b'IM MIVING FOR THIS https://t.co/CQTfU8AXiK',Benin,1304669891824365573
angysubmissive,b'Jk i do',Benin,1304580574288523264
angysubmissive,b'Jk i dont',Benin,1304580543053533184
angysubmissive,b'I breathe in jealous',Benin,1304580482517041158
angysubmissive,b'@heejusimp @yeahitsbitten I?ve been waiting for this one',Benin,1304580414795911171
angysubmissive,"b'@yeahitsbitten @heejusimp WOOFWOOF, when are we doin the shigidigi'",Benin,1304579531060244482
angysubmissive,b'@yeahitsbitten A jin? U never introduced to me?',Benin,1304578945652850703
angysubmissive,b'My coochie wiLD  https://t.co/kKroJpfNG6',Benin,1304569314117406720
angysubmissive,b'@yeahitsbitten omega??????',Benin,1304566902698774529
angysubmissive,b'I got to the point where i moan in japanese for the Japanese friend of my friend.',Benin,1304562716779188230
angysubmissive,b'I will sacrifice my OWN life for pakistan',Benin,1304559314477162497
angysubmissive,b'I wanna be a pilot',Benin,1304559108541087748
angysubmissive,b'@yeahitsbitten @heejusimp Im low but not low enough to suck d sadly',Benin,1304558644646891520
angysubmissive,b'@heejusimp @yeahitsbitten Uh i love when they praise',Benin,1304557949940047872
angysubmissive,"b'@yeahitsbitten @heejusimp sis no, u deadass just never LET ME AND I NEED TO GET OFF MY FLIRTING SOMETIMES'",Benin,1304557725712625665
angysubmissive,b'@heejusimp @yeahitsbitten that?s spicy bb',Benin,1304557254805520384
angysubmissive,b'@yeahitsbitten @heejusimp No u just never let me flirt w u when im bored',Benin,1304557166213451776
angysubmissive,b'@heejusimp @yeahitsbitten Damn bby u are',Benin,1304556940610109441
angysubmissive,b'@yeahitsbitten @heejusimp Cause its cute move',Benin,1304556908607606791
angysubmissive,b'@yeahitsbitten @heejusimp I deadass laughed',Benin,1304556773920116736
angysubmissive,b'Can namjoon destroy my private part',Benin,1304556443534852099
angysubmissive,b'@yeahitsbitten U really are princess',Benin,1304556293697527816
angysubmissive,b'@yeahitsbitten It doesn?t look like his for shit never seen that pic',Benin,1304555825629929473
