user,text,country,id
guttogl,b'@nalucaminhos siiiiiiim aff',Bolivia,1306659296785170436
zuckerwalls,b'perrieeee',Bolivia,1306657255262216193
zuckerwalls,b'JCHFUCUFUSYSYAYWYQY https://t.co/WcEqmZQs1J',Bolivia,1306594064356143104
zuckerwalls,b'@amityrie block',Bolivia,1306593501090471941
zuckerwalls,b'se for tour ou album eu morro',Bolivia,1306593161356009472
zuckerwalls,b'CAKRHAO https://t.co/OeeyuZ1Tri',Bolivia,1306277174828306434
zuckerwalls,b'LITTLE MIXXXXXX',Bolivia,1306273385308184576
zuckerwalls,b'@LittleMix Q ISS9',Bolivia,1306174229403099137
zuckerwalls,b'@lexaswheda old q simm',Bolivia,1306174063216340992
zuckerwalls,b'@duathecure o jonah de wdw vida',Bolivia,1306039224852979712
NicoBrxwN,b'@KOSDFF GET PEPPERMINT AND/OR LAVANDER SPRAY AND DRENCH THAT PORCH WITH IT',Bolivia,1305575768341336064
NicoBrxwN,b'EAT GAS',Bolivia,1305574305854615561
NicoBrxwN,b'@dxnyello Got lost in the sauce huh',Bolivia,1304800732269469696
NicoBrxwN,"b'@lewiastro Go on a run until you feel that serotonin flood your brain or until you pass out, either works'",Bolivia,1304107441450295296
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
NicoBrxwN,b'I rather die',Bolivia,1303826466124320768
Darien_RM,b'@inuyamatadatomo Nice to meet both of you.',Bolivia,1306732167549063168
PACWalnutCreek,"b""RT @catjohnson: We have 95 (and counting) workspace operators registered for next Friday's #Coworking Convo.\n\nYou in?\n\nhttps://t.co/sHo2q3v?""",Bolivia,1306731021673455616
fionaaa_lk,b'imagine being a man in 2020... embarrassing',Bolivia,1306727661385871360
YellowSwerve,b'@IceBear_Bella Here I come I am cinnamon mother fucker',Bolivia,1306725246624362496
ev1l_gamer,b'@suicidepets born too early to be treated as a sexual god. born just in time to have an evil woman post your tinder? https://t.co/tJf4WEWcII',Bolivia,1306724669752406016
notestoparadise,b'@antoccelli It burgers ?? son delis delis',Bolivia,1306724240121528330
Eu_Pedro1,b'RT @_Mendes_Matheus: Bleseed ?????? https://t.co/ujZRjVn5ZN',Bolivia,1306723402884026373
ev1l_gamer,b'@Ascendid1 gta IV if you run over peds wearing hats fast enough their hats fly off awesome stress relief',Bolivia,1306722721712107520
Nicole_Malissa,"b'@JtBellJr This could all end if you downloaded among us, but until then......'",Bolivia,1306722579781021696
Nicole_Malissa,"b'@JtBellJr Like I said, I only bully people who deserve it ?'",Bolivia,1306722256807014400
Darien_RM,b'@SmollSaid Yes yes the new trending made by Sr Said yes yes https://t.co/LSta7l1tqD',Bolivia,1306721915260854272
ev1l_gamer,b'@suicidepets future societies will ridicule the girls of today for liking tall guys just like we ridicule the roman? https://t.co/wiWjXYSpyv',Bolivia,1306721478079995904
BerlinSandra78,"b'RT @JandJDad: She is completely oblivious to the fact that she would not have her job if SOMEONE hadn\'t ""rewritten"" it.  Oh. And she tried.?'",Bolivia,1306717463363682304
racconconnoisse,b'@mexopolis ART IS THE WEAPON!',Bolivia,1306717358971432965
racconconnoisse,"b'@DannyAraya we live in a simpsons reality.\n?Of course we could make things more challenging, Lisa.  But then the st? https://t.co/vMlAbUNYWw'",Bolivia,1306716489018343424
tessabrunton,"b""Despite the orange skies last week I don't think we're in Blade Runner 2049. We're obviously in Back to the Future? https://t.co/clNh3v5yXP""",Bolivia,1306716373251366913
twilightsaga69,"b'my top hobbies right now are crying, yearning and looking at remote controlled cars online. YES i am multi faceted!'",Bolivia,1306716278543925248
racconconnoisse,b'@joaniejabronie Oh wow! this is amazing',Bolivia,1306716162151997441
racconconnoisse,"b""@ADuralde I'm an animator and I still haven't seen Meet the Robinsons""",Bolivia,1306716058565226496
racconconnoisse,"b'@CaptainChants yikes, unplug everything, check to see if all connections are clean and restart everything.'",Bolivia,1306715612475875328
BrowdeCarrie,b'Setting the stage for better conversations about allyship @googlecloud https://t.co/rywUZKaIYB',Bolivia,1306713288583950336
YellowSwerve,b'@IceBear_Bella Aka worse cinnamon toast crunch',Bolivia,1306712886673244160
YellowSwerve,b'@Mister_Regret Spelunky 2 not being on PC is a war crime',Bolivia,1306710886845833216
MaesEndara,b'@PabloAgustin #Blackpink in your area  !!!!!!!!!',Bolivia,1306710525502468096
criesincamba,b'Clink clink https://t.co/M5vXvcmZMj https://t.co/NWt82ZCfPS',Bolivia,1306708958749564929
renkylion,b'@sendez Faraon love sheidi',Bolivia,1306707660016955394
bytokay,b'@Raichuzzzzz Que imagem cursed mdsss',Bolivia,1306707120675528709
lore3440,b'RT @JandJDad: @Yamiche @OleanderNectar It means #WhiteSupremacy must be taught in all schools and professional education.  #TrumpPence2020?',Bolivia,1306706651739758597
Vulgo_Lc06,b'RT @_Mendes_Matheus: Bleseed ?????? https://t.co/ujZRjVn5ZN',Bolivia,1306705578077687811
elgordor,b'Saco screenshot de esto... https://t.co/Rc6RleZRQB',Bolivia,1306703929854562304
JandJDad,b'@willieseconpr @robreiner Yes. #InquiringMinds want to know',Bolivia,1306702975763533824
jakegillyhall,b'@_mandotorres This one?s hard. Do 4 movies I like that no one else I know knows exists at all count?',Bolivia,1306702262241079296
heyaaronkeuper,"b"".@BenGrandblade Sorry dude! Don't be mad! I thought that was hilarious!""",Bolivia,1306702099204325377
jakegillyhall,b'@Jordan_Thewlis True scholars',Bolivia,1306701506989629440
heyaaronkeuper,b'@annafunk Well then - not a lot I try to avoid spoilers before launch. :-/',Bolivia,1306700803147616256
heyaaronkeuper,b'@BenGrandblade I tagged them for ha has not to spark anything sorry my bad',Bolivia,1306699941553684480
heyaaronkeuper,b'@BenGrandblade Sorry!! yoinked!',Bolivia,1306699770308640778
heyaaronkeuper,b'@jeymien @Authoroux Do we know if there doing She-Hulk or Ultimate She-Hulk (Betty Ross) because they seem to be ma? https://t.co/0bZTcMomcF',Bolivia,1306698971956432897
heyaaronkeuper,b'@BenGrandblade I love you so much!',Bolivia,1306698466979008512
heyaaronkeuper,b'@Authoroux @Kevfeige get in here',Bolivia,1306698403955445760
heyaaronkeuper,b'@Authoroux @jeymien Like even BW in the first Avengers wasn?t even tone. I was like ?there is no way she could pull? https://t.co/o0fDOO2yxN',Bolivia,1306698032201658368
heyaaronkeuper,b'@annafunk I hated the cinematic because I hate Denathrius (spelling? Not sure). I want to kill him so much. Look at? https://t.co/stji41hvyW',Bolivia,1306697579208478721
ethanlefeb,b'RT @YellowSwerve: I made it better #ULTRAKILL https://t.co/zmNzxM0uW8',Bolivia,1306697290141380610
heyaaronkeuper,b'@jeymien @Authoroux She hulk does not go back and forth.\n\nIf they used cg it would be a CaptAmerica situation where? https://t.co/n6RkVyDGsK',Bolivia,1306697247262793728
wesley_robert08,b'RT @_Mendes_Matheus: Bleseed ?????? https://t.co/ujZRjVn5ZN',Bolivia,1306697238706565120
alllocalpolitic,b'RT @CrissaKentavr: @CoastalRailSC @asgoulson @alllocalpolitic Having great rail transit means being able to park somewhere and enjoy multip?',Bolivia,1306697083496194048
TaiChi_John,"b""RT @LeeHoldenqigong: In order to cultivate new, nourishing #energy, it's important to first let go of anything that's holding us back. Whet?""",Bolivia,1306696985320271872
tessabrunton,"b""@laterborn I'll try this out! I could use some chill.""",Bolivia,1306696865484734467
heyaaronkeuper,"b""@jeymien @Authoroux @Jeymien The thing with She-Hulk that separates her from The Incredible Hulk is that she's ALWA? https://t.co/3WwNwyQybu""",Bolivia,1306696302130995200
