user,text,country,id
goksi_,b'happy for you)',Bosnia and Herzegovina,1306688266717061121
endemiik,b'@efruzeamanur Evettttt :)',Bosnia and Herzegovina,1306684207159222275
averie69,b'RT @JackJackinovic: ITS LITERALLY THE POINT OF THE AMENDMENTS YOU FUCKING MORON!',Bosnia and Herzegovina,1306681208189968384
I_am_Juventino,b'@juveaj And in the first 11 against Sampdoria ?',Bosnia and Herzegovina,1306681090241892358
davidpe11188501,b'RT @JackJackinovic: ITS LITERALLY THE POINT OF THE AMENDMENTS YOU FUCKING MORON!',Bosnia and Herzegovina,1306679254336376832
per_plexing,"b'graduated from master debater, slash, massive masturbator'",Bosnia and Herzegovina,1306678972101599238
JackJackinovic,b'@whenbatmenfly It BETTER have Chromatica II in it. I still get mad when they play 911 on radio WITHOUT Chromatica II. like BITCH!?!?',Bosnia and Herzegovina,1306678579577712646
JackJackinovic,b'ITS LITERALLY THE POINT OF THE AMENDMENTS YOU FUCKING MORON! https://t.co/qO6GSnYhj1',Bosnia and Herzegovina,1306677938558062594
nanovond,"b'RT @I_am_Juventino: Kick out Khedira, sell Ramsey and bring this kid!'",Bosnia and Herzegovina,1306676045223845888
adnitza,"b""moj simpy ima dobre noge, and that's on periodt.""",Bosnia and Herzegovina,1306675331940716545
kcidraganova,"b""RT @goksi_: I guess I'm just a play date to you?""",Bosnia and Herzegovina,1306673530365509635
JackJackinovic,"b'Any more examples where a billion dollar Media corporation said ""ok, we made a mistake"" like Capcom did and release? https://t.co/X6bBPkS3OS'",Bosnia and Herzegovina,1306671856838209536
skepticfella,b'@TheManUtdWay Make Contact F.C\nMonitoring F.C\nBriefing F.C',Bosnia and Herzegovina,1306661046875234309
aplatkadin,b'@nes_vanilija Well...',Bosnia and Herzegovina,1306660741995532288
adocule,b'?? Our new boy.\n~\n#fcbarcelona #barca #trincao #portugal #graphicdesign #design https://t.co/swn8KHUFdP',Bosnia and Herzegovina,1306653241736941575
JackJackinovic,b'@theSNYDERVERSE it WAS?!?!',Bosnia and Herzegovina,1306652781089107970
drewbuzztin,b'RT @DelicDzenana: @drewbuzztin HOLY TONIGHT',Bosnia and Herzegovina,1306649224046665731
omar_polo,b'@dzoni____ more bit bidne',Bosnia and Herzegovina,1306648866683523081
DelicDzenana,b'@serayrauhl HOLY TONIGHT',Bosnia and Herzegovina,1306648210426023936
dude_from_qrtx,"b'@AMPTechno @LaidbackLuke @PyrodoxMusic oooh dope, thnx ?'",Bosnia and Herzegovina,1306648066976612352
