user,text,country,id
NonofoM,b'RT @jemie_neam: It was a day. I thank all those who have been with me throughout my studies. Today was a sign that your suppport has been s?',Botswana,1306689799189860352
Obiwa1,b'My daily struggle ? https://t.co/sIJ98RiKIS',Botswana,1306685918447898626
jemie_neam,b'Batho ga ba itse gore kwena ne ele mantsiane before e joiner herbal life',Botswana,1306685661186060291
jemie_neam,b'Happy birthday to this phenomenal https://t.co/8D1hpF1ESg incredibly beautiful sister.May God grant you all that yo? https://t.co/e2Vyj70VLT',Botswana,1306684055916867585
jemie_neam,b'@AobakweKgwatal1 ??? thank you so much darling.',Botswana,1306682379772321792
jemie_neam,b'@Okamatty_B Thanks alot darling.??',Botswana,1306682075542679557
TsaoneTumelo,b'RT @jemie_neam: It was a day. I thank all those who have been with me throughout my studies. Today was a sign that your suppport has been s?',Botswana,1306673891927109633
ict4life,b'@MampexL Amen',Botswana,1306672944937082887
thinavhuyo_m,b'@NthabiOk @JnrLelow ???today hona ke boni gori ao nrate shem',Botswana,1306672345483030536
ict4life,b'@Shandaca1 Classic witchcraft',Botswana,1306671881148399616
MCeaCollen,b'@Neilwejoy How is it important',Botswana,1306667713146880006
thinavhuyo_m,b'@NthabiOk @http_goitsi @kuttloanoo @nonsssssss ???o thomile akere',Botswana,1306665976021254146
ComingValdez,"b'@StellenboschFC good day,when you guys are starting to prepare for the new season,i wish to bring my son down to jo? https://t.co/D5VyDJ1xzp'",Botswana,1306654291017560064
muzimbeni,"b'@MohapiSetenane Codessa freedom, sigh. No freedom at all ?'",Botswana,1306648534096187392
MCeaCollen,b'@MimoMokgosi Yes and yes',Botswana,1306648090452070400
MCeaCollen,"b""@jaemmiee @KFartom I'm gonna start talking \nJust now""",Botswana,1306647212085194753
MCeaCollen,b'@Miss_Fipaza Dont be hater we still gonna be here',Botswana,1306646414257197056
MCeaCollen,b'@Nicky__Amanda \nI appreciate You do make a statement',Botswana,1306646011331465217
NNESE12,b'@LorraineHubona Tsena shotput',Botswana,1306644353868271616
jemie_neam,b'@MarumoNelson Thanks mate',Botswana,1306642584186621952
Base_diponeng,b'@iamlancaster1 TRUE LEADER',Botswana,1306638817907093506
muzimbeni,"b""Taba ya Gavin Hunt le chiefs ae ntshwere xap ake happy ??? I'm breathing through the wound .?? @robertmarawa? https://t.co/xQkBJ0JSvm""",Botswana,1306633097874726912
injaivukile,b'Straight to fight mode ????? https://t.co/3lp92GTe8N https://t.co/QbDn27FyqJ',Botswana,1306631747468242944
Javaslucky,"b""@lyds_monyeps It's time to seal the deal""",Botswana,1306631740685987844
Gillian_M_D,"b'RT @jemie_neam: I am on the other hand holding Technician diploma in construction, NCC in Plumbing and pipe fitting, Tradee C and B in plum?'",Botswana,1306626902153670656
Gillian_M_D,b'RT @jemie_neam: It was a day. I thank all those who have been with me throughout my studies. Today was a sign that your suppport has been s?',Botswana,1306626893995798528
jemie_neam,"b'I am on the other hand holding Technician diploma in construction, NCC in Plumbing and pipe fitting, Tradee C and B? https://t.co/pGPgmu3EEe'",Botswana,1306626564394823683
jemie_neam,b'It was a day. I thank all those who have been with me throughout my studies. Today was a sign that your suppport ha? https://t.co/Yy6xS8QiKE',Botswana,1306625582386630657
EarlOfGC,b'RT @Base_diponeng: @EarlOfGC @CEDA_BW Taj well representd ???',Botswana,1306610704670240770
Base_diponeng,b'@EarlOfGC @CEDA_BW Taj well representd ???',Botswana,1306608851748368389
Kesegokset,b'@Kon_krete ??ke lemogetse thateng???',Botswana,1306605169505972226
tumi_0591,b'@MsLemmy A friend of mine went through shit.Little gf a boleletswe ka her miscarriages?',Botswana,1306605049313976320
Base_diponeng,b'@Softcheeks_30 1st pic ???',Botswana,1306590313268477955
Sprukies,b'@Nthapeleng__ I like your thinking',Botswana,1306580549813796864
