user,text,country,id
PCKawano,"b'RT @rittner_daniel: Rodovia Transpantaneira, antes e depois dos inc?ndios. O mundo precisa ver isso.\n\nRoad crossing Pantanal, one of the wo?'",Brazil,1306691141643968517
powlo42,b'@1McFlxrence @herbivore_club @funtimes1621 @nahdanieI @txngn No you just don?t know what to answer cause you figure? https://t.co/q0OaynwvGD',Brazil,1306691139081244673
Riudinha,b'@ItzHikari Black frost wolf armor https://t.co/gPTHCk0uXj',Brazil,1306691080780484608
jennieartist4,"b'RT @rittner_daniel: Rodovia Transpantaneira, antes e depois dos inc?ndios. O mundo precisa ver isso.\n\nRoad crossing Pantanal, one of the wo?'",Brazil,1306691073310416896
araujo_fabioo,b'@coldzera @LunchTimeReview came to brazil we love u cold',Brazil,1306691062275203072
smarcony,b'Liked on YouTube: O que eu comprei na Book Friday 2020 | Paloma Lima https://t.co/1c6DjUUxdW',Brazil,1306690906943303682
alligatortearsq,b'Topic: lesbians singing in bathtubs https://t.co/LWUngx9jX6',Brazil,1306690900886724616
nnathaliatt,b'@belamarquesv vishhh',Brazil,1306690876299714574
Natty_Simoes,b'RT @ggouvs: IOS 14 ficou top',Brazil,1306690844230135815
victoria__ac,b'items i drop when you kill me https://t.co/k1pKu2PqLk https://t.co/uTYKdbBufv',Brazil,1306690837913448448
luiza_cruzs,b'i was doing fine without you',Brazil,1306690824596606976
Bettygamblle,b'@valdir6685 Hey check your dm.',Brazil,1306690802085703681
Kessiley,b'Beyonc?_-_All_Night.mp3',Brazil,1306690769026273280
thipera,b'@tarcisio_hb Longe?',Brazil,1306690701523136514
lmjfavzs,"b'RT @rittner_daniel: Rodovia Transpantaneira, antes e depois dos inc?ndios. O mundo precisa ver isso.\n\nRoad crossing Pantanal, one of the wo?'",Brazil,1306690696263409682
vxscainx,b'puts https://t.co/XX5Scbr0pB',Brazil,1306690617368551440
isa_carvalhs,b'Puts https://t.co/Ap3vzO93hv',Brazil,1306690490042134532
isadorodrigues,b'@brunildobuks i?m here https://t.co/1T0rsw9ZLQ',Brazil,1306690458538708992
robdelaet,b'RT @jakespring: Uganda reverses forest destruction by inviting in ... loggers. Private companies are developing timber plantations as buffe?',Brazil,1306690305413001216
Vagner_juniorss,b'@neguinhajly @tombrisa @natalyrosaxxt MINAX',Brazil,1306690197380268034
Bettygamblle,b'@AkirkFn Hey hit my Dm. :)',Brazil,1306690176421441537
klossineo,b'I can?t feel shittt wtf is this?',Brazil,1306690159216336896
bootleg_icarus,"b""RT @tomeioputo: @pcgamer I still don't understand how the devs can be so proud of having such a poor optimization for their game.""",Brazil,1306690069319819273
Franciscoabf82,b'@northond Use a movie gif from the year you graduated high school https://t.co/0jSPj3Im8x https://t.co/lyqj7UnJxD?? https://t.co/gXxRehdMpP',Brazil,1306690017721544706
ryodrigo,b'@csmarcus playboyzim',Brazil,1306689945139019777
anticronos,b'@melissablake I like you',Brazil,1306689852436553736
XiicoL,b'@FLWsnow To Nd',Brazil,1306689766713425920
maahraulino,b'I?m crazy but you like that...',Brazil,1306689550010535937
pachecoluif,b'@ghostparotto Vamos ver \n\nWHATCH JULIE AND THE PHANTONS\n\n https://t.co/m6pePuaV63',Brazil,1306689500194709514
agabalden,b'@Reckcast @remuly @ju_aserena mas com evangelion',Brazil,1306689487662198785
Hypnos_art,"b'@DaveZ2678 @Pixel_Dailies Thanks, Davez!'",Brazil,1306689485900521477
pedro_Volterra,b'@rebecagoms_ @aleeparreira Onde?',Brazil,1306689481588776963
lemoneidu,b'1 - Alex\n2 - Flynn\n3 - Luke\n4 - Julie\n5 - Reggie\nWATCH JULIE AND THE PHANTOMS https://t.co/qef31eB9py',Brazil,1306689473070026752
SimpsonTereza,"b'RT @rittner_daniel: Rodovia Transpantaneira, antes e depois dos inc?ndios. O mundo precisa ver isso.\n\nRoad crossing Pantanal, one of the wo?'",Brazil,1306689417906659349
klossineo,b'I literally have no shame on me rn',Brazil,1306689380556382213
luiza_cruzs,"b""didn't mean to get so close""",Brazil,1306689371207356416
luiza_cruzs,"b""Is it alright to feel this way so early?\nAnd in my blood, all the sweet nothings\nFallin' in love over night""",Brazil,1306689357089210370
Victor65680480,b'@roikauany @Porfsamanda Um american bully',Brazil,1306689297479802898
Bradley99176226,b'@SenWarren Your not perfect Warren! https://t.co/IsjyOexrEZ',Brazil,1306689206912258048
Bettygamblle,"b""@g_babyxo_ Hello, I hook you let's have a chat.""",Brazil,1306689143775338502
whoisvanessac,b'@PortalTracklist The Weeknd',Brazil,1306689094823612422
_isaqm,"b""know i'm gonna drive you mad""",Brazil,1306688923872174090
Bettygamblle,b'@RatedAForAaryn Yes i do come in dm.',Brazil,1306688782327054338
mzteos,b'RT @jordanvisch: If u look like EDNALDO PEREIRA\n\npls dm me',Brazil,1306688751268175875
Asl300sdx,b'Anderson .Paak &amp; The Free Nationals: NPR Music Tiny Desk Concert https://t.co/skunPSL9Bl via @YouTube',Brazil,1306688708305920000
paidobatata,"b""@Marianamaral002 Don't fight the feeling, give yourself a chance""",Brazil,1306688676823527426
Bettygamblle,"b""@blackaneseboy Hey i hook you let's have a chat to discuss about the details.""",Brazil,1306688604484382720
klossineo,b'Anesthetics got me trippin',Brazil,1306688587241529357
paivazlucas,b'@Hashiddd No YouTube',Brazil,1306688566139985920
LordQuillSdv,b'RT @CarolSn19: ??????? #?????????????\n?\n@ImperioDoSdvOfc \n@SouAnjoCaido \n@PriscaBrusau \n@Morpheus_43 \n@TonyStark_ofc \n@IfbSdv \n@Vodoo_43 \n@?',Brazil,1306688565615702016
BrenaMacedo4,b'Fome',Brazil,1306688561073266688
LordQuillSdv,b'RT @CarolSn19: ??????? #?????????????\n?\n@ImperiodosdvRt\n@DaianeA04769851\n@CrazyArlequina\n@SaraRsrs \n@carlosfiscal248\n@_Valkyrie9 \n@perolane?',Brazil,1306688550692364291
effychaise,"b'the chain, medicine, Ultralight Beam e just a lil bit of your heart nunca te pedi nada harold https://t.co/h4Ga2a6pgd'",Brazil,1306688428281602051
mairykenupp,"b'@thekylemeagher Second pic is basically a copy of your profile pic, if you zoom in'",Brazil,1306688410170650626
ArthurTorsani,b'@Slredden1 @lasterd80 @TechNinjaSpeaks What about this one? https://t.co/4RyICP63ep',Brazil,1306688379157917697
vithaniaaa,b'@xxxstonem @effmarial @Ph_sabin0 @xtoxicant @doce_potato @ncssdd @keivissu @ruanvb love u thu',Brazil,1306688363714490368
lucasleliis,b'Cachinnn https://t.co/gIqxOF9tWC',Brazil,1306688338661908486
Jau_Kun,"b'So sad, boy! :/'",Brazil,1306688337625968641
kerolllllllll,b'@ThiagoAbrahao_ @Gasparzin3 sofro bullying',Brazil,1306688158768263168
vieiraj__,b'@SlvTh33 Brbr',Brazil,1306688139885502464
akiritcha,"b""four movies you're pretty sure you like more than anyone else you know https://t.co/DXpSV8DuPp https://t.co/lckjc4Brnt""",Brazil,1306688104414302216
Bettygamblle,"b'@kayymfkay Hello, I got you come in dm.'",Brazil,1306688024563060736
churrascomsamba,b'I?m pretty sure that was very unnecessary but can?t do anything about it',Brazil,1306687952517464065
jeanliiima,b'18 meses ? https://t.co/ZrWu8KrLoS',Brazil,1306687889678442508
lluabrainer,b'RT @Wolfiesbrs: Stiles                               Void Stiles https://t.co/GpqnzUyz4w',Brazil,1306687775777923076
isadorodrigues,b'mentally im not here',Brazil,1306687721071620105
Ferreirahn,b'RT @vishsports: ?It was all a Dream.? https://t.co/y9GWoUChox',Brazil,1306687622505549824
BFRZePequeno,b'RT @Victorbfr77: @BFRZePequeno BABIIIIIIISHOW',Brazil,1306687550447378433
lemoneidu,b'@velezsaby Perfect Harmony e Unsaid Emily\neu BERRO horrores\nWATCH JULIE AND THE PHANTOMS',Brazil,1306687373678346241
pirulitwo,b'@julynha_15 block',Brazil,1306687359065427968
Melvin1508,b'RT @pachecoluif: #911iscoming my biggest enemy is me pop a 911?\n\n https://t.co/m6pePuaV63',Brazil,1306687347753394189
sofaltaessa1,b'@LuisCValois Justo ??????????',Brazil,1306687310474469376
barbarafaraco,b'Mood do dia https://t.co/tGnHKA61Hz',Brazil,1306687289872048129
