user,text,country,id
andrei_eclynoh,b'@NilsAhrDE OP8 Pro.....',Bulgaria,1306689924230508544
andrei_eclynoh,b'@TheGalox_ @jimmyispromo boring design https://t.co/1l3N8sH1Cq',Bulgaria,1306689013600980992
ZeynWhite,b'@milwaukeeopium Cry me a river',Bulgaria,1306683803688218627
rayavarbanova,b'RT @vesiiiiiii: ?Nice joke bro now I?m insecure? \n                            The story of my life',Bulgaria,1306683340704055304
vesiiiiiii,b'You did this for what?',Bulgaria,1306682475951910912
vesiiiiiii,b'?Nice joke bro now I?m insecure? \n                            The story of my life',Bulgaria,1306680737958113280
GicaFrate,b'@JoeBrunoWSOC9 What happens if someone gets a hold of one of the ballots and sends it in fraudulently? How would th? https://t.co/HT0pv6jPu0',Bulgaria,1306668700838264833
cocoapuppyuwu,b'Dreaming of being her;; https://t.co/fqQD7GqPcM',Bulgaria,1306664934642798593
AnunnakiBukkake,b'@CashApp $hittypork',Bulgaria,1306660704641003520
Mizzymeech,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306658810711302145
illingsworth,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306657372807495694
angelbabyl0u,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306655239651487744
venusmusik,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306655184173572097
LaSailorGoon,b'Look Back At It?!?!? https://t.co/rzMhn0sqee',Bulgaria,1306651282631991296
TheVladCostea,b'Just beat my old high score in Bitcoin Bounce by @thndrgames. What?s your score? https://t.co/qnptPuYSQL',Bulgaria,1306647669083983874
TheVladCostea,"b'@BitcoinOldGuy I don?t like Joe Rogan?s style either, he too often breathes in his microphone and makes annoying so? https://t.co/WAGvYAtBx0'",Bulgaria,1306646413468729345
sunwoodmal,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306644210129530880
lujan1324,b'RT @skateboardraga: - when halloween is 4 days away ??????????? https://t.co/eBmJCWOnxJ',Bulgaria,1306642828328448000
skateboardraga,b'@_YeahthatsQ innovative',Bulgaria,1306641597518557185
notthatkhalid,b'RT @skateboardraga: i am a prophet https://t.co/8BJzOldT6s',Bulgaria,1306638899347730432
OperaComRuse,b'Really looking forward to the story of the serial killers of the tory UK government follow up https://t.co/qXjRiI8aQ4',Bulgaria,1306637847668174848
notthatkhalid,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306637033490636801
dgeorgiev_bg,"b'@BobyMicroby @cocreature @digitalassetcom Indeed I am, thanks Bobby :)'",Bulgaria,1306632250738475009
OperaComRuse,b'@Sarkanyapu  Robbie can you help ? See below ! https://t.co/sDk7XhbsMV',Bulgaria,1306632000791629831
OperaComRuse,"b'An uninspiring game, but three points in the bag https://t.co/1eLj0WVUyy via @Celts_f_t_South'",Bulgaria,1306629877148323841
fkbl1,b'@P_Lazaridis Gini AND Thiago ?',Bulgaria,1306625556834902016
skateboardraga,b'i am a prophet https://t.co/8BJzOldT6s',Bulgaria,1306619093542469633
itslilgambino,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306617829173714948
TheVladCostea,b'@Adelgary @devilninja777 @vakeraj It?s funny that here in Romania I found pretty much everything except for Ringfit? https://t.co/2iWkpJxusZ',Bulgaria,1306613621905068032
skateboardraga,b'@ncatdining @theylovetaya2 @rgwill_ y?all worried bout the wrong thing get this man his portions ????',Bulgaria,1306612396497285121
skateboardraga,b'@IMissStevenFaug my hair makes me unrecognizable',Bulgaria,1306611929134305282
ellyotmarqs,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306611091439521792
skateboardraga,b'@thenerdbab3 IM SO EXCITED https://t.co/u4cG9kor8D',Bulgaria,1306609502750478336
skateboardraga,b'@IMissStevenFaug YES THAT WAS ME LMAAOOO',Bulgaria,1306609358592241664
Zalmoxis15,"b'RT @TheVladCostea: 5/ Greece, Bulgaria, and the former Yugoslavian countries all have mosques. In its historical territories (Wallachia &amp; M?'",Bulgaria,1306608700539498496
Zalmoxis15,"b'RT @TheVladCostea: 3/ Just an example: in 1714, Wallachian ruler Constantin Br?ncoveanu was captured by sultan Ahmed III, and he was asked?'",Bulgaria,1306608488035037187
cocoabuttuhh,b'RT @skateboardraga: its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306607490197581825
dgeorgiev_bg,"b'@DisneyStreaming @disneyplus @hulu @Verizon Hey, are you currently hiring applicants working remotely in the European Union?'",Bulgaria,1306606464438595585
ChrisYouho,b'RT @skateboardraga: i look ruff',Bulgaria,1306605220118646785
skateboardraga,b'i look ruff',Bulgaria,1306605128540213250
skateboardraga,b'its time ?? https://t.co/NyvWaJ93Ms',Bulgaria,1306605046487044096
IvayloIvanoff,b'Synthesia: Generate professional-looking AI videos from text in minutes https://t.co/8mUujNa6ZQ via @__tosh #AI https://t.co/6FbCPXGxzl',Bulgaria,1306600574113153024
radfordka,"b'RT @MulberryCorfu: Get lost, on Corfu https://t.co/04L6Anl7fx'",Bulgaria,1306593324120170496
amarapatel,"b""RT @dgeorgiev_bg: Hey peeps, I'm looking for a new role on a project utilising functional programming to build software. Retweets are much?""",Bulgaria,1306586353174343680
xscreamoex,b'Get  BGN 33.04 !\nYour bonus is waiting to be activated.\nhttps://t.co/TivLJ608nP',Bulgaria,1306571563794391040
4_A_F,"b'RT @DracTweets: And you are again, my son. #Castlevania https://t.co/946zt95DSi'",Bulgaria,1306563799328198660
ana_captures,"b'RT @MulberryCorfu: Get lost, on Corfu https://t.co/04L6Anl7fx'",Bulgaria,1306555407830331393
BigAssMage,"b'?My day be so fine then boom, Trevor.? https://t.co/XWMzofts0H'",Bulgaria,1306554914378862594
JaxDeeDee,"b'RT @MulberryCorfu: Get lost, on Corfu https://t.co/04L6Anl7fx'",Bulgaria,1306551465196965890
