user,text,country,id
catywaa,b'@brianstoooorm jshk',Burundi,1306697653758156806
catywaa,b'@tanakiIl the promised neverland',Burundi,1306697314946383873
catywaa,b'@bstjaeger death note',Burundi,1306696882798964737
Revelentis,b'@rankfiez1 Rankster',Burundi,1306687685596196865
NateteElyse,b'@nyamadon Sure??',Burundi,1306685034565447681
NSABIMANAJea,b'@Nsanzineza9 @moneysupport_ Nice job. God bless you in all your plan',Burundi,1306684000405278720
SnowAlternate,b'RT @Thatonebunnyowo: First attempt at a ?comic?\nThe Shota Bakery~\nChapter 1 - how to make a Shota  \n(1/?) https://t.co/rsmVp8kcc5',Burundi,1306683232751030272
SnowAlternate,b'RT @Thatonebunnyowo: I love cute bois... cool bois tho ??\n\nConsider becoming a patreon to watch this exclusive content and much more !\nhttp?',Burundi,1306683200987566080
SnowAlternate,b'RT @Thatonebunnyowo: My biggest challange so far !\nThanks a lot for the commission!\nMore people = more fun ?\nTo see the full draw click her?',Burundi,1306683183082033155
SnowAlternate,b'RT @Thatonebunnyowo: Late night sketch....\n#shota #shotacon https://t.co/1bpHGv7SF4',Burundi,1306683169505030144
Marcellin07,"b'@_mvnzi_ Exactly bro, cause those we run after make us look like dumb while we just want a reciprocal relation'",Burundi,1306677468762439680
RugiraAdo,b'@ivaniscold @kemnique Alcohol broo???',Burundi,1306676364536434688
Marcellin07,"b""As getting a girlfriend is a full time job, I'm making interviews. DM me""",Burundi,1306676188958646273
Marcellin07,b'@R_selekta Someone tell me',Burundi,1306675927359934464
Marcellin07,"b'@nikokezanate Make me bald and their rich,'",Burundi,1306675565722824705
RugiraAdo,b'@YNyamirambo @yajirwanda @eir_ual For her ariko yee???',Burundi,1306675406565670913
catywaa,b'@snowycortland paniquee',Burundi,1306672901853253633
catywaa,b'@ablabla_ ....block',Burundi,1306671181567856641
catywaa,b'@nevexliex_ KKKKKKKKKKKK amh-',Burundi,1306665604590579718
musonirobert4,b'@ArianeIrafasha Prayer room',Burundi,1306665104734392321
catywaa,b'@yumekoshoto panique',Burundi,1306664264627781632
ArnoBratz,b'Ever wondered how doing harm through #globaldev research looks like? Check out this #RCT: First cut off water for p? https://t.co/o7WVlvZ4BB',Burundi,1306659276971298816
catywaa,b'@LuyMatthie google errou ai',Burundi,1306654168942342145
YNyamirambo,b'@yajirwanda @eir_ual I will follow her for you ????????????',Burundi,1306652856292978688
YNyamirambo,b'A lady who has a crush on you can do everything for you??????????she even apologize for seeing you in face ???? I f? https://t.co/4BSxAdkhRV',Burundi,1306651776838504452
UWIMANATHEOGEN3,b'@CoErwanda @UR_CAVM @domxavio @BethKaplin1 Wonderful',Burundi,1306650033681575936
UWIMANATHEOGEN3,b'@RwandaHealth I appreciate safe #healthworkers =safe patients.',Burundi,1306649808468353026
YNyamirambo,b'@kugasima_memes That woman is my ex abandi bakambakamba the dude still drinking ???????????????',Burundi,1306649653870501893
catywaa,b'@killushy old amg old',Burundi,1306646801672527872
YNyamirambo,b'To all my boys I left ku gasima kbs ??? https://t.co/fQ8ZCOYNJd',Burundi,1306645490444926977
YNyamirambo,b'@korinnish Curse ????????????????',Burundi,1306643498591047686
catywaa,b'@parkjoohyn OLD OLD OLD',Burundi,1306641968995409920
YNyamirambo,b'@FreeLivingman A fight ????????????????',Burundi,1306641918156210176
Marcellin07,b'Take the Vaseline ? https://t.co/8r9ACCRfCB',Burundi,1306637964123017216
Marcellin07,b'Who else knows Ken_Block?',Burundi,1306637566993674240
Marcellin07,b'Am I the only one finding this Dj Khaled campaign with MTN annoying?',Burundi,1306636949705420801
YNyamirambo,b'@mutotowaKibenga So much ?????????????',Burundi,1306636566601891842
catywaa,b'@aizawaschild_ sTONKS',Burundi,1306636255216754691
Djbee254,"b""Today's sunset ? https://t.co/5pCum6v2NJ""",Burundi,1306635089422540807
Marcellin07,b'@R_selekta try it',Burundi,1306633975771934720
