user,text,country,id
Anjadizon,"b'What bothers me is I can?t message others na andun sa panaginip ko cos I really can?t remember them. \n\nStill, I?ll? https://t.co/0DVLbmPfxW'",Cambodia,1306685011911798785
pauljamesharper,b'@holisticyber My machete? It hacks the jungle.',Cambodia,1306669544421818368
rattana74406805,b'Start...',Cambodia,1306660554283442176
Phavin168,b'Are you ok ?? https://t.co/39ovLDGESH',Cambodia,1306659998122962944
Baby26902596,b'@Seyha57337083 Sart',Cambodia,1306656873404231680
redskeeter,b'@thehill 90 days too late. Embarrassing',Cambodia,1306651280799158274
keo_pidor,b'Self-heating hot pot just add water ? and heat ?\n?https://t.co/tJf4N9EQgc\n#hotpot #asianfood #chinesefood? https://t.co/wxkqrNKpaa',Cambodia,1306643892716974081
goingfulltard,b'@MikeeeMartin Btw I did cum I wanna say from wet humping but that sounds really weird when I think about it ???',Cambodia,1306640176194568192
goingfulltard,b'Idk who I am anymore... I almost came from dry humping is this what emotions are like?',Cambodia,1306638349474492417
Lizanna1998,b'HELLO ? RATCHED https://t.co/bzxuLPGlrp',Cambodia,1306634477200842752
softfeatchewies,b'We miss you too dude??? https://t.co/E7RnkExTFo',Cambodia,1306633747115040768
softfeatchewies,b'Fact lol? https://t.co/nUa0QIOpOQ',Cambodia,1306633365236244480
softfeatchewies,b'Satzu is real????? https://t.co/gTffBRUt6h',Cambodia,1306633284810452993
Lizanna1998,b'OMG what is happening ??? https://t.co/ehGr9VZKq2',Cambodia,1306620419705724928
thomaswanhoff,b'@travelfish lifetime member redefined',Cambodia,1306617540378910721
thomaswanhoff,b'@DarrylDaugherty everything inside you stops',Cambodia,1306617363714899968
UpLevel14,b'I really want @NICKIMINAJ And Lisa collaboration ? @ygofficialblink @BLACKPINK https://t.co/7jkVb0LoDu',Cambodia,1306616758866833408
burneykh,b'@YellowCube7 Three cars? and he will still win the election. As if they are planning a civil war! Hmmmm...',Cambodia,1306611894745145344
BunRosa4,b'Handsome Boy ja ???????????????????? https://t.co/DUMCYVqB3V',Cambodia,1306601744814678018
Lizanna1998,b'@sapphicpeachess no solution but watch it over and over again while we wait for the next season ??',Cambodia,1306598110542536708
burneykh,b'@Chrome26311008 @CTVMontreal Exactly',Cambodia,1306596692792287235
burneykh,"b'@markf_7 @davidicke No, she is a viper!'",Cambodia,1306595038869159944
ammdaratii,b'Good night ?? https://t.co/FIMFXwMjdl',Cambodia,1306594740775788550
sreykeun,"b""you can't imagine how my step went to right or wrong place . my life got stuck by coronavirus. \n#feelinglonely? https://t.co/4DVfkdmfKY""",Cambodia,1306594063026515971
paravy7,b'Sweet mes https://t.co/GlD3WdGjrT',Cambodia,1306593059983876096
redskeeter,b'@RexChapman Now that is funny',Cambodia,1306588339777277952
rinchetra,"b'Pchum Ben has been finished of traditional Khmer...Ben 15 day is ready best..so very happy with sisster, brother an? https://t.co/LagcsTWKlX'",Cambodia,1306587861685157888
paravy7,b'@shiono_bot Where are you?',Cambodia,1306587614997143553
paravy7,b'@C1xByh3UirhckrS @PeeLee31583509 @CambodiaGuy2 @vasakada @artattooguy1168 @vin_kh06 @60HjYtMmIBdp5nx @dab_sai? https://t.co/VO5wlHWuBE',Cambodia,1306586999638302720
redskeeter,b'@jemelehill I don?t agree with you most of the time however this this is a great question.',Cambodia,1306585942862499840
MithSamoun,"b'@antonioguterres Yes, we will get peace full together in the world ??'",Cambodia,1306584764720185345
Panha44785691,"b""It's not all about being happy or sad, but it's all about how you keep moving forward. That's life, don't give up.? https://t.co/FvAm7uDNwD""",Cambodia,1306584598948622337
MithSamoun,"b'Hello dad, I really wondering about SDG5 equally gander why the women when have the Right equals a man, that equali? https://t.co/DcznnCFVLP'",Cambodia,1306584265161756673
MithSamoun,b'@statedeptspox Congratulations ?',Cambodia,1306577713017225216
MithSamoun,"b'@AminaJMohammed @UN_Women We happy to see that, but why don?t we try to achieve faster then 2030 with SDGs?'",Cambodia,1306564106594312193
ouvirak,b'This is big movement to watch. Could Europe follow suit? https://t.co/bZ444yjaPK',Cambodia,1306560817584730113
burneykh,b'@SteveDeaceShow Yes of course and no president created a pandemic to destroy the economy in order to install a Marxist regime.',Cambodia,1306560219380510720
burneykh,b'@matt_lawson09 @YellowCube7 Andrews is a Useful Idiot. He is expendable and will be tossed out when no longer neede? https://t.co/qjbceXr9ne',Cambodia,1306558990365544448
SWillimann,b'#StopAmazonFires -- call on the EU @vonderleyen @EU2020DE to ban the imports from illegally deforested lands in the? https://t.co/qrILeeMWCw',Cambodia,1306554143960522752
JessAndohThayre,b'Looking forward to reading this one... https://t.co/S8imU0bp0J',Cambodia,1306552443757457408
yorkshiremblem,b'Massive respect for your work and your patience. https://t.co/4SmMyq8fir',Cambodia,1306550356067774465
coinmasterfree1,b'? Congratulations ?\nIf you want to Reward coin master free Spin links\n???Follow all step\n1. Follow ?? https://t.co/BEnoxjJahg',Cambodia,1306541247222280192
