user,text,country,id
Dhe_Tutor,b'RT @Akguru01: Ya Allah replace our sadness with something beautiful',Cameroon,1306694413515657217
MiSafti_,b'@SaraCandyA Yupp !!',Cameroon,1306693501569167360
TavoWrId,b'@DropOutts That case not that bad',Cameroon,1306693443209572352
JHTheHurricane,"b""@Bat_mayne_ Welcome brother. There's so much I don't even know where to start lol.""",Cameroon,1306693203211546628
MiSafti_,b'Never ! https://t.co/s8Nujbhp6r',Cameroon,1306693088358920197
yuguda_m,"b'@channelstv A good idea, but with Nigeria factor, is another opening for another set of people to the public treasury and property.'",Cameroon,1306689736204001287
STOPKILLEY,b'RT @TavoWrId: get @ColbionEXTRA to 800 followers!!',Cameroon,1306689496075902983
TavoWrId,b'get @ColbionEXTRA to 800 followers!!',Cameroon,1306689261270376464
Ardox2,b'@martasolano_ My dear you look elegant',Cameroon,1306688616148668421
Saifull65684593,b'RT @Akguru01: Ya Allah replace our sadness with something beautiful',Cameroon,1306685456072028160
superdimentios,b'@keys_ship bears! bears!',Cameroon,1306683246483247109
yarima08,b'RT @Akguru01: Ya Allah replace our sadness with something beautiful',Cameroon,1306683165302546432
hippieripperr,"b'""I\'ll update after 1 week"" ? https://t.co/aIIjoPzgEa'",Cameroon,1306681110189932544
hippieripperr,b'@brookerturner73 @EMC__01 Thank you ??',Cameroon,1306680188617416704
hippieripperr,b'@Possible_MA @FaZe_H1ghSky1 Congrats in advance ? @litiritirisists @MeowChu27 @VanessaMae974',Cameroon,1306679847712817152
isxlde,b'@CamsMeuleman my lil man?? https://t.co/H3nqnH5xi0',Cameroon,1306678561105903616
ggukrly,b'@sweetchiminie soft core',Cameroon,1306677222938480641
hippieripperr,b'Goodnight for real ???',Cameroon,1306675516427051009
hippieripperr,b'@Giveaway_Contst Goodnight ?',Cameroon,1306675345622351872
hippieripperr,b'@TheRightSideLLC @WildBearCapper Thank you for the chance ???',Cameroon,1306675064041947137
Lorraine__Donna,b'RT @MiSafti_: Juste God. Love. And Forgiveness ???',Cameroon,1306674155304222720
LWaleedah,b'RT @Akguru01: Ya Allah replace our sadness with something beautiful',Cameroon,1306673769080127488
yuguda_m,b'@SaharaReporters Half of the cost can renovate many public schools and assist to enroll hundreds of the almajiris i? https://t.co/OM5Hgftyst',Cameroon,1306673009890127875
Babymfops,b'THAUVIN EHHHH',Cameroon,1306672281779871747
ChubbyXee,b'RT @Akguru01: Ya Allah replace our sadness with something beautiful',Cameroon,1306671864765444096
mcniialler,b'missing my aubergine hair ? https://t.co/7oypYrM7QC',Cameroon,1306668946410569729
AzeeBurner,b'RT @FadamaRanksGh: @Amerado_Burner - Twaso ft @fameye_music (official video)\nhttps://t.co/dHeWnIQbMN ???????',Cameroon,1306667856650735618
hippieripperr,b'@KuangTV @Roobet Roobet: hippieripperr https://t.co/vQmeGZjpg6',Cameroon,1306666103515480064
FadamaRanksGh,b'@Adina_Thembi After Jesus Maame Mary Na You ???',Cameroon,1306664832394047488
Erry_banks,b'@sia_nae Yup been bugging since 30 mins ago',Cameroon,1306661282997850117
BRITTGUNNELL,b'RT @PandaSpacey: @BRITTGUNNELL Bell\nTell\nShell',Cameroon,1306661221727309825
kingin77,b'Baby Keem - Hooligan ???',Cameroon,1306660245192744968
xAlifeFlock,b'@CANTDIE_ tony hawk for me...so expensive for me to get',Cameroon,1306660118897897472
Akguru01,b'Once people see no likes or rt that the best tweet for them to like or rt',Cameroon,1306659376145616898
SharedHands,b'20 Secrets That?ll Boost Your Facebook Organic Reach https://t.co/5iP70bnSPP',Cameroon,1306658682814504963
Akguru01,b'@es_sada_ Anything with 606 is borrowing',Cameroon,1306657749661614087
superdimentios,b'might fuck around and download Party 2 after i finish my schoolwork shit looks fun!!',Cameroon,1306657459218640897
0DegreesCelsius,b'RT @PandaSpacey: The music in the new CoD is amazing',Cameroon,1306656849752739846
superdimentios,b'lrt: me giving people faust',Cameroon,1306656792848596992
FadamaRanksGh,b'So for what reason are they interviewing that Dr.UN guy',Cameroon,1306656183814623232
FadamaRanksGh,"b""@davvydmoore Y'all follow back""",Cameroon,1306655618045009923
OffeiMusic,b'RT @FadamaRanksGh: @OffeiMusic - Fi Mano ft @patorankingfire X Blackstone (Official video) https://t.co/kwKIsp5DH7 ????? https://t.co/z8Q1i?',Cameroon,1306655030389469187
hippieripperr,b'Thank you Lord ? Goodnight!!!!! ?',Cameroon,1306653955770834944
Akguru01,b'Ya Allah replace our sadness with something beautiful',Cameroon,1306653084450533384
sokennysaid,b'Here?s a song for you? CYBERPUNK 2.0.2.0. by HEALTH\nhttps://t.co/LjWXe4kdbM',Cameroon,1306652672746041345
uriespics,b'@luvscadie Brendon Urie https://t.co/cauwAqcWHv',Cameroon,1306652351663689728
uriespics,b'@articgrazrr gosto vida?kkrjfkvogjgo',Cameroon,1306651663931932672
FadamaRanksGh,b'@tv3_ghana @Adina_Thembi A Queen ??',Cameroon,1306650959108599814
FadamaRanksGh,b'@QuasiBurnerx @kobbykatalyst1 T-roll',Cameroon,1306650006087241728
