user,text,country,id
fm_pino,"b'Everytime my depleted Marseille side come up against PSG, Man City or Bayern..\n\n#fm20 https://t.co/1GunBxfw9n https://t.co/kb9yQCNVAv'",Chad,1306698009036677121
NoorlBTS,"b'RT @DeservingLegnds: DO NOT CLICK ON THE ? EMOJI, IF YOU HAVE A WEAK HEART FOR JIMIN!!\n    \n                           ?'",Chad,1306695931149025280
fm_pino,"b""@fm_digi Don't worry we are all safe, it wasn't an emergency as much as we may have convinced you it was....""",Chad,1306694172431339522
fm_pino,b'Miss Pino is preparing to go back to work.....\nMy performance as Captain of the Aircraft cannot be ignored in this.? https://t.co/eBAFDlRSUS',Chad,1306691303967727621
Ihoobyyy,b'25 days?',Chad,1306688528336723983
_namukosmos,"b'RT @DeservingLegnds: DO NOT CLICK ON THE ? EMOJI, IF YOU HAVE A WEAK HEART FOR JIMIN!!\n    \n                           ?'",Chad,1306644801618673666
DeservingLegnds,"b'PLEASE SUPPORT MY THREAD, SHARE AND TAG YOUR FRIENDS ? https://t.co/vKDfQ5Czgv'",Chad,1306643541007966211
DeservingLegnds,b'I saw the same thing on Instagram yesterday https://t.co/aKmZl26ffZ',Chad,1306643382542962688
DeservingLegnds,b'MY TL IS JUST TOO HORNY!! WHYY',Chad,1306642225091301385
Jimjimm9,"b'RT @DeservingLegnds: DO NOT CLICK ON THE ? EMOJI, IF YOU HAVE A WEAK HEART FOR JIMIN!!\n    \n                           ?'",Chad,1306641283470028800
DeservingLegnds,"b'@Bangstan136 Nah, i was juss kidding ?'",Chad,1306641144718282752
DeservingLegnds,b'tw// injustice\n.\n.\n.\nMy mom slapped me for stanning bts',Chad,1306640472962674688
LattaeliciousV,"b'RT @DeservingLegnds: DO NOT CLICK ON THE ? EMOJI, IF YOU HAVE A WEAK HEART FOR JIMIN!!\n    \n                           ?'",Chad,1306640264342110210
DeservingLegnds,b'BISH YOU DESERVED IT https://t.co/RkkjiQRT2E',Chad,1306639925773729793
LobelyJiminP,"b'RT @DeservingLegnds: DO NOT CLICK ON THE ? EMOJI, IF YOU HAVE A WEAK HEART FOR JIMIN!!\n    \n                           ?'",Chad,1306639842110038016
Dopaminergiica,"b'RT @DeservingLegnds: Bish, you never listened to your mom, right? https://t.co/KZepcWDlRt'",Chad,1306639362352918528
DeservingLegnds,"b'@naughTAEorNice Wait, are you a bb no.1 singer fan?'",Chad,1306639143020253185
DeservingLegnds,b'@filtryanli @ANNSUGA__ Jimin has told me',Chad,1306638601359429632
DeservingLegnds,"b""Don't you dare ? https://t.co/84Y7k9dH8e""",Chad,1306637393890627584
ANNSUGA__,"b'RT @DeservingLegnds: Bish, you never listened to your mom, right? https://t.co/KZepcWDlRt'",Chad,1306637325489770498
