user,text,country,id
rrobertschwartz,"b""What's in the flu vaccine? https://t.co/BYTixjfc9N""",China,1306698055069175808
ti_xu_dao,"b""@NavinaHeyden '99.9% Europeans'!? Germany for starters is full of right wingers who probably love Trump. Maybe in y? https://t.co/5jXQu6osdJ""",China,1306697874261057539
Scampi21,b'How many burgers I gotta eat before ending up wit a neck like that https://t.co/i0wawunWym',China,1306697695680237570
spectraldaylon,b'@prqsm @emilyyurrr then what i said doesnt apple to you',China,1306697664772399105
Trump20204ever,b'@Avenger2Toxic @BreitbartNews Hello! https://t.co/A78EDezEEP',China,1306697636058148864
IG_Alfie_Conroy,b'RT @ysl_madara: Remember these 2? Feel old yet ? https://t.co/26RmBzfRTY',China,1306697527358558210
spectraldaylon,b'@prqsm @emilyyurrr do u live in ireland?',China,1306697171295666177
spectraldaylon,b'@emilyyurrr @prqsm ireland is to europe what detroit is to the us',China,1306696874393509889
spectraldaylon,b'@prqsm @emilyyurrr BUT! BUT TRUMPS DAUGHTER SAT ON HIS LAP!',China,1306696732739280897
GodswillObinn13,b'@SemperFiArsenal @OCTALIGA_ Once a baller always a baller?',China,1306696405919182848
InternetBando,b'I only look for girls when my wrist gets tired ? https://t.co/xSyvwaa6t3',China,1306696390052130820
NotDeltaTrader4,"b""@LVL1776 @LibertyLockPod It's almost as if the Russians had a plan in place to replace our professors and journalis? https://t.co/VvAg340YMW""",China,1306696318882996225
spectraldaylon,b'@emmysspam currently leaning towards e whore',China,1306696164775952389
irreIevantnada,b'RT @ysl_madara: Remember these 2? Feel old yet ? https://t.co/26RmBzfRTY',China,1306696114792542208
InternetBando,b'Either that?s not the sister or this the intro to something on xvideos. https://t.co/UEgXJRfNFY',China,1306695983426871297
bj_harris_1,b'RT @Fvrniis_: If I buy my own ps5 she buying her own wedding ring',China,1306695861318148098
Lululemonchello,"b""RT @rrobertschwartz: It's a good thing Barack was spying on everyone.""",China,1306695806355820544
spectraldaylon,b'@emilyyurrr you read it correctly',China,1306695673484578827
rrobertschwartz,"b""It's a good thing Barack was spying on everyone. https://t.co/jlRMO3NzhK""",China,1306695535718432768
NotDeltaTrader4,"b'@JoshSonders @LibertyLockPod I submit to you that you still have to worry.\n\nAs evidence, I present:\n\n2020.'",China,1306695507264167937
spectraldaylon,b'@emilyyurrr i feel the need to argue with you but youre irish and dont know what youre talking about',China,1306695343707492353
monewe09,b'Nna I advice joling. https://t.co/Ym1RUA6mIj',China,1306695238992498691
spectraldaylon,b'@emilyyurrr what?',China,1306694894724026368
DoesntMatter612,"b""@04zayfc @lourenzooooo @AdamSchefter Replace Sutton with Mike Evans and we're all in questionable WR hell...""",China,1306694651722702850
THEBIGSISKY,b'RT @SyrojT: Ma boy sisky is amazing',China,1306694628159127552
SyrojT,b'Ma boy sisky is amazing https://t.co/LMk7NFJ2vO',China,1306694533535629313
JEB1GRIME,b'RT @InternetBando: If you can?t do this lower your tone when you speak to me and only speak when spoken to peasant https://t.co/S4ZstgxWEY',China,1306694468960169989
jacobbrug,b'@NoHoesJoe54 facts im still pro 2 i aint getting that shit for next gen',China,1306694357349736448
InternetBando,b'If you can?t do this lower your tone when you speak to me and only speak when spoken to peasant https://t.co/S4ZstgxWEY',China,1306694345358274563
NotDeltaTrader4,b'@LeftWingParrot @gladis_regis @HastrupOla @PHXSupernova @JRubinBlogger And rightfully so. You are eating it up with? https://t.co/M6ANEGBsAy',China,1306694344838062080
kvngslyme,b'RT @Fvrniis_: If I buy my own ps5 she buying her own wedding ring',China,1306694336831205376
