user,text,country,id
secretgcd,b'@Kellimaroney @AdamSerwer Trumpies hate-reading Zinn will not turn out as well as he thinks.',Colombia,1306698498461622273
hashingitout1,b'Done ? vote &amp; rt https://t.co/9b4MRRzvzT',Colombia,1306698491553632262
ECrupi,"b'RT @BershodM: @realDonaldTrump @Mike_Pence @TwitterSupport @jack This is disinformation, please label it as such'",Colombia,1306698461589495810
Caseyfla,b'@johncardillo @FoxNews Good question.',Colombia,1306698459886555138
SIMEDHealth,"b'For migraines, eye irritation, or #COVID19 tests, come to SIMEDHealth Urgent Care this weekend. Open 9AM-2PM!? https://t.co/lt9Kwz1qip'",Colombia,1306698443591741441
BobBurg76348407,b'@HerschelWalker @FoxNews @CNN @espn @ajc @POTUS @MSNBC @HouseDemocrats @GOP @dallasnews Hershel is spot on!',Colombia,1306698427858812931
falboart,b'The Fight Between Good And Evil Original Abstract Painting Black And White Anthony R Falbo https://t.co/UuyyM4bj1d? https://t.co/2YrBd3Jq92',Colombia,1306698400268722179
PhysiciansofCFL,b'Today September 17th is the third annual National Physician Suicide Awareness day. https://t.co/gplHKcMRVS',Colombia,1306698384217198594
AsaurusBlue,b'@bklynbrewshop gonna start this batch today! I?ll let you know how it turns out! https://t.co/U5fJT9ICMj',Colombia,1306698380110897152
Dank_Virgin,b'RT @Calico1o1: Frickin join this you fricks\nhttps://t.co/tJ35DnyqBw',Colombia,1306698345902006274
BiancaAhonen,b'RT @VashtiQV: Fantasy Angels Series: \n?The Fall of Lilith \n?Son of the Serpent \n?The Rise of Gadreel (COMING SOON)\nSupernatural fantasy spr?',Colombia,1306698343238660096
MLinkk,b'@ReturnofR John ?The Quiet One? Entwistle ?? https://t.co/6k2DFV9mVP',Colombia,1306698326172225537
Orion___Khan,b'@eshaLegal thought there was a hair on my screen with this pic...',Colombia,1306698317275987971
MyJordansFresh,b'@mistergeezy It?s the juggernaut bitch is all I heard in my head ?????',Colombia,1306698317162741760
PTVACATIONS,b'Thank you for the re-tweet @TriptiCharan',Colombia,1306698310925930498
fifiboca1,"b'@BernardKerik @jpharley3000 With his attitude, it certainly explains why his daughter is a self-entitled anarchist.'",Colombia,1306698300930904070
atom1016,b'.....Army.....?...........ok. https://t.co/nFpy2U2s4X',Colombia,1306698292173197313
MrKnightman_,"b'""The Devil All the Time"" is perhaps one of the best movies I have seen this year, on Netflix.  Some Oscars should b? https://t.co/kHWxkPb2tt'",Colombia,1306698258383810567
ReginaldMaster,b'ME and Sonic https://t.co/El6LZeKesU',Colombia,1306698255527444483
Jilliemary,"b'RT @LifeWithJohn: Never stop being a good person because of bad people. ~ It may seem you are outnumbered, if you are a good person, but yo?'",Colombia,1306698252402724868
Tonyc67806241,b'@fkutrump23 That was funny!! https://t.co/RrSsnKK6gi do it!!',Colombia,1306698239580790785
gmiller1952,b'@Feisty_FL I don?t know how you do it. Wearing the mask at Publix is bad enough!',Colombia,1306698234501435393
LeChatNoire4,b'RT @rufkutdiamnd: @DemsKeys @LeChatNoire4 @tinyboo49 Keep it going!',Colombia,1306698207989321728
Tess3761,b'@ogprop55 Just saw it now. Really sorry about that. Hopefully more help should be on the way soon. Lot of unemployment in our state too.',Colombia,1306698187428765697
GlassShard,"b'@nasenlotl Shush, your style is terrific.'",Colombia,1306698183314214912
Caseyfla,b'@OutnumberedFNC @TheJuanWilliams @HARRISFAULKNER @MelissaAFrancis @dagenmcdowell @KennedyNation I have never been m? https://t.co/VAnCV5RFG8',Colombia,1306698183079321601
pseudonympho92,b'RT @barbabos305: Had to drop @Cumforzae off to work and after paying for gas his thigh starting looking  good asf. Let me get some pussyhol?',Colombia,1306698182827573249
falboart,b'Lean Not On Your Own Understanding Original Abstract Painting Anthony R Falbo https://t.co/ptP0tf2PWw via @Etsy \nSa? https://t.co/w98trLI3jd',Colombia,1306698143434780672
Wxgirl169,b'@Palmolive_S_Pan @vroberts9 @VitCza @GordonHarmony @MissytheB @lynda3035 @Tonithecat32 @sharon_cantley @BloomNight2? https://t.co/hgGsoyzCS3',Colombia,1306698118029807617
Calico1o1,b'RT @Calico1o1: Frickin join this you fricks\nhttps://t.co/tJ35DnyqBw',Colombia,1306698082210455556
TUSABEEW,b'RT @disparandoajp: fuck off',Colombia,1306698074287374336
DTHutson,"b'RT @ScottImmordino: FACT CHECK:  Biden will not raise your taxes unless you are making more than $400,000 per year (and that increase will?'",Colombia,1306698047938756609
footprintsinpd,"b'@bjkbrady @HammockResort @VisitFlagler @MarinelandFL That?s awesome!  I?m glad you guys had a productive, relaxing? https://t.co/dxwHQDVgRu'",Colombia,1306698029194502145
KRothgeb,"b'I would whisper, ?Oh God? but that won?t be allowed or the kids will turn you in. https://t.co/SyJzmZAm3Y'",Colombia,1306698011649736706
Agentvp,b'How to Make Your New House Feel Like Home After a Move https://t.co/cDdNuDqNRG https://t.co/5HTwQRJKPN',Colombia,1306698008210354178
MyJordansFresh,b'@_Koach_K Me outside of Popeyes ?IS THIS YOUR CHICKEN SANDWICH!!!? https://t.co/y8BPlceinj',Colombia,1306697999599501312
christiantennis,"b""@FiringOnAllFive @thomaslhorrocks ?\nNah.\nI'm just saying.\n\nThe USA church model just might be winding down.\n\nFamili? https://t.co/G7vSnWIzzZ""",Colombia,1306697952962936833
becklyboogames,b'Legit sad that my twitch stream yesterday didn?t upload to my channel! Had my settings to where it would save too.? https://t.co/SDV4dNVcKd',Colombia,1306697921040125952
ChristianStella,b'Chilling and chatting live on Twitch right now: https://t.co/tdmQ2YcG9Y https://t.co/qxURwLAJGc',Colombia,1306697919928639505
AnneFromMaine,"b""Pence's former lead coronavirus task force aide slams Trump and endorses Biden in new video\n\nhttps://t.co/Hc4ybarZFh""",Colombia,1306697893412208643
ahimsalotus,b'@Briteeye777 @ZengerleJoshua Following!\nElizabethanon@ahimsalotus??\nIFBAP???\nThank you in advance!??',Colombia,1306697891784912902
falboart,b'The Valley Of The Shadow Of Death Original abstract Painting Anthony R Falbo https://t.co/lThG8C00ju via @Etsy Sale? https://t.co/y7RMUw6CAe',Colombia,1306697848139001857
musicalmytho,b'@MrNotAPoliceman yeah this is what i meant im the tweet aha',Colombia,1306697840069152769
vickie_baron,"b'@NY_runaway The ""militia"" that is too chicken isht to join the Army and too stupid to pass a PD exam....? THAT ""mil? https://t.co/awsUudjViN'",Colombia,1306697779201421312
TahlJon,b'RT @Wecanbebetter_: ? Trump?s lying accordion hands! Volume up!\n        #TrumpIsALoser',Colombia,1306697771299360776
TheRisingPride,"b""Usually I can extract some sort of meaning behind these, but this one's just odd""",Colombia,1306697732577546244
