user,text,country,id
gypsyroseink,b'trying to pee in a cup at 38 weeks pregnant at your doctors appointments is a literal JOKE LOL ?',Comoros,1306676260207128577
mews_light,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306670957101187083
crsdpanda,b'@ancr_cotswold @Pocket_Camp rip to you',Comoros,1306664240850202624
crsdpanda,b'@ancr_cotswold @Pocket_Camp then you still responding? Lol',Comoros,1306661359807995904
crsdpanda,"b""@ancr_cotswold @Pocket_Camp yeah it's only twitter yet you still keep arguing with me lol""",Comoros,1306655710151761920
crsdpanda,b'@ancr_cotswold @Pocket_Camp yeah because it is totally different like what i said acpc is a mobile game while acnh? https://t.co/ReNAq0xVlW',Comoros,1306653735997718528
crsdpanda,"b""@ancr_cotswold @Pocket_Camp Everything have different functions. ACPC is mobile game while ACNH is a console game there's a big different.""",Comoros,1306647065187901440
crsdpanda,"b""@ancr_cotswold @Pocket_Camp yeah people have the right to ask a questions but to the right people or page. you can'? https://t.co/40cV7c9tsF""",Comoros,1306646386281050113
crsdpanda,"b'@ancr_cotswold @Pocket_Camp acnh have better animation, you can customize items/clothing and many more things then? https://t.co/nVe7KPuCbE'",Comoros,1306643785904918528
crsdpanda,"b""@ancr_cotswold @Pocket_Camp yeah it's just game yet some of acnh players keep complaining why acpc items are not in? https://t.co/Qlje6cW7gb""",Comoros,1306641786136190976
crsdpanda,"b""@ancr_cotswold @Pocket_Camp you have been bought the whole ac company complaining like you're the privilege just because you've bought acnh.""",Comoros,1306627549045293061
crsdpanda,b'@ancr_cotswold @Pocket_Camp to begin with this is acpc twitter.\nwherever? excuse me acpc and acnh have different tw? https://t.co/62hApCFdEz',Comoros,1306626689804320768
sweetsofheartMG,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306609389349089282
shinyshineegirl,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306594726515277824
mewlions4eva1,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306591118461513734
tinymewgulf,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306590479300132864
USComoros,b'#TrainingOpportunity Are you interested in becoming an English language teacher or in refreshing your understanding? https://t.co/wVg99CLMx4',Comoros,1306586257561182208
AthiaYue,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306567950162223105
Fonthip_NN,b'RT @sunnysuppasit: the way i really love everything about him ?',Comoros,1306560628325318657
Sunshin15612236,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306560608272220161
bootxo,b'RT @tatutxiki: @bootxo Oh yeah! https://t.co/4jP5bE0TSp',Comoros,1306560541729722368
tatutxiki,b'@bootxo Oh yeah! https://t.co/4jP5bE0TSp',Comoros,1306560020243525632
sunnysuppasit,b'the way i really love everything about him ? https://t.co/a1YVI4ZqZX',Comoros,1306559941872771075
oosgnuykhod,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306546654351368193
Soifoine2,b'@Azali_officiel Well done @Azali_officiel',Comoros,1306541937504247814
raelyn_99,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306537761814581249
svenWithYou,b'RT @sunnysuppasit: first time i?ve seen babie chopchop tilting his head to the side and i?m so far gone ?https://t.co/ROZWg8HKRN',Comoros,1306537284691402753
