user,text,country,id
NosaraNumberOne,"b""@Bubbette23 @AnaCabrera @EricTrump  seems significantly mis-informed here. It's NOT optional. When the NY AG is rea? https://t.co/04sICaJei9""",Costa Rica,1306698181443346432
NCTzenLife_,b'thinking https://t.co/5kdmJH3K9Q https://t.co/gPWN7VnPTe',Costa Rica,1306697762319204352
NCTzenLife_,b'do i give in to capitalism today?? or just sit &amp; eat my lunch',Costa Rica,1306697155839537152
jkshins,b'treasure cb later this is so exciting',Costa Rica,1306696180320079872
NosaraNumberOne,"b""@Jillbiden46 @JoeBiden I'm voting for Joe for sure, but I've also been waiting for more than a week for? https://t.co/Pp0eia0xTS""",Costa Rica,1306696076880015360
tyonglee__,"b""Maybe I should've gone to bed earlier""",Costa Rica,1306695265726808071
eme09700594,b'Doble moral. https://t.co/Y3DACMIon1',Costa Rica,1306694933546496013
fedezappa,b'Mood: https://t.co/psKXrVNeaX',Costa Rica,1306694819922825217
arro_conleche,"b""@ljsquadlatam @LeslieOnAir @LeslieOnAir I Want #ExtraVotes For Lauren Jauregui For Y100 Michiana's Artist of the Summer""",Costa Rica,1306693156365369346
binnfairy,b'@adoresyong Felix de stray kids',Costa Rica,1306692964756992002
baltazavrulus,b'RT @dailytyongn: Taeyong during smrookies era : a thread https://t.co/wyYiI3qVWW',Costa Rica,1306692932657991681
doIonger,b'itici!',Costa Rica,1306692193319559170
KZ_Howell,b'RT @TheJunkPicker: Ellie Douglas Author - @AuthorEllie \nNew Horror From Way Down Under\nhttps://t.co/enEALR8AEc',Costa Rica,1306691747381211138
arro_conleche,b'@ayplatanitos Obvio',Costa Rica,1306691064342904833
tyonglee__,"b""I guess we really shouldn't force ourselves to anyone especially when they're the one who stops replying. Even when? https://t.co/gbZoBj2zht""",Costa Rica,1306690973708161024
nctcarebears,b'RT @jungwoopure: i was watching an old live and i really miss luwoo tbh. shippers are annoying af but i?m looking forward to seeing lucky t?',Costa Rica,1306690765893050385
binnfairy,b'@kcwlvy Same',Costa Rica,1306690750227320837
TheJunkPicker,b'RT @TheJunkPicker: TJP: 4.3 rating/46 reviews. Kindle #1 historical biographies/#8 humor for 3 consecutive days June 2016; Kindle free #5 h?',Costa Rica,1306690635689271313
bakuhasu,"b'I remember buying a 8800gt and that can barely play it at 30 FPS at medium. Now I can break that classic game, I fu? https://t.co/oOGBUtSRip'",Costa Rica,1306690596690518017
