user,text,country,id
MJJCollins,b'@CoachLRJ @BoxeoDeBlog @babytacomeat Love it.',Croatia,1306697662922731520
nongdarko,b'Scenes TSC 4 FCSB 4 unbelievable 90th minute goals',Croatia,1306697338216484872
MatagaJunior,"b'Featured Art of the Day: ""Bones"". Buy it at: https://t.co/ozWOPXYr42 https://t.co/8fgyvQPrWl'",Croatia,1306694615995682821
nongdarko,"b'Two wins tonight for the Red rose against the white, Burnley beat Sheff utd and Lancashire beat Yorkshire great stuff.'",Croatia,1306693474226495493
nongdarko,b'Great bowling by Mahmood Lancashire win and qualify ?????',Croatia,1306693024500666368
nongdarko,b'Yes Lancashire are still alive',Croatia,1306691101030522888
Aleks_with_KS,b'The state of mind just one night before giving presentation about what I did during my 1st year of PhD  ??? https://t.co/1VBDYAfJMw',Croatia,1306690421662326813
nongdarko,"b""Some people don't think was a red card. ? https://t.co/wfFKtkobMR""",Croatia,1306690037036339200
sakagibisin,b'@mrbauicingldm ment bir',Croatia,1306689479198076928
nongdarko,"b""Listening to Bumble talk about chippy's, brilliant.""",Croatia,1306682205176049664
LiLiOsCro,b'Share and invite members to your @wakelet space! ??\nSee how easy you can do it!??? https://t.co/DbbgqMpIbg',Croatia,1306678873707380746
nongdarko,"b""@Mickbfc76 You could be right, let's pray you're not ???""",Croatia,1306668035982360576
mattn2424,b'@BarstoolBigCat Hey Big Cat got any of that responsibility https://t.co/1qYXyE6Hny',Croatia,1306667595366572032
ivanristi_c,b'@narkorooby Opet?',Croatia,1306666954451812352
nongdarko,"b""@Mickbfc76 Yeah at least I would have thought, poor lad looked in a really bad way. If he's not seriously injured i? https://t.co/gBNSwGTCXo""",Croatia,1306666889880444928
IamBranko,"b'@BaldMarkets Sir, just started to follow your profile, realy good and objective tweets. Please, is there a tool for? https://t.co/vAO5S8mb4l'",Croatia,1306666657713213445
romissm,b'Tom Petty- Free Falling + Lyrics On Screen https://t.co/F5YKyYE3co via @YouTube',Croatia,1306665682860470278
nongdarko,"b'So chuffed with that especially after that tackle, really got me going. UTC'",Croatia,1306663246716428291
deebusylilbee,b'Wow some big names on this one @MAXMusic and @henrylau89 ?? at least 2020 if giving us some good music https://t.co/8aCPH6DkBX',Croatia,1306663094379315203
Paz82639258,b'Shiiiitt https://t.co/Kd3VXEcMgF',Croatia,1306662969602965516
nongdarko,b'@BurnleyOfficial @onsite_spraying YES bloody brilliant ??????',Croatia,1306662599464046593
fivefullmoons_m,b'@ShemiiD love this one! :D',Croatia,1306662192754954240
nongdarko,b'Yes Pope lad',Croatia,1306661436014329860
zan1105,b'Enter for a chance to win a custom ORIGIN PC MILLENNIUM gaming desktop and CORSAIR accessories bundle!Giveaway is... https://t.co/y0af4B9Cdn',Croatia,1306661100197474304
nongdarko,"b""@Tobzzz03 @TurfMoorLoyal No intent? Fucking hell I love a strong tackle but that was out of order and it's not up t? https://t.co/XTblbDeSOF""",Croatia,1306660037377560578
kaymakcc,b'@basaakysz yook',Croatia,1306659842296340485
IamBranko,"b""Hey @RobinhoodApp when are you expanding to Balkans? Don't force me to use VPN ?""",Croatia,1306658802520010752
lovelybeetle,"b'@MarshaBlackburn Even better, have a king instead of the president. Prince Charles should be available within few years.'",Croatia,1306658499997429760
zan1105,b'CUSTOM GAMING DESKTOP GIVEAWAY! Enter for a chance to win this custom Crysis Remastered-inspired ORIGIN PC MILLENNI? https://t.co/gpUTtIpqBi',Croatia,1306657706497933313
nongdarko,"b'Great ball in by Lowts, he has got that in him his delivery can be top class'",Croatia,1306656595309404162
nongdarko,"b'That Brady free kick was going in, come on Burnley'",Croatia,1306654241172475912
nongdarko,"b""Great little play between Jay and Vyds before he's taken down on the edge of the area.""",Croatia,1306654074901848065
nongdarko,b'Gooooooooaaaaaaallll Matej Vydra you fucking beauty Get in there come on you Clarets',Croatia,1306653681916563457
OrtaSahaNobeti,b'This is so Freakin Cool ?? Tell me what you got ? #blackjoy #JuntosSomos #AppleEvent https://t.co/Us0jYAPEgk',Croatia,1306653192990732291
LiLiOsCro,b'Today I received the certificate for the completed course in the summer months?\nGreat course!??\n@AdobeForEdu? https://t.co/ylpoVQVpHe',Croatia,1306653069111947267
tico513,"b""@THEREALRTU That's still supply and demand. You bottleneck the supply and profit.\n\nSome say it's a bad thing, but i? https://t.co/vsgIEYMvug""",Croatia,1306648993833848832
nongdarko,"b'@TurfMoorLoyal But if Ben Mee, or any of our players followed through with a tackle like that I would not be impres? https://t.co/9Oqy0iBAW1'",Croatia,1306647825091092485
nongdarko,"b""@TurfMoorLoyal Tbh I didn't see it and they're not showing any replays during half time.""",Croatia,1306646945063153668
nongdarko,"b'@TurfMoorLoyal Terrible challenge, look like he meant that too, Red card all day long, fucking fuming.'",Croatia,1306646361350320129
SrkyRS,b'@MrGMYT Bastion Afterlives was the best for me.\nMaldraxxus was kinda boring. They should had Orgrim Doomhammer inst? https://t.co/lk5GddaRtF',Croatia,1306644714968551426
ayyheytmaylayf,b'Mood https://t.co/VuxbJ96pDf',Croatia,1306641152867733506
JonTurkk23,b'@MovieGrafMG GG netflix',Croatia,1306640727787667457
DinoPepic9,"b""Absolute no.1, but if Neuer wins, we can't say it is not deserved. He was brilliant at the end? https://t.co/uWYsQ50QEo""",Croatia,1306638397914722305
nongdarko,"b""JBG carried off on a stretcher doesn't look good, what a terrible opening to the game, far worse than goal.""",Croatia,1306636448075059201
antotoki,"b'@julielerman @FransBouma @cwoodruff @el_mcquade @thebeebs If we take Author-Book relationship as an example, why wo? https://t.co/RxVullstJ3'",Croatia,1306633175003803655
nongdarko,"b'Logged in just in time to see us go 1-0 down, think I may regret spending a tenner on this ?'",Croatia,1306633024583471107
sakagibisin,b'@hzyarramovic OHHH BEEE',Croatia,1306631608083132416
nasilsinreis,b'Central Park 10/10 https://t.co/2dsprcNQZd',Croatia,1306628933698363395
DavidoofOpR,b'goooooool be',Croatia,1306628931077001219
Paz82639258,b'@DanielSan471 En fin...?',Croatia,1306624549539241984
IamBranko,b'@businessinsider @nikolamotor likes this',Croatia,1306623069058936832
aukondk,"b""@cwgabriel There's always eBay https://t.co/j1N2xtAFnx""",Croatia,1306620322406432770
judith23y,b'RT @DrSvalinich: @judith23y @Papatya52603213 @TataGoncharenko ???????forever???',Croatia,1306615746735337472
kimkibug,b'@ycetn44 Evet ?',Croatia,1306614118435229696
LukaIec,b'RT @nkosijekfans: We are ready! ????? https://t.co/BYbVwXVlUP https://t.co/ZrxbyTjgMb',Croatia,1306610461853573121
yasinverimm,b'@koronapatt @zerqddt Walt?',Croatia,1306603377766395907
ErseneWenger,b'@obtusum Bitte ??',Croatia,1306593394714574852
DrSvalinich,b'@judith23y @Papatya52603213 @TataGoncharenko ???????forever???',Croatia,1306585952387698690
MJJCollins,b'@HonestLarry1 @JFeinsteinBooks Terrific read. Loved it.',Croatia,1306584165903630336
Velvetlusia,b'@aragovicka iskra be like https://t.co/Zvxuga6503',Croatia,1306580437763076096
nkosijekfans,b'We are ready! ????? https://t.co/BYbVwXVlUP https://t.co/ZrxbyTjgMb',Croatia,1306578191880945667
nkosijekfans,b'We are ready! ?????\nhttps://t.co/XCz4ePd2ry',Croatia,1306577918743674880
IamBranko,"b'@cz_binance Here we go again, new week new 1000% up/down token. Fiat is violating commodity also, but cmon, 1000% in a day?! Ah'",Croatia,1306565370740908033
xeeegor,b'RT @10tmzk: @REALSTEGMAN the real OG drink https://t.co/9l7e5PeU87',Croatia,1306565051793506306
puljko_marko,b'Medovik ( Russian honey cake)\nFind the recipe here??\nhttps://t.co/xWkRJQITHY https://t.co/KdD6GppurC',Croatia,1306564753687535618
REALSTEGMAN,b'RT @10tmzk: @REALSTEGMAN the real OG drink https://t.co/9l7e5PeU87',Croatia,1306562001758371840
amlinarev,b'RT @_prototyp: Variants are coming to @figmadesign! #figmaconfig https://t.co/4jhuXW9bLO',Croatia,1306557195358789633
amlinarev,b'RT @_prototyp: Interactive components in @figmadesign  coming up in January! #configeurope #uidesign https://t.co/DDPom1uE15',Croatia,1306557142632222720
tomic_mihael,"b'RT @_prototyp: Memory saving, improved overrides when swapping instances and all new @figmadesign features will drastically improve product?'",Croatia,1306557064773341184
bulutgilleer,b'@SaclVahdettin Amin ??',Croatia,1306556949509607425
_prototyp,"b'Memory saving, improved overrides when swapping instances and all new @figmadesign features will drastically improv? https://t.co/6WlGG49U06'",Croatia,1306556468544581633
tomic_mihael,b'RT @_prototyp: Flexbox like auto width for components is so good! Wondering when we could have breakpoints? :) @figmadesign  #configeurope?',Croatia,1306555117282488320
_prototyp,b'Flexbox like auto width for components is so good! Wondering when we could have breakpoints? :) @figmadesign? https://t.co/IcvjZzIo71',Croatia,1306554906782904322
_prototyp,"b""@cifountaine We can't wait! Another win for Figma.""",Croatia,1306554153301409793
tomic_mihael,b'RT @_prototyp: Interactive components in @figmadesign  coming up in January! #configeurope #uidesign https://t.co/DDPom1uE15',Croatia,1306553715411873792
_prototyp,b'Interactive components in @figmadesign  coming up in January! #configeurope #uidesign https://t.co/DDPom1uE15',Croatia,1306553588945244161
_prototyp,b'Variants are coming to @figmadesign! #figmaconfig https://t.co/4jhuXW9bLO',Croatia,1306552960076394497
senpaigldns,b'@keziahmarieee miss u po ?',Croatia,1306548865777037312
amlinarev,b'@figmadesign Config starts soon! Pro tip - registration still works ;) https://t.co/Fnjl9b1Frm',Croatia,1306545417157586946
geekinCroatia,b'@geoffkeighley The showcase was a hard win for SONY.',Croatia,1306545032757997573
Eskintihar00,b'@Metruk33 Amenna?',Croatia,1306540644647796736
dukyso,b'@BillGates @ericka_sable64 Hello mr\nHow are you \nPlease can you help me',Croatia,1306536988858814464
Budabenimfikri2,b'@sakinkaliremcim 10/10 tespit',Croatia,1306530553924136961
Ngo9lives,"b""When we first found him, he couldn't walk. He was hit by a car which severely damaged his hind legs. He came to us? https://t.co/B4k5g9YtuI""",Croatia,1306528364480671744
Emrekurtt11,b'Father at 20 / Me at 20 https://t.co/v8NYaBpQRT',Croatia,1306525676518998016
HipHopOsArmando,b'Just posted a photo @ Croatian National Theatre in Osijek https://t.co/XPVkBoY9Cd',Croatia,1306522317787246594
DrSvalinich,b'@Sinemze31834260 @BondarevskaLana ???I trembled as I watched this scene!!!',Croatia,1306520478752935938
brlekica,b'Today is propitious for addressing any domestic issues that ne... More for Libra https://t.co/rvxOreXYBb',Croatia,1306518310679240706
Velvetlusia,b'@Zacharaja @the_simulacra *riverdances away from this negative attitude* https://t.co/sZ2OVVntpy',Croatia,1306507855340744706
inchoo,"b'Trying to advertise your product on @amazon , but it doesn?t have a Buy Box?\n\nBut why does Amazon even require Buy? https://t.co/vglr1GTQep'",Croatia,1306501501603389440
BowvieWeather,"b'Current #weather in #Strizivojna, Partly cloudy with a #temperature of 26 degrees celsius. Keep track of the weathe? https://t.co/20fv0QmXqB'",Croatia,1306488094221389824
nodeQuotesBot,b'RT @_prototyp: Want to improve website performance? ? @AdrianBeceDev explained how to eliminate render-blocking CSS and JavaScript to impro?',Croatia,1306483147232751616
amlinarev,b'RT @_prototyp: Want to improve website performance? ? @AdrianBeceDev explained how to eliminate render-blocking CSS and JavaScript to impro?',Croatia,1306483125506146305
dinasostarec,b'?VOICE SEARCH ?\n\n3 easy tips for optimization? https://t.co/ovpWcGcTyz',Croatia,1306479842397958144
IvanBernatovic,"b'@theDannyShin @SnazzyQ Because they want you to buy digital, that way the only way to buy games is through PSN Stor? https://t.co/VfM2uNyfEd'",Croatia,1306478241520254980
DrSvalinich,"b'@1burju These were days of contentment, love and excitement???'",Croatia,1306476798893584385
