user,text,country,id
piyushappy,"b'RT @desi_thug1: Pratima of shri vishnu ji was made of rare marble imported from Vindhyachal Mountains, the king sacrificed eight of his son?'",Cyprus,1306698330127302656
shorbizzare,"b""RT @desi_thug1: The rare 1890's photo of the Brihadeeshwar temple, Tanjore https://t.co/F7BTIP8Ta5""",Cyprus,1306698060966195200
YapaPulla,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306697902505353216
djtango_,b'Just posted a photo @ Cyprus https://t.co/XTxMHlPR0j',Cyprus,1306697638742458369
Shraman_Speaks,"b""RT @desi_thug1: The rare 1890's photo of the Brihadeeshwar temple, Tanjore https://t.co/F7BTIP8Ta5""",Cyprus,1306697458806935553
KToTheLow,"b'Jokes about infidelity I don?t find very funny, cause y?all really be out here....'",Cyprus,1306697339806142466
SitanshuDesai,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306696824242212866
KToTheLow,b'My research methods class is half figuring out how to use Zoom',Cyprus,1306696728335220736
SitanshuDesai,"b'RT @desi_thug1: Pratima of shri vishnu ji was made of rare marble imported from Vindhyachal Mountains, the king sacrificed eight of his son?'",Cyprus,1306696594155352064
SitanshuDesai,b'RT @desi_thug1: [?:- The Pasta Pins]',Cyprus,1306696590409764865
SitanshuDesai,b'RT @desi_thug1: Laxmi narayan Temple Chamba Himachal Pradesh dedicated to Lord vishnu and lord shiva',Cyprus,1306696583619268620
WizardFoxy,b'@Aliciawitdaart fuck I miss Lara-Su',Cyprus,1306694764562178053
vernekarsachin2,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306694412483747840
Dtastich,b'#CancelSonicTwitter play Viewtiful Joe it is a underated Franchise https://t.co/inVyxlzb6h',Cyprus,1306694160230027266
rishirich55,"b""RT @desi_thug1: The rare 1890's photo of the Brihadeeshwar temple, Tanjore https://t.co/F7BTIP8Ta5""",Cyprus,1306693727230984193
Dtastich,b'@ZODX_750 @kokoloko45 Why did you post the same picture twice?',Cyprus,1306693442597253124
Dtastich,b'@Duckii16_ Yeah you should play it',Cyprus,1306693267736723457
Sans_Hill,b'@shookdoll  i am very proud',Cyprus,1306692916295929860
Dtastich,"b'Is it funny that I got in Sonic Twitter through Bc Media, Gamerguyd, and Premy?\n\nAnd is it funnier that I unfollow all 3 of them?'",Cyprus,1306692754257391618
M_W_khanyile,"b'RT @XM_COM: For all clients who open their first real account, XM offers a $30 trading bonus to test the XM products without any initial de?'",Cyprus,1306692158439731203
DesiApache,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306691866767761410
Rahul97063975,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306691752032575489
RossWoolgrove,"b'Back at one of my favourite locations, where the book of my sessions and training will be held in the weeks ahead.? https://t.co/pmv7Aec1Bc'",Cyprus,1306691748928917504
govindaramanbe,"b""RT @desi_thug1: The rare 1890's photo of the Brihadeeshwar temple, Tanjore https://t.co/F7BTIP8Ta5""",Cyprus,1306691536030056448
NirvanaRuchi,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306691479230910466
CriminallyVu1ga,b'@benshapiro But who is going to buy coastal homes Ben?\n\nFucking Aquaman?',Cyprus,1306690247565012993
Ramthapaktmboy,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306689086456033280
OverlordX64,b'RT @EveryNightJazz: Is....this true? https://t.co/OHtWUnTXhD',Cyprus,1306688753382162437
Dtastich,"b""@PennyUnlaeshed I didn't know you were a Penguin.""",Cyprus,1306688526902272001
CriminallyVu1ga,b'@simmonssteve Any comment on your racism?',Cyprus,1306688178858811392
KToTheLow,"b'I have to put my phone on ""do not disturb"" in the middle of the day. All these apps send you notifications for like? https://t.co/e4SfGHDd2g'",Cyprus,1306688120574877701
KKRai97,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306687983085449217
farrellmcmanus,b'@JasonClaman @bariweiss She IS a Trumper!',Cyprus,1306687500220538880
HabenWarden,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306687259689721856
ummu_musayyab,"b'RT @XM_COM: XM offers a deposit bonus up to $5,000 on top of your investment amount, giving you the ability to start trading with more capi?'",Cyprus,1306687191146549257
HabenWarden,"b'RT @desi_thug1: Pratima of shri vishnu ji was made of rare marble imported from Vindhyachal Mountains, the king sacrificed eight of his son?'",Cyprus,1306687068530073600
l0ukkh,b'Just posted a photo @ Paphos District https://t.co/Y4Tnc106Te',Cyprus,1306686539297099777
DeepaliGovekar,"b""RT @desi_thug1: The rare 1890's photo of the Brihadeeshwar temple, Tanjore https://t.co/F7BTIP8Ta5""",Cyprus,1306686064292065280
Vishal91786471,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306685801724440576
angshguds,"b'RT @desi_thug1: Pratima of shri vishnu ji was made of rare marble imported from Vindhyachal Mountains, the king sacrificed eight of his son?'",Cyprus,1306685795990790144
nicholasspap,"b'In nature, nothing is perfect and everything is perfect...? https://t.co/6N8ztP3JSU'",Cyprus,1306685233694154763
Dtastich,b'@PennyUnlaeshed This is a sad ending',Cyprus,1306684522461892611
Saaak_She,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306684425200005121
BinosParis,"b'Wellness medicine is the field that focuses on improving overall functioning, quality of life, and wellbeing, beyon? https://t.co/ABrLTXSHOr'",Cyprus,1306684128797089792
myulaflaga,b'Saw this on facebook earlier. Ut love tou nayni thank you for earlier ???? @VenusMartinez17 https://t.co/CIypTGd1Kd',Cyprus,1306683986949935106
melvtonin,b'@machinegunkelly what happens to people who already ordered shirts in the old design?',Cyprus,1306682975820578816
WaveOriental,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306682450492362753
chaitanya0c,b'RT @desi_thug1: Those who prepared the list of seven wonders of this world have never seen these our divine temples https://t.co/EJGUA1Xf7t',Cyprus,1306682430514896897
AngrokVa,b'RT @EveryNightJazz: Is....this true? https://t.co/OHtWUnTXhD',Cyprus,1306682187962617856
1inthetrenches,b'@its_JUSTICE_ I?m off today so I?m at the bar',Cyprus,1306681644032520192
Def_Redefined,b'*has conducted',Cyprus,1306681366642388997
1inthetrenches,b'@its_JUSTICE_ Lmao i feel that',Cyprus,1306681269095292929
farrellmcmanus,b'@jbouie @attackerman We tweeted at the same time!',Cyprus,1306680944468856836
