user,text,country,id
Itslikeameme,b'@TafferKing451 @JonCheetham1 Oh good the game you have no way to buy. :/',Czech Republic,1306698273961500674
Itslikeameme,b'@Vomit_Dragon The original?',Czech Republic,1306696487154393092
Itslikeameme,"b""@Lunar_Cult So that means I'm guilty of transphobia when I read HP when I was like 10 or what? That doesn't make any sense.""",Czech Republic,1306685954002952196
CzeGooner,"b'If you want the same, please join and sign as I did! ?\n\n""France Football: Reverse the decision to cancel the 2020 B? https://t.co/8Aw4LzdsOU'",Czech Republic,1306685744291995648
CzeGooner,"b""@AFCSamuel_ We'll buy Raya and Aouar as well. Mikel knows what he's doing. Everything he's done so far made a perfect sense. Chill, mate.""",Czech Republic,1306684454400819208
mocpremocboy,b'@huloklara Cringe',Czech Republic,1306683706728427520
Aidam95,"b""@vintageredss we will find a way to play them 4 times in PL, don't you worry about that mate""",Czech Republic,1306683258432823296
Xirisko,b'@LafontantDwayne I told him its a bad idea',Czech Republic,1306682820065144834
Xirisko,"b'@FavDockOfShame I see, infinite elimination potential'",Czech Republic,1306680304787173376
Xirisko,b'@FavDockOfShame Are you intentionally trying to loose the battle between you and verminator? He?s gonna verminate you for using twitlonger.',Czech Republic,1306678225226080257
Aidam95,"b'@FPL__Raptor I still have him as vice-captain, this could be last minute decision tbh'",Czech Republic,1306678181261447168
CzeGooner,"b'Big up this United fan! Banter aside, he speaks facts only. I like your passion, man! ? ? https://t.co/vVdn0MnqPz'",Czech Republic,1306677595329757187
Oviii_7,"b'@MikeSneideman @YouTube Okay, but in vaccuum you would check right?'",Czech Republic,1306675562421923841
hladovejpes,b'@NeuroLol666 Upit',Czech Republic,1306674647602286593
Xirisko,b'@LafontantDwayne This is getting out of hand',Czech Republic,1306673641879461893
Aidam95,b'@MUFC_JAKE_DARTS It will be close but Martial should be at the end of most of our attacks and he is 1.5m cheaper.? https://t.co/BlGZRC3ROr',Czech Republic,1306671839301840896
CzeGooner,"b""@AFCSamuel_ I had only two shirts with player's name.\nPatrik Berger (Czech Rep. national team) and Tom?? Rosick? (B? https://t.co/gEzs9H4Ur3""",Czech Republic,1306669410137112579
mocpremocboy,b'@praise_concrete Bcs u gay',Czech Republic,1306669366528835585
Aidam95,"b""For me it's\n\n1) Martial\n2/3) Fernandes and Greenwood\n4) Rashford https://t.co/ESLVFN9GPf""",Czech Republic,1306669053474414592
Itslikeameme,"b""@Vomit_Dragon @matteblackeye I see you're a man of culture.""",Czech Republic,1306667058940317697
CzeGooner,b'@schneidermike @EddieLongbridge His dog...',Czech Republic,1306666833785819149
CzeGooner,b'@AFC_Addict_101 I would be embarrassed and ashamed after that abysmal performance... Credit to Lokomotiv Plovdiv.',Czech Republic,1306666205823012867
CzeGooner,b'@EddieLongbridge But what about SK Grhoojl?po??k? ?',Czech Republic,1306665258396909570
MCRMUFC,"b""RT @Aidam95: I'd rather be told tomorrow that United definitely abandoned deal for Sancho than be on strings for rest of this window\n\nit's?""",Czech Republic,1306665156789907458
hubmartin,b'@jcarolinares @hardwario_en 6/n Some companies have internal schematic design rules that you have to put testpoint? https://t.co/DUVkbaqJ1P',Czech Republic,1306663256950484993
sammyrocks19,"b""RT @Aidam95: I'd rather be told tomorrow that United definitely abandoned deal for Sancho than be on strings for rest of this window\n\nit's?""",Czech Republic,1306662955161972737
