user,text,country,id
xNavn,b'@BuppoFPS bugs bunny?',Denmark,1306697597176995841
xNavn,b'@BuppoPriv wouldnt ever show my face again if i genuinly got beaned irl',Denmark,1306697473327538176
john_1760,"b""RT @PennieEntertai1: #screenshot of #LittleAdventures\n\nU know it's on #Steam: https://t.co/sz1ORB3ppg\n\n#strategygame #madewithunity #Pennie?""",Denmark,1306697120146165763
Chibi_Itachi1,"b""RT @Siglius: I've always been a huge fan of Matsuoka-san, but for this last cour of SAO he's truly blown it out of the park and that deserv?""",Denmark,1306696425418485762
ilyslow,"b""RT @wspfuckers: New video on @Memeulous \nThe Real Reason Memeulous Doesn't Show His Face\nhttps://t.co/6HGW99RIsE\n&lt;3 https://t.co/cncCKpoJgQ""",Denmark,1306696013097336832
tiffany27142426,b'RT @Siglius: Both the way he converys despair during the breakdowns (which tbf Kirito has had a lot of recently) and he way his demeanor an?',Denmark,1306695607910793216
tiffany27142426,"b""RT @Siglius: I've always been a huge fan of Matsuoka-san, but for this last cour of SAO he's truly blown it out of the park and that deserv?""",Denmark,1306695596355584005
Bweadrollpoop,"b""RT @wspfuckers: New video on @Memeulous \nThe Real Reason Memeulous Doesn't Show His Face\nhttps://t.co/6HGW99RIsE\n&lt;3 https://t.co/cncCKpoJgQ""",Denmark,1306694048669822976
wspfuckers,"b""New video on @Memeulous \nThe Real Reason Memeulous Doesn't Show His Face\nhttps://t.co/6HGW99RIsE\n&lt;3 https://t.co/cncCKpoJgQ""",Denmark,1306693274305007616
NicolaiEdens,"b""RT @PennieEntertai1: #screenshot of #LittleAdventures\n\nU know it's on #Steam: https://t.co/sz1ORB3ppg\n\n#strategygame #madewithunity #Pennie?""",Denmark,1306692600653590531
MicSNielsen,b'@funder DE @ChrisCoons\nIL @SenatorDurbin\nLA ??  help needed\nNJ @SenBooker\nOR @SenJeffMerkley\nRI @SenJackReed\nVA @MarkWarner',Denmark,1306692404838379522
MicSNielsen,b'@funder AR @DanWhitCongress\nID @electpaulette\nLA @AntoinePierce\nMT @stevebullockmt\nNE @CJSenate2020\nOK @abbybroyles? https://t.co/g3hEetkLep',Denmark,1306692343035236353
