user,text,country,id
Andreavila83,b'Counting the days!',Ecuador,1306698910610710534
susanamjjs,"b'RT @Dieguio70833283: There will never be an artist like Michael Jackson, the world did not value him and he will live forever whether you a?'",Ecuador,1306697547596038147
ShruvRahul,"b'RT @Dieguio70833283: There will never be an artist like Michael Jackson, the world did not value him and he will live forever whether you a?'",Ecuador,1306697544869621760
jacobobuc10,b'@juancar357 Me excita !! ???',Ecuador,1306697343287341057
Miley_fluff,"b'RT @Dieguio70833283: There will never be an artist like Michael Jackson, the world did not value him and he will live forever whether you a?'",Ecuador,1306695855592878080
AndyLM81254916,b'RT @NicoleChiribog2: We got to the point of falling in love and now not knowing what to do with our feelings for fear of disappointment. ht?',Ecuador,1306695612956659714
PalaciosFran2,b'#911iscoming EMERGENCY POP 911 https://t.co/qibEBqzm4u',Ecuador,1306695068246515712
mujeresdelujo12,b'I for 0963170794 https://t.co/O5Qd2MUD1N',Ecuador,1306689402547195904
alisitavsl,b'@noonaniell Pleaseee yes????????',Ecuador,1306689100443942913
jbritodelgado,b'@oracion_milagro Amen',Ecuador,1306686097137827841
JuanoGuzman3000,b'@BrightInsight6 @ShackleShedder All credits to Dr. Andrew Kaufman. Please look him up. https://t.co/toxHzSW3af',Ecuador,1306685743427923968
izypinargotem,b'Take note? https://t.co/1usyPSzcaY',Ecuador,1306684671653224459
JuanoGuzman3000,"b'@BrightInsight6 @ShackleShedder Jimmy, please, I urge you to look up Dr Andrew Kaufman. The virus IS a hoax. The de? https://t.co/rAAVfCrZec'",Ecuador,1306684605722959872
Emmmmbaby,b'RT @NaomiZambrano13: But then you make me feel crazy\nYou make me feel like its my fault\nI was in pain',Ecuador,1306684579152048128
paoloalvaradom,b'@selgomezdata She needs to work with @jackantonoff ?',Ecuador,1306682627383078913
DaniloSaYo,b'@GodInEcuador Thanks God!!! ????',Ecuador,1306682228198584321
GABO_BOX,b'@OOCWesternR34 The concerning thing is the name of the page',Ecuador,1306681695068971010
walter_mera,b'One more https://t.co/V3MG0FNI8B',Ecuador,1306679243653472256
hernanslayer,b'Wait! https://t.co/hX8HRhS8Ah',Ecuador,1306679135188783105
chrisomar32,b'@FaderGamer3 @Kool_Kolors @JedsonAndra @BroGustavin @CoveiroLuis @dailsonbr @Sandrofera86 @Roberta_Mseixas? https://t.co/lKHL729d5L',Ecuador,1306678920859787266
chrisomar32,b'@Aledropitalia @Kool_Kolors @xx_roka I need a avenger pleaseeee',Ecuador,1306678516600143873
