user,text,country,id
OfficialPrinc80,b'RT @YomnaFetouh: Drawing                            painter https://t.co/Oxz6a8I6ob',Egypt,1306703682155745280
Mahetab_19,b'RT @YomnaFetouh: Drawing                            painter https://t.co/Oxz6a8I6ob',Egypt,1306703649402478603
Hasan_Elsoks,b'RT @YomnaFetouh: Drawing                            painter https://t.co/Oxz6a8I6ob',Egypt,1306703425506349056
Mohamed53553096,"b'RT @Maher12Mohamed: Curse on the government, the blood of my children, it is still cool ????\n#?????_????_?????_?????? \n#??_???????_?????_20?'",Egypt,1306703122702766082
YomnaFetouh,b'Drawing                            painter https://t.co/Oxz6a8I6ob',Egypt,1306702903130886144
nadaawagih,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306702789956046848
___MariamHassan,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306702542391435265
Lozaaa20,b'@haneensamirr___ Enty men ya bt?',Egypt,1306701983789744128
OmarElsadany2,b'RT @Eagles_psu: Our vice president be like; https://t.co/pvCjgTL1AI',Egypt,1306701895076061185
AmrAhmedSalem2,b'Relationship goals ?????? https://t.co/c1CWGZCwUM',Egypt,1306701893427589121
3omar_othman,"b""@YASMMIN_Amiir No, I'm the lucky one ?""",Egypt,1306701882140876807
Eagles_psu,b'Our vice president be like; https://t.co/tIKIhKglP8 https://t.co/pvCjgTL1AI',Egypt,1306701029036101632
uniquedero,"b'?I\'m tired of waiting for better days..""'",Egypt,1306699382973181952
OmarElmorshedy3,b'Waiting ?? https://t.co/dkgMLIvSz9',Egypt,1306698514165125124
rafe_mustafa,"b'RT @Maher12Mohamed: Curse on the government, the blood of my children, it is still cool ????\n#?????_????_?????_?????? \n#??_???????_?????_20?'",Egypt,1306698481600528386
jailan_medhat,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306697252874977280
Haniiasherif,b'Ooff I felt that https://t.co/RagDXSyMXD',Egypt,1306696349765730305
nirvana_elmalah,b'Minds are never as calm as faces look..?',Egypt,1306695250518343681
farahosama76,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306694798896750594
sa_mo15,b'@cactus336 ??? ?? activated ???',Egypt,1306694496365797378
bsmla_hassan,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306694137450823684
habebahazemx,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306693968550387713
Memo98136837,b'@Pretend2007012 Touchs my heart ??',Egypt,1306693936619102209
ahmed_gazaal,b'0% luck ?',Egypt,1306693096919494658
k_reda25,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306692031465521153
ahmedhamdy1907,b'#NewProfilePic summer time ? https://t.co/FkkenOQPsZ',Egypt,1306691859037794304
Aya_alaasar,b'Respect ?? https://t.co/zzHRCSUOr2',Egypt,1306691556867538956
7abshyyy,b'RT @amanyymagdyy: Phone calls &gt;&gt;&gt;&gt;&gt;&gt;&gt; chatting',Egypt,1306691477167386624
