user,text,country,id
elculomasrixo,b'@LevophedP Ashe ??',El Salvador,1306703568322334720
maddiezelaya01,b'Cows eat more than squirrels eat...\nmood',El Salvador,1306703512064139265
nahum_erazo_,"b'Oh, the memories... https://t.co/wjV81SI3Ri'",El Salvador,1306703481542242308
N24HorasES1,b'RT @omarangulo503: Dueto con The King Flyp https://t.co/94Xr6phUyR',El Salvador,1306703172686184448
donner9028,"b'RT @I_Am_Yakiti: COMMISSIONS OPEN (2 SLOTS OPEN)\n\n- Specify the type of commission (Half or full body)\n- Give me details (Expresion, Pose,?'",El Salvador,1306702896050966529
ro_puente,b'@drmartinix Here you go:\n\nhttps://t.co/bJmC3bwC2D',El Salvador,1306702781189849091
rudyjangel,"b'Pop a 911, then pop another one...?\n#911iscoming https://t.co/NnZEEmiXtC'",El Salvador,1306702680790794243
RobbieRuud,b'Very tense moments were live @MotherwellFC. https://t.co/Yt1aCXMAWu',El Salvador,1306702580328927235
RobbieRuud,b'So close! @grantrussell_ https://t.co/R5w1QvjSdd',El Salvador,1306702557063122944
MaroKauil,b'IM READY BITCH!!!!!!!! ??????? https://t.co/HvHkQCbwun',El Salvador,1306702221946519553
JuanJoyaU,b'Awesome! https://t.co/PIHPsRD496',El Salvador,1306701671708397568
JustServy,b'@archillect yooooooooo de blob 3 be lookin sick',El Salvador,1306701637709430785
DavidEMateD,b'SHORT FILM!!!!!!!!!!!!!!!!!! https://t.co/zn2fBvaC0I',El Salvador,1306700977458892801
Gagof_Vongola,b'Oh shit here we go again. https://t.co/ucUALfLr5G',El Salvador,1306700807996309509
bequita_fc,"b'I love that my cats are getting along, but now they are partners in crime and these dickheads thought it be fun to? https://t.co/NqrAV1drdl'",El Salvador,1306700586033852418
eliescalantech,"b'In order to maintain ""corona-free"" countries, airports should be cautious. Please consider the 14 days quarantine (? https://t.co/TVL5y37Sky'",El Salvador,1306700255212310529
Arleen_Asalinas,b'@fsjavier17 Happy Bday ? muchas bendiciones!! ? https://t.co/mmbgKhTSnl',El Salvador,1306699680764637185
HTrolberg,"b'RT @I_Am_Yakiti: COMMISSIONS OPEN (2 SLOTS OPEN)\n\n- Specify the type of commission (Half or full body)\n- Give me details (Expresion, Pose,?'",El Salvador,1306699283295395840
RivasLuis17,b'RT @omarangulo503: Dueto con The King Flyp https://t.co/94Xr6phUyR',El Salvador,1306698867895918592
dmartsomthngidk,"b'@juanfsv81 No worries fren, keep on the good work. ??'",El Salvador,1306698587636731907
Jenni_Haru,b'Well time to leave Nijis 2nd live playlist aside for a while in preparation for Bang Dream 8th ?\n\nKinda made a play? https://t.co/dWS1A3Nij3',El Salvador,1306698565654372357
_Th1ng_,"b'RT @I_Am_Yakiti: COMMISSIONS OPEN (2 SLOTS OPEN)\n\n- Specify the type of commission (Half or full body)\n- Give me details (Expresion, Pose,?'",El Salvador,1306698464257019904
Tonymosiah11,b'Hey siri play AQUI ABAJO by Christian Nodal on Spotify',El Salvador,1306698333327699969
astridlisiu,b'Que nivel de selfishness ?',El Salvador,1306698134672871429
casaselsalvador,b'Blue skies #SanSalvador https://t.co/qYJRjzLN51',El Salvador,1306698056147099650
whoscarslyn,b'love when im at the doctor and hear random death screams in the building. medicaid is really awesome ya?ll',El Salvador,1306697998206988293
JuanJAlas,b'The next day you?re so cold.  https://t.co/iNY91pmnXN',El Salvador,1306697894846750720
IvanBur17903628,b'Playaaaaa https://t.co/SZwNT1LNZ2',El Salvador,1306697738655019012
Ingerivas,b'shut up and take my money.! https://t.co/stvQ3mwJKK',El Salvador,1306697624075096066
Ram98852670,"b'RT @FabioAleRomero: #spectember day 16\nThe Oxygen Fairy, a high derived hymenopteran from 250 Myh that are the size of blood cells, feeding?'",El Salvador,1306697182234501120
GinaaRedd,"b'At this point, I?m just ready to leave'",El Salvador,1306696897319579649
ErectForEla,"b'@SunburnedAlbino Imagine not buying the game because you?re incapable of separating the art from the artist, couldn?t be me.'",El Salvador,1306696743069904902
beemarie24,b'@shadam_jess Chance knew after 2minutes',El Salvador,1306696674300096512
gerardev_,b'Nice look! @AWSLatam https://t.co/6HfLWYhecB',El Salvador,1306696493630468099
AidaRivas_,b'@Andrea_S4 Me cae tan mal el small talk.',El Salvador,1306696380845563905
