user,text,country,id
liyahswrld,b'why tf is the entire city sold out of bel air &amp; moet. like dpmo',Estonia,1306702805156139008
lilmeeru1,"b""It's safe to say that I'm the most loyal, innocent and faithful guy you'll ever meet ??""",Estonia,1306700397889888258
nolettucegang,b'I can not believe I just saw a tweet on my TL of someone saying what?s happening to the ughyr muslims is a hoax ???????????',Estonia,1306696131867537410
jmgvrr,b'i do not deserve this sanity break',Estonia,1306695576042369026
nolettucegang,b'Why mention that crime and gun violence has gone up since masai took over ?  Df does Masai have to do with gun viol? https://t.co/MTR5STO2Cy',Estonia,1306694198205313024
Soheirr97,b'@PrayyboiCarti Okay lemme try https://t.co/udtcqs1ivd',Estonia,1306693347264942081
YacineBNZ,b'The motivation from my friends keeps me going?? https://t.co/i6k3gYCiWi',Estonia,1306693180583280640
carolelizabeth1,b'This thread is just &gt;&gt;&gt;&gt; https://t.co/MAoKKOuhWN',Estonia,1306693133904863233
Soheirr97,b'@pinkfaerie @PrayyboiCarti Hey hey hey it?s just a dream... it can happen if Mir steps up his flirt game',Estonia,1306692971056766978
AriaMcmayo,b'RT @liyahswrld: ?? Sept 18th cmon now',Estonia,1306692634040246273
Soheirr97,b'??? dreams mean things !!! https://t.co/Ap2JXV8NOT',Estonia,1306692626004029440
liyahswrld,b'?? Sept 18th cmon now https://t.co/1mNKNc57ZB',Estonia,1306691998649384962
Soheirr97,b'@pinkfaerie @PrayyboiCarti I had a dream y?all were married... oups sorry wrong universe/reality',Estonia,1306691344472121367
Soheirr97,b'@pinkfaerie Oufff ? How are you gonna break the news to @PrayyboiCarti ??',Estonia,1306690594702585861
Soheirr97,b'@pinkfaerie Silverrr whos the babydaddy !!!?',Estonia,1306690035861905408
RegaloJnr,b'@Martin_Jnr1 Dawg',Estonia,1306689406548545537
imannn_ali,b'RT @lilmeeru1: |???????????|\nYou will accomplish\neverything you dreamed of\n|???__???????_|\n                \\ (???) / \n                  \\?',Estonia,1306688487500914688
haniyazee,b'@WahabAMalik mine too fr i hate her ?',Estonia,1306688198639263757
WahabAMalik,b'RT @haniyazee: where do y?all find best friends like that... https://t.co/adl3WOCnxs',Estonia,1306687971224158208
haniyazee,b'where do y?all find best friends like that... https://t.co/p6gLxSscR6 https://t.co/adl3WOCnxs',Estonia,1306687852403666944
haniyazee,b'@CbaSzn @urmomsadyke beg qasid to add u back',Estonia,1306687361976348672
ThakShawnR,b'My WNBA hoodie came in and it?s so fucking nice!!!!',Estonia,1306687156497387523
AlexWalters98,b'RT @rahulfinesse: HXFCAMO SET + VINTAGE HATS DROPPING TODAY AT 7pm??? Exclusively available at https://t.co/nDtebkJOD6 ? https://t.co/ESV8T?',Estonia,1306686064581586947
Druk844,"b'testing my limits, next 2 months is gonna be a grind https://t.co/1ReSMk7E96'",Estonia,1306685573646745603
lilmeeru1,b'|???????????|\nYou will accomplish\neverything you dreamed of\n|???__???????_|\n                \\ (???) /? https://t.co/SJCOWtlm1c',Estonia,1306685054098247689
Druk844,b'need 1 for arena with bhronos',Estonia,1306683027758747649
Ilive4Purpose,b'RT @carolelizabeth1: Missy Elliott is top 2 and she ain?t 2.',Estonia,1306678834503262211
lilmeeru1,b'@heyitsaalia Not you &gt;:(',Estonia,1306678369254211584
RDiankulu,b'Apple took another dip which means https://t.co/ugrRRhupef',Estonia,1306675615228203009
SweetDsArgoFan,b'Tell @justintrudeau: Canada needs a basic income so we can all afford to keep a roof over our heads and put food on? https://t.co/wn33q48mBD',Estonia,1306673679498203137
lilmeeru1,"b'""We need to talk""\n\nMe: https://t.co/2FgsdtrAa7'",Estonia,1306673160654290946
_____Talia,b'RT @liyahswrld: If you?re a man and don?t know how to cook thats pretty slack',Estonia,1306672255217414145
haniyazee,b'@CbaSzn @urmomsadyke aired bro',Estonia,1306671912886644739
Mish_Chris,"b""RT @MalBenz: Ang sad lang if the person doesn't vibrate the same energy that you give to them. Wala lang parang ur always trynna be nice to?""",Estonia,1306669642287468544
SweetDsArgoFan,b'You may be enjoying your work projects to such a degree today ... More for Leo https://t.co/CiheEloXoA',Estonia,1306669367115960321
JinoAngelo,b'RT @rahulfinesse: HXFCAMO SET + VINTAGE HATS DROPPING TODAY AT 7pm??? Exclusively available at https://t.co/nDtebkJOD6 ? https://t.co/ESV8T?',Estonia,1306668934297518081
TrulyLoved_,"b'Factss, we don?t care about our bodies clearly https://t.co/yrQJbuDDLp'",Estonia,1306668600590299142
fahibear5,"b""RT @lilmeeru1: Are you the new popeyes chicken sandwich?\n\nCuz you're a waste of time""",Estonia,1306667215941447686
lacedinblackk,b'RT @haniyazee: things i don?t give: a shit',Estonia,1306665266554650624
Vortexielson,"b'@guffeCS I know, me Danish but I live in Estonia'",Estonia,1306662875365339140
urmomsadyke,b'RT @haniyazee: this you? https://t.co/X2H3hrkbBS',Estonia,1306662751113302017
anteikurecruit,b'RT @rahulfinesse: HXFCAMO SET + VINTAGE HATS DROPPING TODAY AT 7pm??? Exclusively available at https://t.co/nDtebkJOD6 ? https://t.co/ESV8T?',Estonia,1306662211738390529
matalog18,b'8 Ls! 185 - 120 okay',Estonia,1306660483307507712
dreisalazar_,"b'Jennie, you can step on me https://t.co/bxXA4zjVH7'",Estonia,1306660471622086656
NickBalmanxXx,"b'RT @theboymetro: Job shaming is such a low thing to do , cant be disrespecting someone just because they work a job that isn?t suitable to?'",Estonia,1306660428202872833
theboymetro,b'@dibs36260890 Hate when people do that',Estonia,1306660011897171968
SharShar_,b'RT @carolelizabeth1: Missy Elliott is top 2 and she ain?t 2.',Estonia,1306659333913051136
dreisalazar_,b'Same https://t.co/TBmum7mBae',Estonia,1306658482754433030
dreisalazar_,b'My cat h8s selfie okay https://t.co/jCsYqrjts5',Estonia,1306658262666735618
pvkhrajs,b'RT @rahulfinesse: HXFCAMO SET + VINTAGE HATS DROPPING TODAY AT 7pm??? Exclusively available at https://t.co/nDtebkJOD6 ? https://t.co/ESV8T?',Estonia,1306656969193934852
lilmeeru1,"b""Calling all the toronto shisha freaks, what's the best lounge in the GTA?""",Estonia,1306656576657330176
rubbadubjin,b'i swear all the armys named fatima on this app are annoying af',Estonia,1306654375490789377
carolelizabeth1,b'@MissyElliott Love you QUEEN.',Estonia,1306653757535641601
Duke_nz,b'I just want to make some shit I can vibe too',Estonia,1306652961096044545
