user,text,country,id
Fai_zah_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306703689629995011
GamingHyena,b'@D4NN1BOYYY @demondweller43 @monsterhunter It is.',Finland,1306703643022897159
king_Blvc,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306703440215670784
ericubong,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306703271160164353
Jiv3ly,b'@styIesaddict Stay strong??',Finland,1306703263065083905
ChibuzoTochukwu,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306703155040788481
riyatola,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306703107712311301
mvyowa,b'RT @Deshysmalls: This quote and RTs game is an interesting social experiment.',Finland,1306703056327802881
Jiv3ly,b'@Pattygmartell @canyonmoonblu I know thats bs?',Finland,1306702967773564928
PostinorTwo,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702843286564869
morrishtg,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306702830779150337
uzuigwe_uche,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306702738999435264
GamingHyena,b'@Chaser_Tech Agreed.',Finland,1306702733009969159
Dillyphiancee1,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702604248940544
Swadechic,b'RT @Deshysmalls: INCOMPETENCE IS WORSE THAN CORRUPTION.',Finland,1306702430294376451
Swadechic,b'RT @Deshysmalls: Buhari and his administration keep proving this statement to be true.',Finland,1306702416499351557
thelordiswityou,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702336908292099
OmarSucree,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702322542800897
__vikt0r,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702306478559232
Jiv3ly,b'@canyonmoonblu @1D_stanforever He really is so precious?????',Finland,1306702296911351810
topuX,b'I finished #TellMeWhy and I liked it as much as I liked Life is Strange season 2. #Kappa #huoh https://t.co/TkM2n54wwa',Finland,1306702194108968960
_VZTWEET_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306702052098281473
NicoleUdofa,b'RT @Deshysmalls: This quote and RTs game is an interesting social experiment.',Finland,1306702032636702733
Eebraheem,b'RT @Deshysmalls: This quote and RTs game is an interesting social experiment.',Finland,1306702023010562048
orhla__,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306701863950180354
GREATLIGRACED,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306701706558832640
Phoenvvx,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306701573209444354
thatgoddess____,b'RT @Deshysmalls: This quote and RTs game is an interesting social experiment.',Finland,1306701418225639424
KendrickCee,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306701409535102979
AdeKween,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306701197219422213
Emmanue59679603,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306700857988317184
ugwunnamejeh,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306700791252692996
shem_elohim,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306700669680746497
tosky_elnino,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306700570871443463
SaturdayOmueti,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306700142624595968
GamingHyena,b'@RaptorShell @FelpoBanana @monsterhunter Forever!',Finland,1306700141068537857
Emmanue59679603,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306700106339684353
rjd0t,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306700093521829895
SeunKOlajide,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306699901624111105
GamingHyena,"b'@niromanti @monsterhunter World is finished, so World team will probably start making a sequel for it, since anothe? https://t.co/MyKH164LUh'",Finland,1306699879943634945
ugwunnamejeh,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306699759667875847
Roope31,"b'@atptour @InteBNLdItalia ""Stuns"" he was the favourite to win'",Finland,1306699721008963585
GamingHyena,b'@CKraftick @monsterhunter If any luck we can set them ourselves and have the usual blissful grunts and screams if we wanted to.',Finland,1306699704064004101
tsosky_,b'RT @Deshysmalls: Buhari and his administration keep proving this statement to be true.',Finland,1306699674267590658
Tobiloba_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306699535335424000
PhillyKalu,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306699440196063232
i__adeleke,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306699238911475713
OsitaMmaduako,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306699097760555011
Emeka44407145,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306699080417058824
ItsGhoke,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306699057071632386
Diva_Ambitious,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698942256738317
evuleogu,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698934224662529
GamingHyena,b'@Racer9824 @RaptorShell @monsterhunter You will wait.... Till we emulate this shit.',Finland,1306698845028577285
tonerobaba6,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698833686978560
GamingHyena,"b'@VSavathun @sakuraiimai @monsterhunter I honestly do not understand what camera problems people have, I always use? https://t.co/08IelKSlBb'",Finland,1306698714166292482
NduUkwuoma,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306698706771742720
DirectorUche,b'RT @Deshysmalls: INCOMPETENCE IS WORSE THAN CORRUPTION.',Finland,1306698656624640000
kingclems2,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306698656075055104
Bo77asDepre,b'@maxverxtappen pare ??',Finland,1306698633472094209
Feyipatts,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698600106389506
Camcoh_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698547153317892
ElochukwuOkafo6,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306698492044357635
GamingHyena,"b'@FlorentRomain5 @MichaCazar @monsterhunter They will probably make a sequel to World, it was successful after all,? https://t.co/o1MSv2ZEvY'",Finland,1306698473476161545
enitifee,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306698289933365264
PhillyKalu,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306698028926013447
GOC81692117,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697973519319044
GOC81692117,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306697955378892805
Christi95579993,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306697914572398592
Clan_Clueless,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306697877088096256
lazaruschinedu2,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697809735933953
tsosky_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306697551807209479
Christi95579993,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697472488534016
GamingHyena,"b'@MikotoMunakata @__Cepheus__ @monsterhunter I mean, Fatalis was the last monster they added, it is done. They said? https://t.co/Lk4B3M6XJD'",Finland,1306697338375802882
Olvwasayo,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306697278351200257
ChimeremezeJohn,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697220138438665
Sammie89359014,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697197182951433
NduUkwuoma,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306697118413926406
max_sticks,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306696980819779584
SMBaidu,b'RT @Deshysmalls: INCOMPETENCE IS WORSE THAN CORRUPTION.',Finland,1306696969876844552
IpobElectronics,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306696721473458176
iamslickp,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306696475049689089
SylvanusOhiaer3,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306696311417311233
zubby_lee,"b'RT @Deshysmalls: In order not to waste your money, before you buy PS5 change your TV.'",Finland,1306696152184741893
HEkebosi,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306696048908423169
amanduregan,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306696004843040769
iakosa,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306695767483183104
SylvanusOhiaer3,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306695619180978181
Sammy_flexy,b'RT @Deshysmalls: INCOMPETENCE IS WORSE THAN CORRUPTION.',Finland,1306695592756817920
akosdahthird,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306695571026128903
OsaroJoseph,b'RT @Deshysmalls: INCOMPETENCE IS WORSE THAN CORRUPTION.',Finland,1306695459478687746
GamingHyena,"b""@__Cepheus__ @MikotoMunakata @monsterhunter So I dunno what you are so upset about, stop acting like these two can'? https://t.co/RLSJLqIZca""",Finland,1306695347113205771
princew64579078,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306695326330355712
ChinenyeCollin2,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306695283615690754
codeismail,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306695135107915776
OsitaMmaduako,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/JGNGAxqwep',Finland,1306695134604595200
44Trump1,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306695093957677056
MissIFY_,"b""RT @Deshysmalls: Worst administration in Nigeria's history including the Military.""",Finland,1306695039133810689
omepenny,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306694862557806592
GamingHyena,"b'@__Cepheus__ @MikotoMunakata @monsterhunter World will get a sequel considering its success, also MonHun has always? https://t.co/mx0BQszS2N'",Finland,1306694824242839552
samuel22313432,b'RT @simon_ekpa: Join me this evening as we continue the exposition of terrorist Nigeria https://t.co/Wq8KGs1pVq',Finland,1306694766982295552
