user,text,country,id
gamerg0rllz,b'@foxxaIex OMG COME BACM TO INSTA IM FRRAKING OUT',Gabon,1306698831673737216
CharlyJoyce,"b'@TiffanyDCross This is assault among other things. That Karen needs to be arrested and charged. America, wake up.'",Gabon,1306696866340499459
KJHighsocks,b'@figlushenberry No clue. I don?t follow the show. Just saw the burn from ?missing? husband?s family.',Gabon,1306696523762348039
carameliciousy,"b'@moviemnfs agent carter, lucifer'",Gabon,1306694667036053504
KJHighsocks,b'I?m ?I appreciate a good hard candy? years old.',Gabon,1306693997667196928
gamerg0rllz,b'This video gained me so much omg https://t.co/7tL5PcEdCb',Gabon,1306693559261700096
Seanguarino,"b'@fuchsiafifi_ As a 12 year survivor of catholic school, any plaid is an instant turn on!  Looking lovely! ?'",Gabon,1306692933622456320
litlikeat,b'@bandopopp Real love.',Gabon,1306692385947160579
Slmabahaa97,b'Back to my favorite band ?The paper kites ? and it feels just like home ?',Gabon,1306691424314961921
gamerg0rllz,"b""What I'm talking ab https://t.co/3CZVDs1oh1 https://t.co/cDaXTmdqrI""",Gabon,1306690325423951873
KJHighsocks,b'The cake is a lie! https://t.co/0WQKpuqEfB',Gabon,1306689611574452236
jahulie__,"b'?Pick up your trash, that?s where you begin?'",Gabon,1306686378676158464
jahulie__,b'I?m truly sorry Mother Nature for what we have done to you. We have outsourced you and we have been terrible to you and to each other ?',Gabon,1306685818426122240
jahulie__,b'Really just shows you how fast our glaciers and ice sheets our melting. Our oceans are rising and becoming more aci? https://t.co/6z0mm1cLCV',Gabon,1306685540452823040
kim_malel,"b""Let's see https://t.co/bXn54zblPO""",Gabon,1306678612574253059
iknoreme,b'@ohchelsealou Do u want a choker? Or layered?? Or something in beteeen?',Gabon,1306678392721375232
gamerg0rllz,b'@TheBellaLuxury join me in adopt me my user is pinkunicornfluff98 I wanna give u stuff bye',Gabon,1306677469290704896
Slmabahaa97,b'@AhmedAggag4 @KarimAssem_ DISNEY MOVIE NIGHT SOON',Gabon,1306674078288404490
gamerg0rllz,b'@foxxaIex the twitter bot that knows context: baby im a different breed?',Gabon,1306673728130932741
gamerg0rllz,b'@foxxaIex U CENSORED BREAK SJDNBD',Gabon,1306673447334862848
gamerg0rllz,b'Alex after she got banned for 12 hours: https://t.co/42AOwLTtwL',Gabon,1306673141935042560
kim_malel,"b'The guy from my nyama choma joint died jana and man, life is short.'",Gabon,1306673074796978178
KJHighsocks,b'Dear @nockingpoint - are there any plans to have masks as part of the Founder?s Club swag? https://t.co/SHc6t7QUpG',Gabon,1306671819919896576
Big_belly_lover,b'Why are fat tums just the absolute best??',Gabon,1306670016654442502
kim_malel,b'@sheilakiguta_ Race with the boys and show them hell.',Gabon,1306669553020211201
gamerg0rllz,b'@TheBellaLuxury U lowkey kinda look like Ariana grande',Gabon,1306668254094487552
PaTienceKabaebe,b'@ShemouelNtabala Thank you',Gabon,1306664200962560002
Slmabahaa97,b'A Thursday night in with your thoughts',Gabon,1306660011746242562
ohaiyotokyo12,b'They sit together at lunch?????? #BLACKPINK #JISOO #JENNIE #ROS? #LISA https://t.co/KEtj09MfWa',Gabon,1306658305985507328
Hyyh_Amaterasu,"b'@BTSNo1BBHot100 Well, it?s a little off... It?s not bad tho'",Gabon,1306658196984037380
ohaiyotokyo12,b'Nobody doing it like Lisa? like how can she give us different vibes and poses in each different photo in one photos? https://t.co/JjtdWTvQxo',Gabon,1306658072803160064
ohaiyotokyo12,"b'She slaying in every angle, every pose, every outfit, every expression, every way????? #LISA #BLACKPINK https://t.co/YBxZOwoHmT'",Gabon,1306657790706896896
gamerg0rllz,b'@twinkprintt Me reading this: https://t.co/ST9wtP8bJ2',Gabon,1306657541745639424
iknoreme,"b""@_chamelian @dna_heligrace ?? can you show me around the trader jo's? I have never been &amp; I wanna get some jackfruit""",Gabon,1306654541434302468
gamerg0rllz,b'@TheBellaLuxury @HoloMeABirb @CleanMeanBean @Allyoxox @RachaelMarie199 @Theare17 Then Washington ??',Gabon,1306652781810298880
gamerg0rllz,b'At school ???',Gabon,1306652302523023360
KJHighsocks,b'@figlushenberry Tagged you earlier. Did you see this? https://t.co/Fn57M1r90Q',Gabon,1306649979109478403
thebrirodriguez,b'My WiFi sucks',Gabon,1306647452066418688
litlikeat,b'Been begging God to take the fakes out my life ??',Gabon,1306636719362584577
iknoreme,"b'@ohchelsealou Earrings are taken, but might you want a necklace, perhaps?'",Gabon,1306636422745645063
DaGruch22,b'@PredsNHL My only major sports team that follows me ???? Thank you! Hope you have a fantastic day! Don?t work too hard ?',Gabon,1306627019271266308
KJHighsocks,"b'If you don?t love this man, you?re doing baseball wrong. #NVRQT #NVRFKNGQT https://t.co/q7EOcaRDfP'",Gabon,1306626389232308224
CharlyJoyce,b'America what is wrong with you? All of the world is wondering. This why we Canadians want the border to remain clos? https://t.co/Krs5QHf4Yg',Gabon,1306626289466564608
kim_malel,"b""@Wasted__Citizen @RobertAlai Yeah, we didn't understand what he tweted, thanks for the clarity""",Gabon,1306623733914894338
kim_malel,b'@__robs_ Wait in line',Gabon,1306622874367725568
pinkierobloxms,b'@HeyItsKyanana Okay I?ll do it',Gabon,1306613483945914368
gamerg0rllz,b'Most liked tweet: https://t.co/xxKFJcZsYG',Gabon,1306612973297782784
gamerg0rllz,b'Vixen and rocky are icons https://t.co/UUpBjFB6b0',Gabon,1306612743336730626
DaGruch22,b'@annaclick22 Didn?t even use the right your the second time ? this doesn?t make the tweet credible. You?re good ?',Gabon,1306610184429731840
kashanaaa_,b'RT @litlikeat: I done been alone since I been me.',Gabon,1306609876869828608
litlikeat,b'I done been alone since I been me.',Gabon,1306609767645937664
gamerg0rllz,b'The 20th of August was so long ago omgg',Gabon,1306609551496499201
gamerg0rllz,b'@twinkprintt Not do tho ? https://t.co/2r3bWoDfg0',Gabon,1306609085865836544
KJHighsocks,"b'As long as we understand that ?No Shirt, No Shoes, No Service? is a mandate at a business level and not a governmen? https://t.co/I3T9OrTY1U'",Gabon,1306608689063886849
aesandov,b'I heard a FAT D minor chord in the hall at school today...\n\nNice',Gabon,1306608604196335618
gamerg0rllz,b'@foxxaIex @TheBellaLuxury The way u responded to her and not me ??',Gabon,1306604903821791233
gamerg0rllz,b'@twinkprintt Ya me too??',Gabon,1306603554975571969
thebrirodriguez,b'Anyone looking for an assistant?',Gabon,1306600561488388096
thebrirodriguez,b'Why they got Christmas stuff out already ?',Gabon,1306600441938141184
gamerg0rllz,b'@TheBellaLuxury Good morning b!!',Gabon,1306598983104512000
litlikeat,b'Treat me based off my action not my past.',Gabon,1306585674209021958
kim_malel,b'@gidikariuki Same owner',Gabon,1306581295955353602
litlikeat,b'What did I ever do to deserve this ?',Gabon,1306581119094190085
AAloraibi9,b'?whoooah look at the moon!!? me literally every night no matter what phase the moon is!.',Gabon,1306576951558262784
Slmabahaa97,b'Am i still legit to watch Disney movies ?',Gabon,1306574916674781185
KJHighsocks,b'Controversial opinion of the day:\n\nA Little Less Conversation \nis way more rapey than\nBaby It?s Cold Outside',Gabon,1306574176438845442
litlikeat,b'Reminiscing about my past but still thinking about the future.',Gabon,1306567244516921345
yanyieee,b'new discovery: earl grey cookies ? https://t.co/LEm3MgpOwC',Gabon,1306557020426792961
thebrirodriguez,b'@speedy_t_ Deadass.. idk how that?s suppose to make me feel lol',Gabon,1306554761659981826
Toni73425,b'@swiftfiIm no but yes :)',Gabon,1306544195751096320
noturoppahoe,b'day 58 of taekook subunit is coming',Gabon,1306534606049390592
noturoppahoe,b'day 57 of taekook subunit is coming',Gabon,1306534604254228480
Toni73425,b'@glossywallows hey girllll',Gabon,1306532714695270400
PaTienceKabaebe,b'@_umwami_ Tubireke??',Gabon,1306526529166487559
lei_aleah,b'RT @helloimhungryy: Pizza lovers? ?? https://t.co/K7EGelO9Yn',Gabon,1306525154747363338
AAloraibi9,b'Tedros needs protection I swear',Gabon,1306523549897822210
PaTienceKabaebe,b'@Rutambi_ Mbibona muri novel nanjye when there is an intense emotion either good or bad',Gabon,1306509090059890688
AAloraibi9,b'.Do not do anything you might regret',Gabon,1306505991744299009
PaTienceKabaebe,b'@Rutambi_ Sheri???',Gabon,1306504268715884544
osamukinnie_,b'So... I WAS IN MY CLASS. LIKE A GOOD CHILD I AM AND I JUST FOUND OUT WE HAD AN EPORTFOLIO AND ITS DUE AT 4:00 AND O? https://t.co/PSZjdbRcm2',Gabon,1306499887853219840
helloimhungryy,b'Pizza lovers? ?? https://t.co/K7EGelO9Yn',Gabon,1306483741271846913
PaTienceKabaebe,b'@iracky_26 Meshiii',Gabon,1306482493055471616
gamerg0rllz,b'PINNED WTF GOODNIGHT https://t.co/VmNbqFPPvP',Gabon,1306465853597036544
gamerg0rllz,b'I reminded the notice bye',Gabon,1306465778812612609
gamerg0rllz,b'Good night u guys!',Gabon,1306465508795977729
gamerg0rllz,b'@FoxSivline @foxxaIex THANK U',Gabon,1306458270299648000
nrazyzh,b'Are you studying for your future or for passing the exam?',Gabon,1306458117958377473
PaTienceKabaebe,b'@karry______ Can post even??',Gabon,1306458021619478528
gamerg0rllz,"b""Hi I'm alana! \nLowkey love the ? emoji\nPronouns are she/her.\nBLM/ ACAB / ???? RIGHTS\nim a big billie eilish, kirste? https://t.co/dl0Td0XPAh""",Gabon,1306457257794650113
gamerg0rllz,"b""I'm gonna do it.. good bye foxkirsten first notice ? https://t.co/fHb4VwMLAc""",Gabon,1306457215193153539
gamerg0rllz,b'New pinned? Opinions pls @FoxSivline @foxxaIex (or anyone else that wants to reply ) https://t.co/IQEE3Zw9Nk',Gabon,1306456643807322112
gamerg0rllz,b'@twinkprintt YEA LMAL',Gabon,1306455883799392256
gamerg0rllz,"b""I should probably unpin this but I'm just not ready to let go https://t.co/vEkEMUV4P7""",Gabon,1306455341253550080
gamerg0rllz,b'@AlanasStuff the way i never tweet here bye',Gabon,1306455222932312065
gamerg0rllz,b'1.4K TWEETS SINCE WHEN LMAO? also ty for 26 followers!',Gabon,1306454954710720513
gamerg0rllz,b'Shut up I like the ? emoji and what abt it',Gabon,1306454784849801216
WDAforlife,b'@Richie_OHG That looks like it?d be hella fun',Gabon,1306450604663779328
gamerg0rllz,"b""@FoxxKirsten What's the other ones name???""",Gabon,1306448625887715330
gamerg0rllz,b'@FoxxKirsten Dogs???',Gabon,1306448559525380097
gamerg0rllz,b'@FoxxKirsten We need more context omg cute ????',Gabon,1306448021119356929
Okegod3,"b'RT @EbuzUdoka: Over my dead body is REAL, we are still counting and Biafra is coming. For everyone that has hand in Operation Python Dance?'",Gabon,1307056238270853122
makuochukwu301,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307055388915888128
dilyfrank1,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307052945503064064
Chimereucheya19,"b""RT @EbuzUdoka: Impostor claiming Buhari. Nigerias can't reason well. https://t.co/vZ88HFWK8S""",Gabon,1307052456157773825
ugwunnamejeh,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307051282998460419
OgbuIfeanyi11,b'RT @EbuzUdoka: NOTICE NOTICE NOTICE NOW YOU CAN LISTEN TO RADIO BIAFRA IN EDO STATE ON CHK 102.1 FM  NOTIFY ALL YOUR FRIENDS AND ALL IPOB F?',Gabon,1307050489331232773
StanSylvester,"b""@maccymac87 @ayadamana @MesutOzil1088 The problem is that it looks like he doesn't want to work hard.""",Gabon,1307050263744839681
JudeUmez,b'RT @EbuzUdoka: NOTICE NOTICE NOTICE NOW YOU CAN LISTEN TO RADIO BIAFRA IN EDO STATE ON CHK 102.1 FM  NOTIFY ALL YOUR FRIENDS AND ALL IPOB F?',Gabon,1307047767869714432
Onyemaechiogbu4,"b'RT @EbuzUdoka: Over my dead body is REAL, we are still counting and Biafra is coming. For everyone that has hand in Operation Python Dance?'",Gabon,1307047463505850374
chukwubukom,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307046257957928963
charlesalvan,b'@Undeaaaad @HugoLOMBARD7 @_Confessfantasm hein?',Gabon,1307045992315969542
Ugochukwuumeji2,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307045324368883712
KayCOkafor,"b""RT @EbuzUdoka: Impostor claiming Buhari. Nigerias can't reason well. https://t.co/vZ88HFWK8S""",Gabon,1307044935569416193
jhopixx,b'@taldagcev off q ***',Gabon,1307044419170861057
IfechukwuOscar,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307043486802358272
NwosuObialor,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307042555889168385
Sylvest81902641,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307042126480498690
davidnnachi80,"b'RT @EbuzUdoka: Happy birthday to you dear Rev Sr., Akpu Ijeoma, may the good Lord continue to shower you with his inexhaustible blessings a?'",Gabon,1307041641811804166
SadomDe,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307041623805702146
nwakaibeya5,b'RT @EbuzUdoka: NOTICE NOTICE NOTICE NOW YOU CAN LISTEN TO RADIO BIAFRA IN EDO STATE ON CHK 102.1 FM  NOTIFY ALL YOUR FRIENDS AND ALL IPOB F?',Gabon,1307041409736863745
Johnson29474829,b'RT @EbuzUdoka: @JohnCampbellcfr The real terrorist is Nigeria securities in Uniform. Only solution in Nigeria is division period. Nigeria r?',Gabon,1307040965279076352
JeffWhitedove,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307039611051536384
Onyemaechiogbu4,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307038818307051521
KaryckoNee,b'@ElAlacrancillo_ Daisy',Gabon,1307038267255197697
EsdrasEpi,b'@Raissa0026 Horrible',Gabon,1307038029790539778
Edum17304491,b'RT @EbuzUdoka: If it was IPOB they will open fire and kill as many as they can.\n\nHausa man paints Muhammadu Buhari Nigerian president a cri?',Gabon,1307037867303145475
Freemansmile1,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307036798149894145
Anayochukwuken1,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307036042369916929
harry_bezeng,"b""Don't forget ?? https://t.co/wxu3icN7br""",Gabon,1307035963294715905
harry_bezeng,b'@ActuFoot_ @mohamedbouhafsi Son poste ?',Gabon,1307035696742400004
BonaEbeatu,"b'RT @EbuzUdoka: mazi namadi kanu say biafra was found in the map i belive him, he have prove it to the world https://t.co/4E1Jj79a7q'",Gabon,1307035542891171840
