user,text,country,id
dr_jeng,b'@YoungSillahVee @SutayXx Got that right ?',Gambia,1306701200180613121
JLG_Lyrical,b'@wizkidayo Wizkidayo is a living African Legend. Proud of you Star ? Boy. More grace and blessings to your musical career.',Gambia,1306696522231316490
JLG_Lyrical,b'God is love?. His love is sufficient enough for us all. Trust in God always.',Gambia,1306695803466125317
jayjay0793,b'@DrMariam_Jaw You?re capable of this type of hasteh ?',Gambia,1306695770939285511
jayjay0793,b'I figured this out. I?ve always been the only one to complain about mosquitoes. https://t.co/FfiujLgl4Z',Gambia,1306695110969753601
jayjay0793,b'That phrase - A president is a reflection of his people. https://t.co/nFDG0UHrZQ',Gambia,1306694568272785408
just_sidiBae,b'@camara_ebrahim ? just thattt',Gambia,1306694006995324930
jayjay0793,b'@SwesterrMai He needs the rest. ?',Gambia,1306688108491087872
lare_sisay,b'Today?s the Jewish New Year. Happy New Year to all my Twitter Jewish followers and those I?m following on Twitter',Gambia,1306687179637350400
DrKebsun,b'Should have used this as your first picture tbh #Sutura https://t.co/7OYyHZmHWM',Gambia,1306678018077790210
DrKebsun,b'This look has now been officially authorised by PORG for everyone to use the next time police ask them to wear a fa? https://t.co/yzuA1uu7Z5',Gambia,1306676963311005698
saiks2,b'@salieutaal you probably should pull off a version of #GambiaHasDecided for the Draft Constitution @JobartehMadi @ISMAILACEESAY',Gambia,1306675546475167747
buba22439619,b'@PinkRoseSophia @Loca_Donna I?m not fine here',Gambia,1306674598000431104
buba22439619,b'@PinkRoseSophia @Loca_Donna How are you',Gambia,1306673699576315906
NoblesGambia,b'KEPP GOING #BFTC EP \n\nhttps://t.co/2AsffJalGP',Gambia,1306673335703662597
fodayjattaa,b'A strike with every quality. Screamer! https://t.co/v91lpB8BXw',Gambia,1306672948405825545
buba22439619,b'@PinkRoseSophia @Loca_Donna You are welcome',Gambia,1306672592238116864
haris_khiljii,b'@israr_ik7 Whaaat ?',Gambia,1306671471465582592
ousman_747,b'Bsc in Aeronautical Engineering \nMsc in Aviation Science and Technology \nCongratulations brother I am really happy? https://t.co/KtKIuKSsKb',Gambia,1306668978308345856
lare_sisay,b'Congratulations https://t.co/RkpzsvvuCB',Gambia,1306668696610443265
thmilsexvidyos,b'Saminathn',Gambia,1306667280424726528
thmilsexvidyos,b'Saminathn',Gambia,1306667277719400450
ManStillLiving1,b'@AdamEyesd May her gentle soul rest in eternal peace and may God grant her the highest place hereafter',Gambia,1306666897019109383
_Oswaldo808,b'@moneyymaya @TheCalmTurtle When that ecstasy be hittin a lil extra too good ?',Gambia,1306663008542703616
kumaddon,b'I love my area??? #sinchualhagie #happycorner https://t.co/QnpT5oBBoG',Gambia,1306662183519105029
bambas88,b'Congrats ??? my galo. Best wishes https://t.co/h6zRrPkUX1',Gambia,1306660269062586373
