user,text,country,id
needyholdon,b'@rcinhrts skinny',Georgia,1306693735623909384
SrCuevas1974,b'@MovistarPlus @picuetin SAME ENERGY https://t.co/l0vCqARq9b',Georgia,1306682448605065219
Salina_Abaza,b'@redpoppy1234 I remember he actually did take an opposing position from the agreement and got problems because of it? Not sure',Georgia,1306680659210047488
Salina_Abaza,b'?Straight for prince Ali ?? https://t.co/PGEHGG7spD',Georgia,1306678867361501190
needyholdon,b'instagram lpm',Georgia,1306658327523405825
yandisabuntse,"b""@SNgcunukana @MtwanaXabiso Hahaha you're funny.""",Georgia,1306652198647017473
jkrulitos,b'@jiyochu ya vine',Georgia,1306651261958316032
yandisabuntse,b'@ToluwaniKris @heisTactic I like you there I said it.',Georgia,1306650729185243139
yandisabuntse,b'@NoMmabatho Sometimes I want to run.',Georgia,1306650387714318336
needyholdon,b'strawberries',Georgia,1306648628078014464
needyholdon,b'@beckysfearless memeo',Georgia,1306625529882324993
Nolali_,"b""Okay yi layby but still, I'm glad ndigibile ngayo ??""",Georgia,1306617249457995777
O1HEESEUNG,"b'RT @mlkteajyx: @O1HEESEUNG aamiin, noted'",Georgia,1306613640720572416
mlkteajyx,b'@belift_fess jayy',Georgia,1306607817600593920
mlkteajyx,b'@jimmeoo13_ netnot',Georgia,1306606289829601280
Charism92594499,"b""@Ori_Debig_Beats Yes. I'm Xhosa.""",Georgia,1306594673633320960
Charism92594499,b'@Ori_Debig_Beats My two favourite tribes!?',Georgia,1306594454963277825
tshepimatshika,"b""RT @Nolali_: They don't. Which is why they are ALWAYS mixing it with something else""",Georgia,1306585580612984833
Nolali_,"b""They don't. Which is why they are ALWAYS mixing it with something else https://t.co/KnXrycKXR6""",Georgia,1306569092963459074
Nolali_,b'Anywhere you dey....whatever you do ??????',Georgia,1306563853841506305
isnadzmi,b'can i know why some people says that bersila atas kerusi is rude????',Georgia,1306562614646898688
Siyanda_Funcuza,b'No one is above the law. https://t.co/ueXx0Ua4m9',Georgia,1306549681460260865
Siyanda_Funcuza,b'@1GottaGo Gin&amp;Juice',Georgia,1306543906734120962
Siyanda_Funcuza,b'@1GottaGo Murder Inc',Georgia,1306543330470363136
needyholdon,b'@curekarIa @catichuu MEMEO',Georgia,1306464602851598337
isnadzmi,b'its ?for fuck?s sake? https://t.co/1e4u0Pq6qK',Georgia,1306464117616599042
needyholdon,"b""'cause after all these years i still feel everything when you are near""",Georgia,1306460295804616704
needyholdon,b'@radiancekarla re simple ??',Georgia,1306459885937229825
needyholdon,"b""baby tell me when you?re ready, i'm waitin?""",Georgia,1306452414380355584
isnadzmi,"b'@NizarLim i find it cute when they?re trying to talk in english, sakura miko is my fav, FA-Q'",Georgia,1306452065971912704
jkrulitos,b'en fin',Georgia,1306410480794308608
isnadzmi,b'that?s literally me when watching hololive ? https://t.co/7CDecqIeTB',Georgia,1306380857607774208
needyholdon,b'@foreverosess obvio',Georgia,1306355763254878208
needyholdon,b'en fin shawmila supremacy',Georgia,1306345819629645824
tomturbado3,b'Apple shows off new Apple Watches and iPads https://t.co/prWJmHa0S2 https://t.co/VRy9dOYmNd',Georgia,1306308380168839168
Siyanda_Funcuza,"b""@JjSesing @kanyewest and some of them they don't even own their masters.""",Georgia,1306304552820506624
Astan_Ladariya,b'@AnthonyMartial what',Georgia,1306302911304142849
needyholdon,b'@lisagiaw moonlight mia',Georgia,1306295036150263810
needyholdon,b'@fetishtothis golden',Georgia,1306291493632708616
aliahalaw,b'RT @Salina_Abaza: The concept                 The artwork',Georgia,1306272866002927619
Salina_Abaza,b'The concept                 The artwork https://t.co/YaxuYXx4cW',Georgia,1306269271857790976
needyholdon,b'treat people with kindness ???????',Georgia,1306165012826861568
tomturbado3,"b""Apple's new Fitness+ feature might make Peloton sweat https://t.co/gK5pRWc0ST https://t.co/ZIfx6BZZKi""",Georgia,1306084912034799616
needyholdon,b'@gamerboymendes THANK YOU',Georgia,1306031607992680448
needyholdon,b'@addictedmendess VARONES memeo variety*',Georgia,1306026969167994880
tomturbado3,"b""What is 'Dune'? Everything you should know about Frank Herbert's sci-fi epic. https://t.co/Vu6vUBoDQF https://t.co/Q15eI4QSt3""",Georgia,1306025527073931266
needyholdon,b'@tbsheaven moonlight',Georgia,1306013557608374272
needyholdon,b'paint like a van gogh',Georgia,1306013357951062022
needyholdon,b'kids forever kids forever',Georgia,1306011363752505344
GKvelashvili,"b'Usurper #Ivanishvili\'s ""defense minister"" Gharibashvili: ""Our country has not had a democratic ruler like Bidzina I? https://t.co/oWls9LauJJ'",Georgia,1305999733140455431
jkrulitos,"b'en fin, stream Blueberry Eyes'",Georgia,1305956615141588994
Siyanda_Funcuza,b'@olaniyi_quadri Sorry',Georgia,1305951904711745536
