user,text,country,id
KiinggNobzz,"b'RT @MoicesDeLaCruz: She?s a need, not a want'",Greece,1306703321160323072
thormee_,b'you guys should follow @iamaustn he is new here thank u.',Greece,1306703207897464833
Start_Dey_Figa,b'A bad bitch is loading ankasa',Greece,1306703120974651392
kevinnitt,b'LMFAO What the fuck happened who did this',Greece,1306703001529339909
vicssmallweewee,b'@VicBucksCat hey cat i love you lol',Greece,1306702709295378437
TimsDatDude,b'Never met anyone that likes Weeknd as much as me tbh',Greece,1306702220856041472
manolhs,"b'NASA to Host Preview Briefings, Interviews for First Crew Rotation Mission with SpaceX via NASA https://t.co/b3gw8mZU9Q'",Greece,1306700787402313729
manolhs,"b'NASA Awards Modification to Safety, Mission Assurance Services Contract via NASA https://t.co/ghHQWFgxj7'",Greece,1306700785829515269
KillaJai1,"b""@VotesNickiMinaj Let's vote for her for game changer as well. She sure as hell deserves!""",Greece,1306700721816055808
gguclock,"b'thank you, jeon jungkook. you?ll always have special a place in my heart.'",Greece,1306700296500936714
onhereforbts,b'western artists have been doing this for years but nobody breathes. now they wanna speak when it comes to BTS? brin? https://t.co/Pfl952O1lU',Greece,1306700274116046850
pwkilleen,b'RT @keithfrankish: A thief stole my brisket. But he was being manipulated by the local crime boss. My beef is not with him.',Greece,1306699859634905096
SoSaysTheQueen,b'@BillShannonArt @JuddsKidding @eentertainment Exactly lol',Greece,1306699344851218434
manolhs,"b""Rapists will be castrated and child rapists executed in Nigerian state's new law https://t.co/Wpnb5D19KO""",Greece,1306699235186929664
Edith_M_C,b'RT @CFORocioMostole: RT si Break of Day\nFav si Head for the stars',Greece,1306698992118648833
iamaustn,b'RT @thormee_: wizkid don cause wahala for upcoming artistes',Greece,1306698853912117248
TimsDatDude,b'@lesha_bear Do the lords work!!',Greece,1306698516748791809
Karmasayshi,b'@YoWaybes Im not followed but I?ll like and reply anyway',Greece,1306698386549202949
k2krazy24,b'RT @FrMrBruh: Gamestop looked me dead in my eye and said my PS4 was worth $6.89',Greece,1306698367322423303
Karmasayshi,b'@Hulvvc @natalieL0L Hulvc thanks for saving my dog from that wild fire',Greece,1306698094931857408
Yesica55806518,b'RT @poohjiemin: ??????? ?? ???? ?????\n????? ????? ?? ??????????\n??????? ? ???? ???? ????\n?? ???? ????\n??? ????? ????\n??? ?? ?? ???? \n?? ????',Greece,1306698014975819779
FrMrBruh,b'Gamestop looked me dead in my eye and said my PS4 was worth $6.89',Greece,1306697880158248960
lavinasfans1,b'RT @poohjiemin: These are the kings I stan?(????) https://t.co/0VlSFuI19m',Greece,1306697841772048385
SmilesMedia6,b'See video clips of events at https://t.co/zXQ9wEuJZD like this trailer https://t.co/8RWQeRSO8k  and more.',Greece,1306697492214489088
_honeybunnyjjk_,b'@ympromises corto wuu',Greece,1306697483796402176
_honeybunnyjjk_,b'@Ggugkie_ grises',Greece,1306697348819505152
Sofi04544952,b'RT @MariaLucifermo: Good morning Best couple ever???? https://t.co/31kCvL7nbo',Greece,1306697077976698880
TimsDatDude,b'EXPOSE HER https://t.co/VyGs2lhHGp',Greece,1306696746085560322
ThomasO44314963,b'@DJ_Weege Now that is what we call an EPIC picture',Greece,1306696329402306560
vicssmallweewee,b'I love @stargirl12342',Greece,1306696200813514758
TimsDatDude,b'Nah keep that energy! Cause I was DADDY this morning before you got dressed for work ? https://t.co/wLFSJisajB',Greece,1306695865030127618
_honeybunnyjjk_,b'@Ggugkie_ Fake Love',Greece,1306695594698665986
jackymcjack,b'RT @AlonzoCortez03: I am not anyone?s crush \n\nI am not anyone?s crush \n\nI am not anyone?s crush \n\nI am not anyone?s crush \n\nI am not anyone?',Greece,1306695472833277954
ChrisColcho,b'@__blackclover @LaPucaAtomica @HagridFCB @FabrizioRomano Atleti can only afford Suarez for free',Greece,1306693732901761030
eccehomoe,"b'evet, once again, i dont need to be loved by you ??'",Greece,1306693668070449152
TimsDatDude,b'@StarGangBeauty I made it look legit af I even made up fake emails ?',Greece,1306693407201521664
lilithnotstina,b'RT @TimsDatDude: Lmao give up!!',Greece,1306693382081785863
TimsDatDude,"b'@xonymsaj Do it from jump next time, thanks'",Greece,1306693311047049217
onhereforbts,b'I deadass had to turn off auto play and hide the other artists. I felt bad but it was annoying asl https://t.co/Ee0CHRPxlC',Greece,1306693169443201026
npatsiouras,b'@JustJakeSimpson Expect to see that a lot. #Miners are coming.',Greece,1306692983010594817
TimsDatDude,b'You coulda @ me https://t.co/TYgcE6XwHm',Greece,1306692898562486272
onhereforbts,b'@cherrymunik kpop really ain?t that serious https://t.co/wEL1wYcahX',Greece,1306692887565029377
spacemermeid,b'*respectfully adds to fic ideas folder* https://t.co/mLwa96htnM',Greece,1306692683474317312
kissesofcandies,b'WHY MY WIFE LOOK SO FUCKING GOOD RN?????',Greece,1306692314824400896
TheOlutoyosi,b'RT @thormee_: wizkid don cause wahala for upcoming artistes',Greece,1306691938758909953
EVTOPlA,b'@trueaspenblue @phiIiaback Not a fan of fiction movies',Greece,1306691388038357014
EVTOPlA,"b""@Outsideness I'm working on it.""",Greece,1306690685865783298
