user,text,country,id
_shiddeyyy,b'finally done pota ?',Guatemala,1306703746185834496
_raptorNSFW,"b'@DorklyAndy Congratulations, buddy!\nAnd thank you for the chance https://t.co/R3uOjeZCSO'",Guatemala,1306703675709161473
mariabelem08,b'Really? ???? https://t.co/yF0hwMsNLd',Guatemala,1306703397068906504
AGNochez,"b'@TrustSwap @JeffKirdeikis I was only able to get in on the 100 UNI one, but it totally worked! free SWAP! https://t.co/XpzT4NJoxI'",Guatemala,1306703284405706767
acristinambm,b'Give me a shot at the night? https://t.co/fTzKa98uza',Guatemala,1306703277027979270
AvesGuate,"b'PARDELA PATAS ROSADAS, Ardenna creatopus, Pink-footed Shearwater https://t.co/aGx2uIEWNj #AvesGuate https://t.co/xZ9ntBzsBc'",Guatemala,1306703276344332289
lnlsbth,b'bro i get so mad guatemalans in chicago don?t go as hard as mexicans do for independence day ?',Guatemala,1306703222933991424
Paper_Mask,"b""Honestly I'm not that interested...to be fair i'm not that interesting either""",Guatemala,1306703041274548224
_adrianurbina_,b'Four movies you?re pretty sure you like more than anyone else you know https://t.co/Y3xoqK60du https://t.co/14fWTpetI7',Guatemala,1306702972928380935
DrMarcoPaez,b'@EricTopol @speedbumpcomic Not one mask in sight!',Guatemala,1306702951466053634
AlvaroMeono,"b'Look at the stars, look how they shine for you and everything you do.'",Guatemala,1306702943916371968
PrettySheshe,b'Lool https://t.co/mZk12PPEei',Guatemala,1306702913620914176
svmycute,b'@AngieVelasco08 same',Guatemala,1306702750709886977
victor_sergio,"b'@Uber_Support I used the Uber app 30 minutes ago, I paid the ride, i reached my destination, but the ride is not fi? https://t.co/WAVanxrqkj'",Guatemala,1306702710775992320
daniicarreraa,b'what is this honey... https://t.co/rnXabIEKBo',Guatemala,1306702679289278464
Afi_69,"b""@MTG_Arena Client it's back!! Thanks 4 the hard work!! =)""",Guatemala,1306702659437629441
Joisaack,b'My first animation in Krita\n#animation #animatic #krita #art https://t.co/jX0NyKunUu',Guatemala,1306702574482075648
lumagavi,b'Gotta love Draper https://t.co/L2KYBDKrAK',Guatemala,1306702518475464704
mysignisegrass,"b'Yes, I want attention but I want YOUR attention.'",Guatemala,1306702486279839744
dlobregon,b'@erick_aldi Something like that??',Guatemala,1306702460455718917
ARosmundo,b'@dmarcereyese Credits nt',Guatemala,1306702287277088772
unakoaladice,b'the sky seems to be sobbing today... is it bc of you?',Guatemala,1306702230905655297
TaTox_007,"b'@iamfrench Congratulations!!! You?re going to be great parents, that?s for sure! May God bless your family ??'",Guatemala,1306702192431300610
SarahGtwts,"b""@el_antropoceno What in the hell? How does anyone send an email like that and think it's okay? What terrible practi? https://t.co/xnhzu9lXzz""",Guatemala,1306702094611681280
trapdelivery,b'baby estella is beautiful and healthy :)',Guatemala,1306702038064140289
gaboquiroa_,b'Lady Gaga - 911 https://t.co/RQsKt90opW #911iscoming',Guatemala,1306701683142033408
