user,text,country,id
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020',Guinea,1306690852836847618
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020 https://t.co/wcLcH0y5AE',Guinea,1306690744510488611
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020',Guinea,1306690499865178115
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020',Guinea,1306689967092047899
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020',Guinea,1306689698849533952
JagoKazama24,b'@StarboyHsp @XboxAmbassadors @Retrorenegades_ @XboxP3 Anytime Bro https://t.co/edHE2kTtCY',Guinea,1306686630443524101
nenejara,b'@MaitreGIMS #Gims On The Record',Guinea,1306682045549162498
Azizwiseman,b'@Lgatounes Zumba cafewww',Guinea,1306673779532345351
SekouKantambad5,b'@fallyipupa01 Super',Guinea,1306673507405889538
thiernob6215,b'@cheiick_Mohamed Ehh magass doucement ???',Guinea,1306672894672605185
MoussaMoseSyll5,b'@LindaKvine1 Amine',Guinea,1306658708269813761
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020 https://t.co/F8uAOl95Zc',Guinea,1306658680943906817
AlphaGassimBah1,b'@realDonaldTrump TRUMP 2020 https://t.co/gG4yc9nTFl',Guinea,1306658440022982662
AlphaGassimBah1,b'@IvankaTrump @realDonaldTrump TRUMP 2020',Guinea,1306654457787224064
AlphaGassimBah1,b'@america_fact TRUMP 2020',Guinea,1306654191620886529
AlphaGassimBah1,b'@GOPChairwoman @TommyHicksGOP @realDonaldTrump TRUMP 2020',Guinea,1306632922351505413
moussadjoop,b'@barcacentre You guys could not use another video for this ? ?????',Guinea,1306629767697965057
mdmatickeith,b'@_BeFoot @ChampionsLeague @Manuel_Neuer best goalkeeper ?',Guinea,1306608519328813058
lbahdeylo,b'U.D.R.G https://t.co/32y4daPkaS',Guinea,1306606008148668419
EdalyMinthe,b'@Gentlemanseydou Italique',Guinea,1306600954255433731
