user,text,country,id
TonyaWithAPen,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306702673194950657
CRUELCASSIUS,b'and if you eat ackee raw you can die and it?s cool to eat guarana fresh',Haiti,1306702519456989184
ArleteFigueira,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306702507444502534
silvana__ctm,b'@habitxtwoghost_ Obviaaaa',Haiti,1306702371876200455
Heliostice27,b'RT @zenmodezaddy: @urltv Went to Gamestop the other day/\nSaid I... I went to Gamestop....\n\nJERSEY https://t.co/a3JW9zYRRm',Haiti,1306702273163202561
ced97232,b'Cafew carnaval ??????',Haiti,1306702180230012930
silvana__ctm,b'@louissuperocho WEONA SAMEEEEEEEEE',Haiti,1306702042791120896
WolfQue76106530,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306701880404443139
cyonlights,b'RT @cutiexloui: grafittis de louis tomlinson as headers; a thread. https://t.co/ZcOqLPQ9iR',Haiti,1306700568702971906
PooreWordChoice,b'RT @AlyssaColeLit: This is seriously scary. https://t.co/LNTIoRwGfg',Haiti,1306699872867819525
sorenkingsley,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306699741833687040
Meteo97232,"b'16:53 Temp. 29.4?C, Hum. 81%, Dewp. 25?C, Bar. 1012.7 hpa, Rain Today 2.5000 mm, Vent 270? 5.0 km / h'",Haiti,1306699500858355712
QHoneyblue,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306698844776865797
TheKird,"b""@Stealth40k Probably because it wasn't a big surprise. Was anounced in the last indie showcase, those who follows S? https://t.co/aLkumsDl3z""",Haiti,1306698812833042432
jessisreading,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306698413468073984
NickyPenttila,b'RT @AlyssaColeLit: This is seriously scary.',Haiti,1306698049897590790
princessapr,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306697879969558528
chatlexa,b'@beloviao even more black cat content https://t.co/3MW8pDHKv1',Haiti,1306697860247887872
faintingviolet,b'RT @AlyssaColeLit: This is seriously scary. https://t.co/LNTIoRwGfg',Haiti,1306697549437431811
mcdoidge,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306697486191349760
AshDylanLit,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306696208489099265
RoseLerner,b'RT @AlyssaColeLit: This is seriously scary. https://t.co/LNTIoRwGfg',Haiti,1306695894306295810
luminarvt,b'Black magic woman',Haiti,1306695723178774528
DJMaxs972,b'RT @LaSoupape972: @DJMaxs972 Watchaaaaaaa ?????????????',Haiti,1306695674621317120
silvana__ctm,b'@tommochikito Same. Ah',Haiti,1306695448653164545
LaSoupape972,b'@DJMaxs972 Watchaaaaaaa ?????????????',Haiti,1306695407188271105
emeriickkk,b'@Ly_va_nn Awai net',Haiti,1306695241962053632
iamparker__,b'@StayfaanD Le seum x2 https://t.co/xyWW3bFgZa',Haiti,1306695160307253249
91seilish,b'@96bags ander paki imposible',Haiti,1306694447099449344
anazeroma,b'RT @Illuminatehtsm: Forever you ??',Haiti,1306693563019821063
onnsmokels,b'Downloading this. https://t.co/ieFAxbCghY',Haiti,1306693128292884483
Illuminatehtsm,b'Forever you ??',Haiti,1306693118146809857
Turboreacteur,b'@Uncle9od @AosIsaac That?s because woman are trash',Haiti,1306692771231735810
CRUELCASSIUS,b'@itskeyon oh and Take Me To The King by Tamela Mann that was my last favorite gospel song before I left the faith',Haiti,1306692618378711045
JalphLauren,b'Interesting no mention of the Arawak here... https://t.co/Ho3uXKfg6a',Haiti,1306692312345522176
CRUELCASSIUS,b'@itskeyon 911 by Kirk Franklin and TD Jakes. Chills everytime. everytime.\n\n and He Reigns (Our God Is An Awesome God) by Kirk Franklin.',Haiti,1306691890226528257
KatsuCunt,b'@Nagrolaz @_DeadSlug_ She totally steals the show ?',Haiti,1306691335194320899
lostbwa,b'@mosisoup Never seen something so cringe',Haiti,1306691139748212739
CaiusCruentus,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306690505212858368
CRUELCASSIUS,b'@loneamorphous @Beyonce taste',Haiti,1306690406076293128
CAubreyAuthor,b'RT @AlyssaColeLit: This is seriously scary.',Haiti,1306690166052978690
learnteachwin,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306690151213604885
GuinKelly,b'RT @AlyssaColeLit: This is seriously scary. https://t.co/LNTIoRwGfg',Haiti,1306689913677471745
albert_bowes,b'RT @AlyssaColeLit: This is seriously scary.',Haiti,1306689813614002176
jxmmyprotested,b'@_nialls_box Louis is a really fun night.....',Haiti,1306689734245330944
stabbyknitter,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306689428614676481
SatireNoire,b'RT @cutiexloui: grafittis de louis tomlinson as headers; a thread. https://t.co/ZcOqLPQ9iR',Haiti,1306689192706138112
onlythebrave_LH,b'RT @cutiexloui: grafittis de louis tomlinson as headers; a thread. https://t.co/ZcOqLPQ9iR',Haiti,1306689115832885257
AjshaReddick,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306688856310325255
CRUELCASSIUS,b'@KingSeanSwae summertime sadness',Haiti,1306688696981360640
AreliCano_,b'RT @cutiexloui: grafittis de louis tomlinson as headers; a thread. https://t.co/ZcOqLPQ9iR',Haiti,1306688517272227840
alan_h13,b'Salut @WatfordFC 35M for Sanson ?',Haiti,1306688478269317122
nclaireaskew,b'One of my coworkers asked me what 79 x 2 is and I answered correctly and I feel like a supercomputer',Haiti,1306688294932164608
shesdyed,b'he was kind of bland tbh https://t.co/Dcsx6f0PIh',Haiti,1306688119308079104
alan_h13,b'MAIS SANSON WEEDSSSHHH !?!???',Haiti,1306688079944654862
x0chrissyxluv,b'@themikalaleeann sameee ? how do you embrace yours? I really need help with this.',Haiti,1306687555249807361
Junrahen972,"b'@maorenc Martinique, in the Caribbean.'",Haiti,1306687182942474241
MWK22K,b'@nemsix064 Can u send me that track pls Mr. Pistol Kid?',Haiti,1306686785137913856
Lauwy_wy,b'@JenyFt Ohwww ouiiiiiiii',Haiti,1306686758705340419
ginnikin,b'RT @AlyssaColeLit: The Loyal League trilogy is on sale for $1.99 and $2.99 at various e-book sites today!\n????? Civil War espionage \n? Roma?',Haiti,1306686755253481472
L0UDETAILS,b'i need a new phone. sugar daddy?',Haiti,1306686607945277441
