user,text,country,id
karibidibombom,b'more &amp; more @JYPETWICE https://t.co/ae5ffXPTHp',Honduras,1306703749688295425
muruchuku,b'@djbaconcock Feeling royal in the royals',Honduras,1306699283324956674
luishrUD,b'DA KING ? https://t.co/aBxsmcC6kM',Honduras,1306699171412533250
Turbo_werner,b'@EskayCFC @CesarAzpi  why did you do this to a new player???? Whyyyyyyy',Honduras,1306698886409486337
avocaila,b'[extremely gay panic]',Honduras,1306698119183294465
emijose_94,"b""Truth is, truth can be a huge pile of shit. However, that won't change the fact it is the truth. ?""",Honduras,1306697948185624579
anxxmon,"b'Told him good luck with the next one, maybe she?ll be just as immature'",Honduras,1306697579569254402
CLainezReyes,"b'Good thoughts, Positive vibes mantain my motto.'",Honduras,1306696706944270338
menelio59,b'RT @Miguebrice: Chomin... https://t.co/qLD9BypBRK',Honduras,1306696593945501696
maria__giesela,b'#TBT when we could cosplay and leave the house https://t.co/3689vhoQF0',Honduras,1306693791575879698
danelviejo,"b'You are worthy and deserving of the best. There is not a single thing that is too good for you, or too good to be true. @_diniavanessa'",Honduras,1306692655766745089
mtabish3,b'I want off this planet N O W https://t.co/x2fyESGfrs',Honduras,1306692458193985536
MarioAguilar07,b'@BryanCranston @Showtime I wish Jesse could see this.',Honduras,1306692334495715329
mtabish3,b'My family calls me ?Merce? (rhymes with ?purse?) and the voicemail transcription is always ??? https://t.co/p79JAmlV6V',Honduras,1306692189871726592
TravelingHN,b'Traveling &amp; driving! Bring your #Garmin #GPS &amp; buy #Belize #Honduras #CostaRica #Panama #Guatemala maps at https://t.co/kUTWQYktpk',Honduras,1306691978294370305
sara_arguelles,"b'Peligroso me da algo viendo ""FIFTY SHADES FREED""?'",Honduras,1306691253212508160
ypma_albert,b'@JohnZuyderduyn I agree',Honduras,1306690974672920594
ayeeeMariahLynn,b'RT @nippyhstn: she pretty ?? https://t.co/3u1zixJSct',Honduras,1306690390905495567
BilalMirza22,b'@sincityyo You should?ve trusted me',Honduras,1306690270243827714
jpmena23,b'Once upon a time!!! https://t.co/dvuxkM6CLD',Honduras,1306690180926058496
Domjulioo,"b'I can?t even pre order p5 smh, thinkin bout waitin until somebody swipe it anyway?????'",Honduras,1306689302697570304
AryEnriqueAvila,b'@Chaveztoon Cuestionception.',Honduras,1306688735128571912
Domjulioo,b'Thinkin bout booking tulum too.....',Honduras,1306688671156969486
nubia_ti,b'@elisuu15 Me too. Plashita.',Honduras,1306687678600093698
Lavale_dora,b'@Babypochita Obvio',Honduras,1306687506184888320
K00K1E_s,b'@lgbtqstantingz ohhhmm where u from??',Honduras,1306687230690209792
Folofo2015,b'RT @Miguebrice: Chomin... https://t.co/qLD9BypBRK',Honduras,1306686888254861312
K00K1E_s,b'ANY ONCE MOOTS HERE???',Honduras,1306686673695043585
Turbo_werner,"b""Marseille don't do this to me please???""",Honduras,1306686503540658176
ypma_albert,b'@AnnaNetrebko All my best wishes for your health and prayers',Honduras,1306686498960535555
K00K1E_s,b'GOODMORNING MOOTS !! SAY IT BACK OR :))',Honduras,1306686213554728960
GisselaArita,b'@albaherreera I must confess I still believe (still believeeeeeeeee)',Honduras,1306686116016386059
K00K1E_s,b'@glowykoo Spotify has created a playlist',Honduras,1306685905407680512
K00K1E_s,b'4AM NA HELP',Honduras,1306685169877659650
ariveragallo,b'@dessouskokin So sexy',Honduras,1306684254756233219
OhhYoouFancyHuh,"b'Since Kam ain?t gone say it, I?ll say it, ?DISrespectfully some of y?all are SHADY?. https://t.co/4Vk0TZnl5s'",Honduras,1306684142046699520
K00K1E_s,b'@winterflowerfai YESS',Honduras,1306684002607144960
K00K1E_s,b'KTH1 IS COMING',Honduras,1306683709098090497
carlos_dm03,b'@_MZeledon Hahaha waterfall decis vos?',Honduras,1306682467835949056
maria__giesela,b'RT @maria__giesela: You know what I?m thinking about right now? https://t.co/OQw2kngP5q',Honduras,1306682388932702208
CRcarbroos,b'@celtics Tonight is the Night ??????',Honduras,1306682277930438657
PedroPeterPack,b'@RosssEdmonds @MikeChandlerMMA @ufc Finally and will be a backup for Khabib vs Gaethje ???',Honduras,1306682237077925896
Robthegod_,b'If I get this P5 I?m going vegan',Honduras,1306682224012558338
PedroPeterPack,b'@espnmma @SportsCenter @MikeChandlerMMA @danawhite Incredible...so there is a strong possibility to this man beggin? https://t.co/2pNlk7Y4uC',Honduras,1306681616740364289
ODIHH_,b'@annalefolle donatelo',Honduras,1306681283733528576
