user,text,country,id
Paz82639258,b'Drugs! https://t.co/bGLmTzk60X',Hungary,1306703613142667267
victoriagarzion,b'RT @Geiszluci: @kristintbooth Happy Anniversary Kristin and Tim! Congratulations! I wish you many more happy years together! ? https://t.co?',Hungary,1306701999384264708
HubaBlacksmith,"b'@PeteBlackburn @MandM_201 cmon, everyone in politics are using everything they can in a campaign, except china nort? https://t.co/qSRsj6mge7'",Hungary,1306701730386673664
puritanoaks,"b'[prematurely ejaculates] Wow, this is so kafkaesque\n\n-e'",Hungary,1306701224968847361
MJJCollins,b'@CoachLRJ @BoxeoDeBlog @babytacomeat Love it.',Hungary,1306697662922731520
seerinthecity,b'@sagistarbb Aries Venus in the 6th house. I just love foggy moody stuff and birds https://t.co/rnU6hwHoJa',Hungary,1306696530292871170
xptionllypoetic,"b'the prince from  #Charmed s4 ""A knight to remember"" is Frank from #HTGAWM\n??????\nwhat 2 decades can do https://t.co/X2h95iCVaX'",Hungary,1306694436647301121
FilipovicsTamas,b'the latest developments in agriculture',Hungary,1306693395444887562
IHTalukdar1,b'@Savage_shree @BrettLee_58 @narendramodi Chris Gayle: I am still the No.1 https://t.co/taA2ZmEPtL',Hungary,1306687340455239680
Geiszluci,b'@Leena42976209 @Eric_Mabius @kristintbooth @RealCrystalLowe I wish you a relaxing evening! ???\n#POstables? https://t.co/c7QMiXpqKT',Hungary,1306683015238742017
Geiszluci,"b'@blairwilki2 @Eric_Mabius @kristintbooth @RealCrystalLowe Thank you so much, Jane! ???\n I love the turtle bracelet? https://t.co/2wvs1zsoad'",Hungary,1306682202319708160
Geiszluci,"b'@Leena42976209 @Eric_Mabius @kristintbooth @RealCrystalLowe Thank you again, Leena! I hope for you too!\nHave  you e? https://t.co/xe9k5Mw1s0'",Hungary,1306679614803243009
elmentemcs,b'exactly https://t.co/A7IS71yiFx',Hungary,1306678239017009152
DeemaSoub,"b'I hate it when people stop being friendly for no reason, if there is anything wrong i?ve done, you gotta talk it ou? https://t.co/5Myswg5XZc'",Hungary,1306673308872708104
EsztiiiB,b'@f1oholic @LouisDeletraz Thank you ?',Hungary,1306670966978875392
Geiszluci,"b'@LoaderNancy So cute, Nancy! ???\n#POstables'",Hungary,1306668994703880195
mattn2424,b'@BarstoolBigCat Hey Big Cat got any of that responsibility https://t.co/1qYXyE6Hny',Hungary,1306667595366572032
PrimeSithole,b'@UyiOmorogbe He wanted to smile a little ??',Hungary,1306665935793721345
Geiszluci,"b""@OntarioKelli @Eric_Mabius @kristintbooth @RealCrystalLowe Thank you so much, Kelli! That's very kind of you! You a? https://t.co/5CmAa2B0wt""",Hungary,1306664872038498304
MrJ4F,"b'@Oliver82556134 @xMBGx Now make a pinochio pictuee about Fail Spencer too , because he sais Xbox series x will launch with Halo???'",Hungary,1306664268348231682
Paz82639258,b'Shiiiitt https://t.co/Kd3VXEcMgF',Hungary,1306662969602965516
xptionllypoetic,"b""@os2point0 you should've told him to experiment with some deodorant ??""",Hungary,1306660527725305857
OrtaSahaNobeti,b'This is so Freakin Cool ?? Tell me what you got ? #blackjoy #JuntosSomos #AppleEvent https://t.co/Us0jYAPEgk',Hungary,1306653192990732291
markjerome_,b'Goodnight\nhttps://t.co/7sJ1tqG5Ym',Hungary,1306652556219670528
MiklosIVZrinyi,"b""@edper2049 @RationalMale That's an industrial grade idea right there.""",Hungary,1306650613506338820
Geiszluci,b'@RitvaKilpeline1 @Eric_Mabius @kristintbooth @RealCrystalLowe @geoffgustafson @hallmarkmovie @MichelleVicary In Hun? https://t.co/fXuvf0Cdf8',Hungary,1306648259281203200
MrJ4F,b'@Nasson20520472 @SamsoniteUK @Jarska96 @IGN Ps plus is not the same as Game Pass but no problem??',Hungary,1306647488305262592
debbie_labeaux,b'RT @Geiszluci: @debbie_labeaux @darreng60 @YouthVOActor @lovetoeatalways @Sostraveluk @PassionSpoon1 @DaM_Adventures My pleasure! I also th?',Hungary,1306646281305993217
Geiszluci,"b'@FotoulaB @Eric_Mabius @kristintbooth @RealCrystalLowe Thank you so much, Fotoula! ???\nName days seem to be celebra? https://t.co/fsbjBaE4lf'",Hungary,1306646006872911872
fehd_dolly,b'RT @Geiszluci: @UglyBettyClub #POstables!\nA very fun scene from episode 1/17 with 3 very talented actors: @JudithLight @LucyLiu and @Eric_M?',Hungary,1306645612994146304
fehd_dolly,"b'RT @Geiszluci: @ABCNetwork, here is fantastically talented team! Fans and the cast are just waiting for you to call them together and conti?'",Hungary,1306645377161011201
WhoWouldWinShow,b'RT @BukiKatalin: @WhoWouldWinShow @ericmartsolf @JamesGavsie @AlmightyRay @tacoshirtK @TheShawnG @Beorntheviking @MrNiceGuy18_58 @mrjafri @?',Hungary,1306645050357698561
Geiszluci,"b'@RitvaKilpeline1 @Eric_Mabius @kristintbooth @RealCrystalLowe Thank you so much, Ritva!\nYes, we celebrate the Name? https://t.co/j6lt7SGxkj'",Hungary,1306644132266496000
scrpn_rl,"b""@sztanomarko @RocketLeague you gon' do something like this for the next aftermovie, right?""",Hungary,1306643314465296385
BukiKatalin,b'@WhoWouldWinShow @ericmartsolf @JamesGavsie @AlmightyRay @tacoshirtK @TheShawnG @Beorntheviking @MrNiceGuy18_58? https://t.co/7PC5FwWaxp',Hungary,1306641943162761216
MauraHevesi,"b'@malfoysdestiny Btw, cake looks delicious! Happy birthday! ?'",Hungary,1306640257018998785
DarkStar0915,"b'RT @Ezevin2: An old character with new style (3.)\n\nAhahnei, the Dawnbringer\n\n?I give the World a new day and I never asked for anything for?'",Hungary,1306640200072941570
EsztiiiB,b'@LouisDeletraz Thank you! ??',Hungary,1306639387548094466
MauraHevesi,b'@malfoysdestiny I had one for my 20 birthday ?',Hungary,1306639279427289088
Geiszluci,b'@debbie_labeaux @darreng60 @YouthVOActor @lovetoeatalways @Sostraveluk @PassionSpoon1 @DaM_Adventures My pleasure!? https://t.co/I1xVKQiFIi',Hungary,1306638558636257280
Ezevin2,"b'An old character with new style (3.)\n\nAhahnei, the Dawnbringer\n\n?I give the World a new day and I never asked for a? https://t.co/EgIHqrB4Ep'",Hungary,1306637698468282373
Geiszluci,"b'RT @Geiszluci: @dottie_eubanks @Eric_Mabius Dorothy, and here is one of the most romantic scenes from the ""Dancing at the Harvest Moon!\nI l?'",Hungary,1306637076503449600
debbie_labeaux,b'RT @Geiszluci: Good morning @debbie_labeaux @darreng60 @YouthVOActor good afternoon @lovetoeatalways @Sostraveluk @PassionSpoon1 @DaM_Adven?',Hungary,1306637009016909825
Geiszluci,b'RT @Geiszluci: @dottie_eubanks @Eric_Mabius Happy Birthday Jacqueline Bisset! ???\nAnd here are some photos from Jacqueline and @Eric_Mabius?',Hungary,1306636920936689664
Geiszluci,b'RT @Geiszluci: Good morning #POstables @Eric_Mabius @kristintbooth @RealCrystalLowe @geoffgustafson @RealTammyGillis @OldiesWithRudy!\nI wis?',Hungary,1306636617386467329
Geiszluci,"b'RT @Geiszluci: @ABCNetwork, here is fantastically talented team! Fans and the cast are just waiting for you to call them together and conti?'",Hungary,1306636591692218368
Geiszluci,b'RT @Geiszluci: @UglyBettyClub #POstables!\nA very fun scene from episode 1/17 with 3 very talented actors: @JudithLight @LucyLiu and @Eric_M?',Hungary,1306636577142116359
Geiszluci,b'RT @Geiszluci: #POstables @Eric_Mabius @kristintbooth @RealCrystalLowe\nWe also celebrate name days in Hungary (I know not in America).\nToda?',Hungary,1306636555549802496
Geiszluci,b'RT @Geiszluci: Good morning @debbie_labeaux @darreng60 @YouthVOActor good afternoon @lovetoeatalways @Sostraveluk @PassionSpoon1 @DaM_Adven?',Hungary,1306636541729665029
Geiszluci,b'RT @Geiszluci: #POstables @Eric_Mabius @kristintbooth @RealCrystalLowe @geoffgustafson\nThe last equestrian postman in Hungary. He takes the?',Hungary,1306636513921376257
