user,text,country,id
Mutza15,b'Solo Kill',Indonesia,1306703571824472064
putrileenaz,"b""It's Moooooooonday!""",Indonesia,1306702134486790145
aaessyhh,b'RT @belysaaaa: if u have a crush on me pls shoot ur shot honey u literally have no competition;)',Indonesia,1306701541890433025
NiharReal,b'RT @indiainmedan: #ExploreIndia Look at a rare photo? of @RailMinIndia giving an aerial view of a rushing train along the serene and breath?',Indonesia,1306701522948956162
Hamarj3,b'RT @baobao__0: 1STEP EXCHANGE AIRDROP\n?POOL REWARD 3M STEP/$3.000.000\n?NOTE:\n??Must have refferal atleast 1\n? STEP JOIN 1STEP AIRDROP ?\n1???',Indonesia,1306701048346705920
Hamarj3,"b""RT @baobao__0: AIRDROP 300 CREDITS! ?\n\n? Retweet\n? Click: https://t.co/xyodXL2Z3Y\n? Scan QR &amp; Download the App\n? Make account\n? Go to 'Me',?""",Indonesia,1306700933703892992
AgungPriyana233,b'Jual ID LostSaga !~  COL Grade 1 !',Indonesia,1306699407937675266
ezeadnah,"b""RT @baobao__0: AIRDROP 300 CREDITS! ?\n\n? Retweet\n? Click: https://t.co/xyodXL2Z3Y\n? Scan QR &amp; Download the App\n? Make account\n? Go to 'Me',?""",Indonesia,1306699216564215812
FBCofficial_,b'Visit this kewlbrand\n#fbc #federasibantenclothing #visitbantenlocalclothing https://t.co/HoQjZmgkaI',Indonesia,1306698843858153472
TigaUnscure,b'@Nur25369261 @ElrondNetwork @BinanceLabs @InjectiveLabs Back',Indonesia,1306698297118085120
nurazilaalii,b'RT @belysaaaa: if u have a crush on me pls shoot ur shot honey u literally have no competition;)',Indonesia,1306697973284261888
ican3230,b'@anis_flo Follback',Indonesia,1306697699811454976
naiki_nai,b'@_ShestoAdorable That mf woulda been boring without her ?????',Indonesia,1306697636989169666
IND0MILK,"b""cause i'm brittle at the parts where i wished i was strong""",Indonesia,1306697092048367616
naiki_nai,b'These bitches and niggas are so ungrateful out here ?????? I wanna cuss these mfs out. I hate this generation.',Indonesia,1306696851471515648
Matthew81191953,"b""RT @baobao__0: AIRDROP 300 CREDITS! ?\n\n? Retweet\n? Click: https://t.co/xyodXL2Z3Y\n? Scan QR &amp; Download the App\n? Make account\n? Go to 'Me',?""",Indonesia,1306695253257261057
tuyul_cyber,"b""RT @baobao__0: AIRDROP 300 CREDITS! ?\n\n? Retweet\n? Click: https://t.co/xyodXL2Z3Y\n? Scan QR &amp; Download the App\n? Make account\n? Go to 'Me',?""",Indonesia,1306694988332298240
ican3230,b'@tauyaaaaa Happybirthday',Indonesia,1306694512626991104
mhdfebrihsb,b'Insom ?',Indonesia,1306693772483256320
arie_cx,b'RT @TigaUnscure: Awesome ? $eGLD derivatives &amp; @ElrondNetwork technology will be used by @BinanceLabs incubated @InjectiveLabs \n \nInjective?',Indonesia,1306693155870261248
desco60,b'This is WRONG https://t.co/y48uW3rXHq',Indonesia,1306693147838291968
nblasfeaa_,b'RT @belysaaaa: if u have a crush on me pls shoot ur shot honey u literally have no competition;)',Indonesia,1306692730270097410
Iamcollapse_,"b'THE KING OF JAIL ""KOMENG"" #Truelegend @pergijauh https://t.co/h12McsYVp4'",Indonesia,1306691490173734912
TigaUnscure,b'Awesome ? $eGLD derivatives &amp; @ElrondNetwork technology will be used by @BinanceLabs incubated @InjectiveLabs \n \nIn? https://t.co/41ofYu35e5',Indonesia,1306691407428505600
FBCofficial_,b'Visit this MIFFEDInc\n#fbc #federasibantenclothing #visitbantenlocalclothing https://t.co/fDxba52hGK',Indonesia,1306691307025301504
yoyoung00,b'Do bong soon ? https://t.co/l53ppRVI4B',Indonesia,1306690452511358976
amirulsyahfiq23,"b'RT @WaaAbdullah: Sedih dengan diri sendiri. Tak tahu nak explain macam mana. I did my best but still not good enough. How I wish, I can del?'",Indonesia,1306690255701958657
yourfriendlyboy,b'@meytasya__ @rlthingy duain',Indonesia,1306689822388494336
Dugem87786523,b'RT @AvailMedan5: Udah include\nbebas croot no caps full service\nmain serasa pacar\nReal picture beb\nWA : 083167498292\n#excluderoom \n#BOMedan?',Indonesia,1306689075370315777
rizalsa34354432,b'RT @_burnce: @umar_hasibuan75 @sendyalfa24 Legend. https://t.co/BZz1sVZK2X',Indonesia,1306688179718684672
Saputriii6,b'there is always a gap to look wrong.',Indonesia,1306686454546878464
