user,text,country,id
nellysnut,b'@amandaoee_ girl bye they spilled don?t play',Iran,1306703493139517441
magu_hj,b'RT @04010z: - GrOoVe\n\n#THEBOYZ #JUYEON \n#???? #?? https://t.co/3Eb4jKu28e',Iran,1306703344962908161
nellysnut,b'@aotdts nobody moved nobody did anything  https://t.co/n6er4ZIG0U',Iran,1306703220010614784
thesacreddeer,b'@Persian_Lecter Wrongfully accused',Iran,1306698109104336896
nellysnut,b'@grandesbreakup the serve  https://t.co/n6er4ZIG0U',Iran,1306696629706264577
howardbskrville,b'Ah so you?re against the proliferation of arms?\n\nGood to know you?re in favor of extending the arms embargo on Iran? https://t.co/4CvrUtM9P3',Iran,1306694376865763329
howardbskrville,b'@hodakatebi Ah so you?re against the proliferation of arms?\n\nGood to know you?re in favor of extending the arms embargo on Iran then.',Iran,1306694360411504641
howardbskrville,b'A war imposed on Iran by Saddam. But a war Khomeini could have ended 2 years in but CHOSE to extend\n\nThe ?road to J? https://t.co/Yb8Eq7OjKB',Iran,1306694075731509248
howardbskrville,b'@Shah_0451 A war imposed on Iran by Saddam. But a war Khomeini could have ended 2 years in but CHOSE to extend\n\nThe? https://t.co/PRbqVFy1sP',Iran,1306694058878726144
Drone_MQ,b'RT @saghar_76: I lost a friend I never had...\n?',Iran,1306693878397964288
jqndae,b'mucho stan tw https://t.co/PkiXC2qsTw',Iran,1306692293559287809
howardbskrville,b'@GEsfandiari THIS is how you interview a human rights abuser. For those who want to kiss Zarif?s ass (i.e. @hdagres? https://t.co/awy9MOznVF',Iran,1306692171102212096
howardbskrville,"b'THIS is how you interview a human rights abuser. For those who want to kiss Zarif?s ass (i.e. @hdagres,? https://t.co/6fAfcSgk1m'",Iran,1306692054148235264
itselinae,"b'Swear to God, please take me back to the 50?s??? https://t.co/NCmc5ws7HC'",Iran,1306691868667777024
saghar_76,b'I lost a friend I never had...\n?',Iran,1306691815920328704
SFH65728393,b'RT @sarastanly79: lions are the cutest animals ever https://t.co/8TzbUIb7Oi',Iran,1306691320317202434
S__MLK,"b""I'm thinking of ending things""",Iran,1306690910739222529
nasrnews_ir,"b'Just posted a photo @ Tabriz, Iran https://t.co/t8CMd08OWx'",Iran,1306689278953562115
yamuur23,b'@saman Mage mishe nashnid',Iran,1306687588594573312
tarlannajafi,b'@ihooman_ :)) tooooo maaaaanyyyyy times',Iran,1306686521878216706
nellysnut,b'@reputationHOew did it work  https://t.co/n6er500gSs',Iran,1306680882162409473
1Shamex,b'@Salem_the_witch Sooooo cooool?',Iran,1306680597482549248
1Shamex,b'@jsmiinn0 You got it ??',Iran,1306680287674408961
1Shamex,b'@jsmiinn0 Enough internet for tonight',Iran,1306678856385024000
jilla9,"b'RT @howardbskrville: @NazaninBoniadi @SpeakerPelosi Nazanin, I highly appreciate your work and I have nothing against you working with any?'",Iran,1306678790744137729
sarastanly79,b'@daashalirezagol Taylor Swift ?\nDua Lipa ?\nLana Del Rey ?\nHalsey?\nRihanna ?\nZhavia Ward ?',Iran,1306678177813594112
iichyholland,b'RT @nellysnut: bye i?m feeling so nostalgic rn i?m ready for ag6 era?? this fandom was insane during the tun era https://t.co/nC3ED0M8zb',Iran,1306674011980603395
nellysnut,b'@reputationHOew @beatleswift @chartdata @rihanna @katyperry @BrunoMars @Drake @justinbieber @taylorswift13? https://t.co/XpYyBrQece',Iran,1306673633377517569
1Shamex,b'Call me BBB\nBlocked By Bitch https://t.co/WWAaqcQzJX',Iran,1306671951625289728
nellysnut,b'@arislefleur HELP',Iran,1306664178996908032
