user,text,country,id
kramercameronlc,b'We have awesome Catechists at Santi Apostoli! \n@apostoli_santi',Italy,1306704024868196353
Momma_kayyy187,b'RT @canelasweetie: EVERYBODY KEEP SHARING PLEASEEEE ??????????',Italy,1306703731979726848
JMGlachant,b'What the team of Navalny did in his hotel room in Tomsk just after learning he had collapsed in the airplane\n\n https://t.co/uFOuUY5jvE',Italy,1306703491994456066
StefanoStefi282,b'Lisa Gerrard - Serenity https://t.co/5g7YYbwDbE via @YouTube',Italy,1306703419500122114
anunezjimenez,b'RT @JMGlachant: Much less natural gas imports expected in EU in 2030:\nFrom -13% to -19%\n\nWhy then to build a big new gas pipe entering EU:?',Italy,1306703388856508422
bangtanxsmiles,b'???1? is coming',Italy,1306703329544802304
Cacciatorediluc,b'I uploaded a Photo @viewbug. https://t.co/IcaS78RZhA #photography',Italy,1306702990921916418
sarturec,b'RT @gucci: Unfolding the #GucciArtWall located just off East London?s Brick Lane featuring an image from the #GucciJackie1961 campaign phot?',Italy,1306702729918717953
AppartamentoA,"b'RT @TheColl36787591: Night Wave, painting by Fabrizio Agostini, NY Museum Of Cont. Art creden.\n\nShop \nhttps://t.co/c5RqEzXV5V\n\n#WashingtonP?'",Italy,1306702546036314112
StefanoStefi282,b'Lisa Gerrard.Come Tenderness https://t.co/dHjSkvbbfr via @YouTube',Italy,1306702433754767369
GPtoEndViolence,b'RT @UNICEFInnocenti: ? 3? 2? 1? WE ARE LIVE ?\n\nOur #LeadingMinds panel on the economic impact of #COVID19 on children joins us from:\n\n?? #U?',Italy,1306702379098791937
YounngEvans,b'RT @RastaBeauty_: I am a woman with solutions ? problems that linger aren?t for me.',Italy,1306701584785502209
sickoftheshit3,b'@TheCuriousWood1 @gj_earl I just learned it recently.',Italy,1306701584190115842
_vejita,b'RT @Ghironda1: quick color study??\n\nsnowy tree?? https://t.co/kkpZUJMt6d',Italy,1306701482948022272
_vejita,b'RT @Ghironda1: wangxian but as xiefan is the crossover of my dreams ?\n\n#wuchang #MoDaoZuShi #IdentityV https://t.co/uykYpbQNxa',Italy,1306701415834955777
saniesflcwer,"b""? day 103 ? 365 ??-\n\n?....??You don't know what people return home to. Be kind, always.??? https://t.co/T78L4HrRp5""",Italy,1306701405592449025
itachisagony,"b""RT @UmbertoArte: Res: John Collier (1850-1934) / All Hallowe'en, oil on canvas, 87x128.3 cm https://t.co/FWdrCa7sZt""",Italy,1306701374458081287
RastaBeauty_,"b'@CarolSOtt wow, smh'",Italy,1306701355441061889
WheresSonny,b'@luvnettaaa I accept cashapp n paypal',Italy,1306701296192434178
paolocalabro1,b'RT @IacopoOlivotto: Do we listen to our patients? Do we ask the right questions? #cardiomyopathy https://t.co/lBtFk8ITjQ',Italy,1306701199677235201
Lore_Genna,b'GOD PLEASE?? I LOVE YOU????\n\n#911iscoming https://t.co/fi13CCIdQZ',Italy,1306701114482589696
irottiv_,b'@_giu_7 love you honeyyyyy??',Italy,1306701087265697794
grahamcracker0_,b'If this doesn?t answer your question idk what will https://t.co/EXuqSlbIdT',Italy,1306701070085820416
mbelcastrob,b'80s baby! (Communication) https://t.co/BsuK0KuE8f via @YouTube',Italy,1306700959318446085
constantwining,b'RT @girlinflorence: Beauty Beyond Limits: Massimo Sestini at Forte Belvedere as seen by @arttrav. Worth noting that this show is ongoing un?',Italy,1306700914816933892
DavidBenericett,b'@Ale_porca90cum @Melissa16819975 Anche a me',Italy,1306700672251973641
StefanoStefi282,b'Endless Harmony ( Lisa Gerrard and Patrick Cassidy - Elegy ) https://t.co/8OlGsHOWxj via @YouTube',Italy,1306700656825303047
lostindisco,"b'RT @BrigidLaffan: Spot on @SamuelMarcLowe while London was trying to figure what Brexit meant, @dfatirl held 100s of meetings-yes100s-at po?'",Italy,1306700566882549765
uy_GDZ,"b'RT @JMGlachant: Rooftop solar generators, electric vehicle batteries, &amp; other small energy resources\n\nallowed by US federal regulator ?@FER?'",Italy,1306700379237777408
yukaridublinli,b'RT @UmbertoArte: Res: Arthur John Elsley (1861-1952) / Homeward Bound https://t.co/WAigcAOBK4',Italy,1306700314947588105
npeci,b'@JenGri5 @greenhousenyt @realDonaldTrump Ok bot',Italy,1306700087394009088
OnTheSauceAgain,b'Types of Casks and How They Influence Whisky. ?\n\n#Dram #Scotch \n\nhttps://t.co/WBwUcmaAJD',Italy,1306699971438280704
mymombeatcancer,b'@monicalr75 I?ll help you! My wish is to do that to a trumper lol lol',Italy,1306699859945287684
