user,text,country,id
stuartsmellie,b'@Hail_2The_V ?Transformers.....more than meets the eye ?',Jamaica,1306703995696803840
imnotrael,"b'my balding spanish professor keeps calling house, ""crib""'",Jamaica,1306703995482800129
Zeaig,b'@Razzy_Lee Here?s what?s important. https://t.co/xOnwcvGUfm',Jamaica,1306703995004768265
ittsKLVN,b'@Drummy_Jo Where are you?',Jamaica,1306703982543470593
Alfreshco_,b'Take a leap of faith with me.',Jamaica,1306703942122901505
DayzFete,b'DJ Paul C from the 305 is live now on https://t.co/QHWDNZtvpl https://t.co/uo2JMuvfXP',Jamaica,1306703904172912643
joeleepost,b'Shopping on a budget? We got you! Save up $15 Cleanse &amp; Nourish -120 chelation capsules +4oz Sea moss #holidaydeals? https://t.co/pI0FcHVlLg',Jamaica,1306703890579103749
AndreHaughto,"b""@Zemi66 @televisionjam @djmillerJA Being brilliant in one's field of study does not guarantee that one will be a go? https://t.co/tHNL151f8U""",Jamaica,1306703884002394116
xm_binnwin,b'RT @jisungpijudo: varones gritando: ????????????\n\nhan jisung gritando turn it up:???????????\n https://t.co/10UUHacqrq',Jamaica,1306703839001800705
guruintraining_,"b""RT @alimats876: do the right thing. \n\neven when it's hard.""",Jamaica,1306703827937222658
_choyyy,b'RT @JamaicaObserver: #ForexJa: J$142.76 to one US dollar\nhttps://t.co/F0zTzjKmWX',Jamaica,1306703817321451520
StillSharShar,b'So mi roll out so mi roll clean',Jamaica,1306703811210293248
Emo_Kerry,"b'RT @JamaicaObserver: Mexican government today said it caught a US citizen trying to smuggle 13,000 rounds of ammunition at a border crossin?'",Jamaica,1306703795569790977
duttyberryshow,"b'A my the only one that experiences a nice flow of productivity, I mean u nailing adulting and getting everything do? https://t.co/IIZT01WG5C'",Jamaica,1306703782957416456
Emo_Kerry,"b""RT @shopQmall: The future is in your hands. We're working with @UCAJamaica  to help you level up this year. Build your own degree with the?""",Jamaica,1306703760052363264
tarabeti,"b'RT @marcgayle: Every commercial bank in Jamaica should offer something like this, especially for their MSME &amp; SME customers. \n\nThis is some?'",Jamaica,1306703721292795907
vibewithotto,b'Dark blue and white https://t.co/jU6HSibqM3',Jamaica,1306703700874989568
CorazonD11,b'@thighhighsenpa1 A really cute crayon box ?',Jamaica,1306703693660778498
ryanrageriley,b'@ScorpioChicDenz @GoodDoctorABC All the memories of the last season just a knock me right now. Like people were eve? https://t.co/YMaURp06Sa',Jamaica,1306703669098942465
Jayyy_Dwyer,"b'Oh, dats how premium twitter works. See di pree'",Jamaica,1306703665173008384
RasBenjiMassop1,"b'RT @marcgayle: Every commercial bank in Jamaica should offer something like this, especially for their MSME &amp; SME customers. \n\nThis is some?'",Jamaica,1306703655748370434
gunnatygk,b'RT @queensarchives: Hey @queensu students. Would you be interested in working with the Archives this year? We are looking for one graduate?',Jamaica,1306703651222827008
AriGolddddd,b'RT @lawdamassii: I can?t wait to move from all the bad vibes',Jamaica,1306703621690724352
876chad,b'@papismithy Facts',Jamaica,1306703593131606023
DudeUwi,b'@JamaicanFreeeak U like me? ??',Jamaica,1306703591558778881
markstormz,b'God Arsenal will kill me',Jamaica,1306703589398769664
KOFI_876,"b""@AshleyAffette Ahh seet deh... Cuz idk what's going on in your head, eg... I can misinterpret your opinion https://t.co/eOgPZbEKQz""",Jamaica,1306703565973585920
Zeaig,b'@Flufflebear Thanks for the raffle! ?',Jamaica,1306703533790687234
876chad,b'@TylerAaliyah_ I gotchyu.',Jamaica,1306703523359281153
DudeUwi,b'@JamaicanFreeeak The dick needs to be small enuff for me. The big hood smtn naw guh work fi me enuh',Jamaica,1306703502811557888
GHiggins18,b'Coronavirus cases top 30 million worldwide https://t.co/TLgqRho3Qa via @JamaicaObserver',Jamaica,1306703502735966209
SportsMax_Carib,"b""Johnny Gayle's innings has closed with a well-played knock of 96.\nRespected cricket umpire Johnny Gayle dies at 96? https://t.co/kWn48PTKXy""",Jamaica,1306703490249617408
Alfreshco_,b'Some days will be tougher than others but keep going.',Jamaica,1306703484637655042
tianna_1don,b'RT @dididon8: Never diss a person weh check for you !',Jamaica,1306703482318139392
Kadz__Don,b'Then hear vale?????',Jamaica,1306703470016294912
TheTherapistSOL,b'@jdonsway Buy your own ps5 nigga lmao easy',Jamaica,1306703445471170563
RasBenjiMassop1,b'RT @wendelabel: Online counseling has become very popular. I now see clients from anywhere. Jamaicans are embracing the change.',Jamaica,1306703445009760256
crypticbel,b'Creation glorifies creator.',Jamaica,1306703394132971520
BexFry,b'What happened to that super popular Social Distance Dishes group on FB that was started in #ygk and quickly snowbal? https://t.co/Cb1FyWRDqK',Jamaica,1306703383500386305
__chineyting__,b'Gained 4 pounds. Just 6 more to go.',Jamaica,1306703348846952450
HellsMstWanted,b'RT @lawdamassii: I can?t wait to move from all the bad vibes',Jamaica,1306703343742414849
RockSpence,b'@obj HEY!! my GOFUNDME  has been slow for the past couple of days and i Need your HELP I?m asking you to PLEASE BOO? https://t.co/Vb8IKpTDQQ',Jamaica,1306703340148068354
helenabcraig,b'RT @Justwantclarity: @helenabcraig #London Plan will remove protection from ALL protection for green spaces in London whilst doubling local?',Jamaica,1306703330929004544
rhino_coopes,b'#gas!! ... over 20  more than the speed limit..shodowEBrakes miss lol.. https://t.co/yc6eBGik3m',Jamaica,1306703324792717314
coachpolly1,"b'@WorksWithWords Fuckly Fucknald, quite like it...'",Jamaica,1306703312687955969
KellyKatharin,"b""RT @themohwgovjm: Today's #COVID19 Conversation will look at the COVID-19 trends, community transmission, testing and workplace protocols.?""",Jamaica,1306703307671515139
markstormz,b'quarter after three',Jamaica,1306703295503831040
lawdamassii,b'I can?t wait to move from all the bad vibes',Jamaica,1306703289405317121
cravpup,b'*sings...Utd you mash up mi lifeee??? https://t.co/Du6Xqtd31y',Jamaica,1306703265762078727
Harley_Dread,b'@868nathan This is my kinda greedy.... doing this tomorrow....',Jamaica,1306703247365861378
GerryMohabir,b'@LBC @TomSwarbrick1 What have carps ever done to deserve this reputation?',Jamaica,1306703232224428033
adamleegreen,b'@queenknights20 Nope',Jamaica,1306703224364249088
Petchary,b'@RhodaMCrawford Great start!',Jamaica,1306703203069767682
PETESenuh,"b'RT @JamaicaObserver: The Forestry Department is urging every Jamaican to plant at least one tree on October 2, in commemoration of National?'",Jamaica,1306703181410426880
PaulineSNelson,b'@GerryMcD @natlibja @JamLibService @JamaicaTeachers What an amazingly lovely offer.  Blessings',Jamaica,1306703168504582144
ItsDrewDarien,b'@feistyninoo The way I?m happy',Jamaica,1306703149504376833
mcmclish,b'Mumma body trang like Leyland truck up Spurtree hill https://t.co/lHQ4xe1aMV',Jamaica,1306703110421860355
adamleegreen,b'@TrackCopNewbie The third series slows but it is good',Jamaica,1306703048048287746
KOFI_876,"b""@AshleyAffette These are my assumptions...... Correct me if my assumptions are wrong...... Specify what is it you'r? https://t.co/fCdBcb7EyO""",Jamaica,1306703036539179014
damullingstweet,"b""RT @alimats876: do the right thing. \n\neven when it's hard.""",Jamaica,1306703035524096000
BexFry,b'@evilplasticfork @rosalyngambhir This is what I am thinking ??',Jamaica,1306703034530107405
ramon_clayton,b'@khhayla weed',Jamaica,1306703031321460736
marcgayle,"b'Every commercial bank in Jamaica should offer something like this, especially for their MSME &amp; SME customers. \n\nThi? https://t.co/TKoJCC96HF'",Jamaica,1306702983321858048
kaediburke,b'Know how long me a dead fih eat this likkle food ?',Jamaica,1306702968729866242
feistyninoo,b'RT @ItsDrewDarien: @feistyninoo my prayers have been answered. ?????',Jamaica,1306702952623554561
Poison_Noy,b'RT @ThisisPreki: From Tufton stop give the updates me lose track of what a gwaan',Jamaica,1306702950107148288
OGElmoCooks,b'@LexP__ Is it sparklin water?',Jamaica,1306702868343328768
JrezzyJ,"b'@docpat10 @UHWI_porter Lol ?, smh ...'",Jamaica,1306702857882796032
sandramanjie,b'Do bell bottom/wide-legged pants look good on short people? I?m about 5?4?.',Jamaica,1306702849771032576
kaediburke,b'Gentlemen !! https://t.co/bVEIh9yz32',Jamaica,1306702831181799426
Petchary,b'@SHenryCampbell1 @MayorWilliamsJA @ksamcorp Yes. With a likkle sea breeze!',Jamaica,1306702741922893829
GerryMcD,"b""Calling teachers/parents of Primary level students + bookshops. Is V.S. Reid's material still on book lists?\n\nI'd l? https://t.co/GK30AZWklM""",Jamaica,1306702731898429444
thefourfivefour,b'RT @JamaicaObserver: #BreakingNews: Former Government minister Dr DK Duncan is dead.\n\nMore to come.\n\n#JamaicaNews #JOL #Oteam https://t.co/?',Jamaica,1306702720401911809
Tedsyr1,b'@Great_Jami would you like when some1 close to you do that?',Jamaica,1306702707651153921
Al_McCormick,b'@paulwaugh @JuliaHB1 Sounds like she was asleep at the wheel',Jamaica,1306702700575428610
alvin_economist,b'Total colour blindness?! A wah dis Rasta smh',Jamaica,1306702698578931718
a_j_francis,b'@thegawjus1 It done?',Jamaica,1306702613266792450
qhloae,b'i can get an aarp card to prove it',Jamaica,1306702609873502208
joeleepost,"b""It's eerily  quiet today! The  #Holy spirit might just be passing through""",Jamaica,1306702565552390146
Odane_Brooks,"b'Can people at least turn up early for a zoom meeting, jeezam.'",Jamaica,1306702559478976513
qhloae,b'would u guys believe me if i told you i was a senior citizen',Jamaica,1306702545394561024
lasymba,b'@868nathan Lol you deserve a promotion ???',Jamaica,1306702537488322560
brizzlasalonji,b'RT @ThisisPreki: From Tufton stop give the updates me lose track of what a gwaan',Jamaica,1306702522430652417
MayorWilliamsJA,"b'A life of public-service is hard to live, but doing so and being a dependable and supportive father is superb.? https://t.co/v2u4eEtkJf'",Jamaica,1306702483905970176
coachpolly1,b'@Gargarin Goodness what absolute beauties they both were - swoon x',Jamaica,1306702405925470208
badbwoiited,b'RT @ThisisPreki: From Tufton stop give the updates me lose track of what a gwaan',Jamaica,1306702386170298368
_khourtnee_,b'RT @JamaicaObserver: #ForexJa: J$142.76 to one US dollar\nhttps://t.co/F0zTzjKmWX',Jamaica,1306702385671176194
duttyberryshow,b'I have been thinking about Popeyes chicken all day',Jamaica,1306702358433406976
KOFI_876,"b'@AshleyAffette Yea mi just bored ?? cuz yuh prolly a seh, mifi really send this paragraph to dis youth mi nuh know?? https://t.co/NLV0rFTQ1N'",Jamaica,1306702343585640448
NigelBigMeech,b'Wah gwaan a Mona Common ? two women dead?????',Jamaica,1306702306226835457
lasymba,b'@britanybritany_ Jah kno!!!!',Jamaica,1306702274434158593
ItsDrewDarien,b'@feistyninoo my prayers have been answered. ?????',Jamaica,1306702263872823296
Taii_sho,b'A weh di muma bloodclaat this https://t.co/9G4IriV4vV',Jamaica,1306702258156056576
Kymburli19,b'RT @ThisisPreki: From Tufton stop give the updates me lose track of what a gwaan',Jamaica,1306702254116921346
tia_chanice,"b'This don?t make no damn sense, I?m just laying in bed... why tf am I having back to back anxiety attacks'",Jamaica,1306702236035297281
IrieSoundsJA,"b""I miss how goofy 90's reggae and dancehall videos were""",Jamaica,1306702135694942214
parptart,"b""@elliephant0622 When I'm president, I am deleting all evidence of this fact""",Jamaica,1306702113033121793
Info_Exchange,"b'While private cloud is known for its security &amp; controllability, the public cloud is flexible &amp; scalable. For busin? https://t.co/ZFBVoUpUVH'",Jamaica,1306702088882266112
876chad,b'She say my initials ? https://t.co/x92pTAbFdN',Jamaica,1306702062961467394
PeteDBlock1,b'What?s life? https://t.co/uC2vmPykJo',Jamaica,1306702036050866178
