user,text,country,id
kurobei1,b'@RetroPopSite @MelanieCmusic @OfficialSteps @SophieEB kylie',Japan,1306710844747575297
edsont77,b'Oh look the ramping of nationalist propaganda... Where has this been seen before? ? https://t.co/af1zF6u3TR',Japan,1306710713717620736
LawrenciaAddo2,b'RT @tv3_ghana: Students of Agogo State College showed up nicely suited up for their National Science and Maths quiz competition and then ac?',Japan,1306710685687189509
pabbeo_,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306710544209063938
LawrenciaAddo2,"b'RT @tv3_ghana: ?On #TV3NewDay tomorrow, we?ll be pairing our 6 gorgeous finalists with some of your favorite artists from their respective?'",Japan,1306710533865967623
TheCecilBaidoo,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306710437959012357
tachimukai_en,"b'All right, one more time!'",Japan,1306710384922034184
This_is_TJ,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306710041660190720
abdul_sonic,b'RT @tv3_ghana: Students of Agogo State College showed up nicely suited up for their National Science and Maths quiz competition and then ac?',Japan,1306709789330866176
Ernest_Wins,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306709494542499841
Queen_Liorr,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306709354129879040
MensahWest,b'RT @tv3_ghana: Students of Agogo State College showed up nicely suited up for their National Science and Maths quiz competition and then ac?',Japan,1306709157794516992
fixondennis,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306709128899964929
Delase15,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306709094863179777
R48091942,b'@alcmzt very cute',Japan,1306708705187172352
_nii_kpakpo,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306708384259997698
ceeking14,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306708352806916096
Thugthugger3,b'RT @tv3_ghana: Students of Agogo State College showed up nicely suited up for their National Science and Maths quiz competition and then ac?',Japan,1306708315196608522
awurabenaakoto,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306707957934063617
abeiku___,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306707879978831873
blvck_kaiserin,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306707819111084035
ImNotEstela,b'@jadenhossler Did u just-',Japan,1306707799049633792
lexy_partey,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306707561245220866
Bchei3,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306706752315027459
golfmichellee,b'I promise you don?t have to talk to me if you don?t want to my feelings will not get hurt',Japan,1306706460974485504
_itssgomez,b'@Madlovebeats @bigtoriii I would say the same thing to you ???',Japan,1306706340941684738
mijokijo,"b'@Cernovich It\'s all ""hypothetical"", of course.'",Japan,1306706299682304002
ethereal_17,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306706275611348992
Gator_Reinhard,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306706239750053891
Itzking_yolo,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306706208439570433
_Berchie,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306706051614547970
TEPUNN,b'RT @norimade: The BLACK?? https://t.co/DJqZG1J1zb',Japan,1306705865550958592
kakra19,b'RT @tv3_ghana: An orphaned physically challenged woman at Enyan Abaasa in the Central Region has become a target of sexual abuse due to her?',Japan,1306705628963000327
