user,text,country,id
TheSmartVoice,b'RT @rozekibibi55: 3 reasons as to why you should go for our Huawei y6p ?? https://t.co/RLwUgBKAkj',Kenya,1306710881070387200
kisakacaleb,"b""@thejohnsonk Pogba has been doing it if you really watch and see he's impact at United.\nHe gets criticised a lot an? https://t.co/6ve74vwA8s""",Kenya,1306710610210627590
GotSwanged,b'Anyways. Kama kuna some aunties apa wanishikie ps5. \n\nI can do things. Disgusting things?',Kenya,1306710540744560641
japhguru,"b'SA women are very beautiful, big shout out'",Kenya,1306710475766484992
developerharon,"b""@JonnyEv5 @CodeThLightning @jordencodes @prinxard @ObomighieSophie I'm not even sure, someone who has used discord longer should answer that""",Kenya,1306710349907927046
odoyo_edwin,b'RT @Intercancer: CBI 100: Biosimilars Education Series Program. \nRegister at https://t.co/o5OZy5GsSU\n\nThe program will be delivered in a 3-?',Kenya,1306710076003057666
owino2,b'@Jonahfrommara @NationAfrica @eugenekhisa It also means a prostitute',Kenya,1306710018432040960
Isabelle_382,b'@_pixie_glittr @Lisaisating You should do one on twitter ?',Kenya,1306710000518213632
letsaydonah,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306709858243219456
Kokwet_KE,b'Are you an introvert? https://t.co/K60QK3xQqf',Kenya,1306709703930642437
petersegera,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306709626763829251
developerharon,"b""@Desireecodes Doing something even if I don't want to do because in the end I'll feel nice about it. On the other h? https://t.co/AzRog5R8Jw""",Kenya,1306709591527481344
BryanAllan17,"b'Thank you for standing for one Kenya , forever will Kenyans remember you for this , Viva @SakajaJohnson  @ledamalekina  @kipmurkomen'",Kenya,1306709579137462273
Brownraj1,b'I have just booked my virtual seat at the Theatre of Dreams.\nThanks DHL\n@ManUtd @DHLManUtd @paulpogba? https://t.co/4chHuMki3q',Kenya,1306709386342137862
BenRono92439068,b'RT @Cleophasmalala: Our fight was not in vain.',Kenya,1306709330549518342
dnahinga,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306709180175265793
lariba_,b'RT @Cleophasmalala: The struggle has yielded. Our fight has not been in vain. History will judge us right.Finally its a WIN - WIN formula.?',Kenya,1306708776041566208
developerharon,"b""@AdebowaleObaa @emeka_boris Yeah, I agree, he's only one of the many billionaires doing people dirty.""",Kenya,1306708746853404678
mosbei95,b'@CarolRadull @Asoma_Arthur1 more life',Kenya,1306708643849662464
esthernereah,"b'Cruise master??, a fave?? https://t.co/tnA4CO70lE'",Kenya,1306708606784606211
mariamaria05,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306708294686453766
Kamarakip,b'@ItsJobu From a whisper',Kenya,1306708125379108872
BelvalBertrand,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306707954515746820
developerharon,"b""@JonnyEv5 @CodeThLightning @jordencodes @prinxard @ObomighieSophie I have also used it once, but I'll download the? https://t.co/oP14GNFktz""",Kenya,1306707784889774083
agollapauljnr,"b'@TheodrineT Both are priceless, will be happy with all'",Kenya,1306707696188641281
Kibabiifinest,"b""@ItsReed34 That's why you're not playing UCL SOON""",Kenya,1306707588600475648
Kokwet_KE,b'@Mwende28 sinanga its a playlist',Kenya,1306707392697167873
lutiet_melly,"b'@MigunaMiguna The revolution is nigh General,just waiting for your word.@MigunaMiguna'",Kenya,1306707079588179968
eric_alumasa,b'The end time message. https://t.co/eIg1WAZAII',Kenya,1306707068234149889
kisakacaleb,b'@thejohnsonk But neither is kante tbh??????.\nKante has not been himself for ages.\nThiago and KdB i agree...but Kant? https://t.co/atJ0L3odHs',Kenya,1306706869046697985
044justZeddy,b'@MigunaMiguna Big clowns fr',Kenya,1306706791846338560
Rash2030,b'RT @EliudKipchoge: Today we break ground to pave way for a facility that will change the life of every young person.. Books have changed my?',Kenya,1306705680846540800
Kibabiifinest,b'@Aryannkinyua Haha\nYou force us?',Kenya,1306705489225568256
EugineKapwone,b'Who again? https://t.co/YLUfxomn98',Kenya,1306705460423254016
