user,text,country,id
45hk_,b'@Znn00__ i need to call heaven because they lost an angel please!!?',Kuwait,1306710950226128896
SurgQ8,b'We hope to see you there! For details visit: https://t.co/u5Z6jDsSVT',Kuwait,1306710945000030209
NoraAldhafeeri,b'@Fjr248 Yeaah last season i guess. Well i kinda lost interest after Ragnar?',Kuwait,1306710941946576896
xrreyo,b'RT @seasiderhapsody: me trying to absorb information in the next few weeks',Kuwait,1306710934887583746
Kasabiiti,b'@drtalieybita 2 hours later ? I want to sleep ???',Kuwait,1306710902637559808
allnourr,b'@elajmii2_ happy birthday???',Kuwait,1306710838380724228
TeacherwriterN,b'Goals https://t.co/ynKkiIwIvG',Kuwait,1306710823679799305
SSM7X_,b'@adaihanex thank youu galbi ??',Kuwait,1306710809930862593
ts184_,b'RT @Emanalf_: Make yourself a priority',Kuwait,1306710809675005952
anacondaoutsoId,"b""RT @ACIDBLEEDER: no we don't https://t.co/vsoPxCSVnM""",Kuwait,1306710806348914688
EngNoda,b'We can be soul mates if you know this sounds ?? https://t.co/1WFAVEsVal',Kuwait,1306710789613432832
97chrstn,b'@Fxhedgers ?? They needa drop a mixtape about that shit',Kuwait,1306710785134071808
blueskyra00,b'The exact feeling I was looking for?',Kuwait,1306710784190435328
lunathepali,b'@sedraarjoun he?s hot',Kuwait,1306710760723304448
ZankawiEman,b'@lifeasmariam Mariam is that you? Or did your account get hacked? Lol',Kuwait,1306710723221884928
taibaahh,b'@MyGUSTQ8 luay tahat is great',Kuwait,1306710711113060352
ashknanihk,b'Funkyly | ee u can ?',Kuwait,1306710703211008000
dreamscenario_,b'RT @jameela56_: ? |  ????????? ?? ???? ?? ???? ? ??? ??? ???? ?? ????? ?? ???? ??? ???? ???? ?? ??????????? .',Kuwait,1306710700996214784
idanahal,b'@alajjmyy Thank you ??',Kuwait,1306710695384358916
Dakii91_,b'MULAN?\nFT. \nthe perfect company? https://t.co/fHvp8uQEZc',Kuwait,1306710692536385537
maniahqadir,b'RT @MJALSHRIKA: For all those who are advising me not to talk to this or that person must know that our prophet SAW wrote letters of peace?',Kuwait,1306710679018184707
Michell58841614,b'@loeyfeed Perfect @weareoneEXO #CHANYEOL',Kuwait,1306710662278787072
AlmosawiSuliman,b'@OfficialRaeganR Miss you ??',Kuwait,1306710658445119489
fellohaa,b'#tell jealous !! Who are u?',Kuwait,1306710615231168513
ThrashWednesday,b'RT @HorrorAddictX: The Crow | 1994 https://t.co/H0MquBTPWY',Kuwait,1306710593500450816
NoorAlZalzalah,b'@amnahj6 Of course my love',Kuwait,1306710593378955266
NoraAldhafeeri,b'@Fjr248 I still have 10 episodes to watch&amp; I can?t bring myself to watch?em i just felt it?s too much! Yeah gurl it? https://t.co/xAEI4zcAOj',Kuwait,1306710559283445760
luluwaa7,b'Online shopping ?',Kuwait,1306710548885667841
guzel_rani,b'Lonely ????\n\n#??????_?????_????',Kuwait,1306710546230673408
Pytyser,b'RT @esa_mel: Awesome ? $eGLD derivatives &amp; @ElrondNetwork technology will be used by @BinanceLabs incubated @InjectiveLabs \n\nInjective Prot?',Kuwait,1306710539419123713
SarahAlSaeed,b'David Capaldi you know me so well',Kuwait,1306710515406733312
Yaqoub_H,b'@carygolomb Guess most of us won?t get any chances to buy a card until early next year ?',Kuwait,1306710486101131276
arwasay1,b'@mmkrayem Yess?',Kuwait,1306710475233689601
M_khoursheed,b'Send me Tells https://t.co/g1t83UUexW',Kuwait,1306710432028274688
whoashukhan,b'RT @MJALSHRIKA: For all those who are advising me not to talk to this or that person must know that our prophet SAW wrote letters of peace?',Kuwait,1306710422964383750
AFN26_,b'Follow and support my account ?\nhttps://t.co/1bu1NFzTD0 https://t.co/eG92WIrBQS',Kuwait,1306710398587019264
Sheikhhamzee,b'RT @MJALSHRIKA: For all those who are advising me not to talk to this or that person must know that our prophet SAW wrote letters of peace?',Kuwait,1306710317196509185
strangereffects,b'Favorite movie forever ???? https://t.co/4GGJ1zukJf',Kuwait,1306710273269661696
aguillon_dennis,b'@DavidKyaloM @realDonaldTrump You better do your homework first dude... Trump did not win the popular vote!',Kuwait,1306710272254636039
ZakatiIrfan,b'RT @MJALSHRIKA: For all those who are advising me not to talk to this or that person must know that our prophet SAW wrote letters of peace?',Kuwait,1306710265006678016
runningupmoney,b'RT @HorrorAddictX: The Crow | 1994 https://t.co/H0MquBTPWY',Kuwait,1306710245331398656
saalwazzan,b'Every inch of you is perfect from the bottoms to the top',Kuwait,1306710230840086531
eirll9,b'What if I told you that I miss you ? https://t.co/VYsseheHRB',Kuwait,1306710220421443585
amnababyyy,b'RT @10Abhh: you keep a lot to yourself because its hard to find someone who understands',Kuwait,1306710157045444610
franki0214,b'RT @HorrorAddictX: The Conjuring | 2013 https://t.co/Z2kUnEibOd',Kuwait,1306710112082571265
SurgQ8,"b'[2] ?Amidst all the chaos that has taken over the world due to the pandemic, We at TEDxGGDSDCollege have taken this? https://t.co/Q6crJIRfWU'",Kuwait,1306710103693963264
shouq7xii,b'@aliahbjen Happy birthday ?',Kuwait,1306710085775888394
MohdAshraf8016,b'May Allahy have mercy on the person who said good and was rewarded or who remained silent and was safe.',Kuwait,1306710081111830528
lllailipop,b'do u feel guilty after eating anything or are u normal?',Kuwait,1306710079295627270
nouraelhajerii,b'@Deemawj Thank you ?',Kuwait,1306710053265846276
JustOra_,b'RT @AlShamali91: Humans = bunch of morons.. https://t.co/BIxoZ8O7cU',Kuwait,1306710022018265089
ak62x6,b'i?ll never want someone as much as i want u??',Kuwait,1306710014267215873
Fatimahh2_x,b'friends are the family you choose??.',Kuwait,1306710011687698432
nouraelhajerii,b'@SbAlhajre Thank U??',Kuwait,1306710011343667200
BMAlenezi__,b'Views ?? https://t.co/jPWNgGcJ0a',Kuwait,1306710002049089536
Znn00__,b'a quick one? https://t.co/IPoY03cn4X',Kuwait,1306709991953436672
DanahAlKhamees,"b""@JUSTICE_Q8 You'll soon see?""",Kuwait,1306709980100407309
nikkillmyself,b'@booshrx My pleasure',Kuwait,1306709977676099585
97chrstn,"b'On my Club Paradise shit, how I?m feeling'",Kuwait,1306709975750914048
AlhubaidahFarah,b'I guess that missing you is just my heart?s way of reminding me how much I love you!.',Kuwait,1306709937670819841
SHMF_,b'I was supposed to take a ( nap ) but I slept for 7 hrs https://t.co/IcrmAWdHZ3',Kuwait,1306709921241665539
Aawrad_,b'that hurt when u give someone your heart and then they give it back broken.',Kuwait,1306709902212169729
arwasay1,b'Seeing my best friend being just a friend',Kuwait,1306709897145450497
aiishaalmutairi,b'@alyah2x Happy birthday glbe? enjoy your day',Kuwait,1306709895245422599
KWALFC,b'RT @SurgQ8: [1] SurgQ8 is delighted to announce that we are sponsoring the TedxGGDSDCollege2020 talk entitled ?Constructive Chaos? on 25/09?',Kuwait,1306709888345796610
kw_saw,b'Mood ? #????? \n#??????_???_??? https://t.co/SX0TvT2YET',Kuwait,1306709866287857666
MohdAshraf8016,b'The Beauty Of Islam Is That Its Never Too Late To Ask ALLAHA For Forgiveness.',Kuwait,1306709865490939904
0nakedthoughts,b'RT @ghaliyakh1: Curly hair https://t.co/qrJ0AJvyW6',Kuwait,1306709855818973184
reena52x,b'When im with you I feel so safe?',Kuwait,1306709818804236288
SurgQ8,b'[1] SurgQ8 is delighted to announce that we are sponsoring the TedxGGDSDCollege2020 talk entitled ?Constructive Cha? https://t.co/iPDAT5wuLt',Kuwait,1306709818300915712
MohdAshraf8016,"b'The proof is in your actions, when nobody can see you except ALLAHA'",Kuwait,1306709775363854336
Emanalf_,b'Make yourself a priority',Kuwait,1306709756682424322
alretajalbarjas,b'@shaikhalmx_ Happy birthday ??',Kuwait,1306709755319246851
3x_aljemaz,"b""I'm at Kuwait Bowling Club https://t.co/Hc39ygRDfE""",Kuwait,1306709745802379266
albloushii2x,b'Imagin someone sending u a song and telling u this song makes me think of u?',Kuwait,1306709725963264001
iftikhargd,b'@iamashutosh9 @Flipkart your are right',Kuwait,1306709722339381249
MohdAshraf8016,"b'If one gets angry, let him keep silent.'",Kuwait,1306709712650600454
nikkillmyself,b'@hannahlisa__ No problem but please clean ur bag do not bring them from home! ???',Kuwait,1306709693801402368
khaalbader,b'@helajmii love uuu??????????????',Kuwait,1306709675795247104
asmaaalarbeed,b'@Aishaalnajar Happy birthday Aishaa????!',Kuwait,1306709633302761473
smajme_,b'@mhmuwihi Happy birthday ?',Kuwait,1306709625299968007
amenalorifan,b'RT @jennalawadhi: Truly one of the best themes I have ever seen in a museums you start from the beginning to how the future should be and n?',Kuwait,1306709611626586118
LajounAlN,b'@kholoudalmsaeed Kholoudiiiiii????? \nI loveeee you wayed wayed???',Kuwait,1306709605569957890
piano13x,b'RT @h_alawadhy: Tea - piano - whites ? https://t.co/Og3bBKpA1X',Kuwait,1306709603363762181
kody_aldousari,"b'If I start to get distant I promise no hard feelings, I just gotta get my shit together'",Kuwait,1306709600981442563
fsaraf_,"b""I'm different and you know that.""",Kuwait,1306709593960198144
helajmii,b'@Saraeldh Congratulation my pretty ?',Kuwait,1306709537504874496
f_altendail,"b'RT @imahmod: Blue Nude. \nAcrylic, Ink on canvas. https://t.co/WGIswSDPVK'",Kuwait,1306709527157518338
