user,text,country,id
DonnieBarrels,b'@MaximeConan_U @ryanthedean305 @Mohamed59090180 @iamLeGoat @ClappedFranklin @Giannis_An34 center with a lethal jump? https://t.co/QnWuQHajMo',Kyrgyzstan,1307045639323357184
DonnieBarrels,b'@MaioccoNBCS Kinlaw already better than Q',Kyrgyzstan,1307043192047632388
DonnieBarrels,b'@ryanthedean305 @Mohamed59090180 @iamLeGoat @ClappedFranklin @Giannis_An34 bron had to form a super team to get his? https://t.co/uiY00pOzzn',Kyrgyzstan,1307040297420042253
Elmukan,b'@sahlanpast Archive',Kyrgyzstan,1307038768168345600
djanybaev,b'RT @the_apfkr: ? ????????? ?????? ?????? \n@FIFPro \n\n#saynotomatchfixing #fifpro #apfkr #redbutton https://t.co/CIXD1GJeII',Kyrgyzstan,1307032090219884546
djanybaev,b'RT @the_apfkr: Save the game. \n\n@FIFPro \n\n#saynotomatchfixing #redbutton #fifpro #apfkr https://t.co/4fxWTU0UBE',Kyrgyzstan,1307032081604714496
diana_yankee,"b'My blood pressure is high again, damn! https://t.co/qikd4Pd2Uc'",Kyrgyzstan,1307031915443171333
theleonora_,"b""I'm mad at Disney, Disney.\nThey tricked me, tricked me.\nHad me wishing on a shooting star,\nBut now I'm twenty-somet? https://t.co/QXc95xtSFH""",Kyrgyzstan,1307027521649737728
the_apfkr,b'? ????????? ?????? ?????? \n@FIFPro \n\n#saynotomatchfixing #fifpro #apfkr #redbutton https://t.co/CIXD1GJeII',Kyrgyzstan,1307021110534434817
the_apfkr,b'Save the game. \n\n@FIFPro \n\n#saynotomatchfixing #redbutton #fifpro #apfkr https://t.co/4fxWTU0UBE',Kyrgyzstan,1307020394038284288
saqib_z,b'RT @ZabBaig: Before and After Ages ??\n#kkh\n#GilgitBaltistan https://t.co/l1JVnGjHoi',Kyrgyzstan,1307017112318283776
Upid_Msme,"b'RT @IndiaInKyrgyz: As part of #Gandhi150 birth anniversary celebrations, #ICCR &amp; @Upid_Msme are organising a Video Blogging Contest on them?'",Kyrgyzstan,1307010044173651968
