user,text,country,id
Ritvars95LV,b'@F1taxi Yep and dont know why https://t.co/XpoP8UMotp',Latvia,1306688191148236808
Ritvars95LV,b'@F1taxi Gasly',Latvia,1306672755857911808
Ritvars95LV,b'@tonycat83 Hope so',Latvia,1306655719362564098
Tsunami1_,"b'@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 as @Stratago pointed out, translating it? https://t.co/1sliH41CWL'",Latvia,1306654590662856706
Tsunami1_,"b""@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 It's really not. Again, there's so many? https://t.co/4adK4OIDCd""",Latvia,1306654073853276164
Tsunami1_,"b'@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 Indeed. Vengeance is his, what gives you the right to judge?'",Latvia,1306653049058988034
Tsunami1_,b'@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 Not once? What about Matthew 5:38-40?',Latvia,1306651902793445377
Tsunami1_,"b""@firstgaycaveman @Bonvinsky @Stratago @riki_mendes @alandelrio014 @drant13 Don't forget going through 17 translatio? https://t.co/hSaQkK8VFe""",Latvia,1306640817759584257
Ritvars95LV,b'@JustinWalley10 Its the organisation like UEFA i reckon. They have their own rules',Latvia,1306640470001549315
Tsunami1_,b'@Bonvinsky @drant13 @Stratago @riki_mendes @firstgaycaveman @alandelrio014 Name a better duo: Catholicism and anti-semitism.',Latvia,1306639304865861632
Tsunami1_,"b""@drant13 @Stratago @Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 Then I'm sure you'll find this article f? https://t.co/KIyG3p2RhM""",Latvia,1306637756274180097
Tsunami1_,b'@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 Every sentence he has ever said about Mexico and Mexicans.',Latvia,1306637445245657088
Tsunami1_,b'@drant13 @Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 Yet you support people who preach exclusively hate?',Latvia,1306635941344350210
Tsunami1_,b'@drant13 @Stratago @Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 Have you read Revelations?',Latvia,1306635528763314179
Tsunami1_,b'@drant13 @Stratago @Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 Says guy with a MAGA hat avatar.',Latvia,1306634500487688200
Tsunami1_,b'@Bonvinsky @Stratago @riki_mendes @firstgaycaveman @alandelrio014 @drant13 Have you seen the bible? There is litera? https://t.co/lAuWuGZqJx',Latvia,1306630299745423361
Starlight_Tulen,b'Inside : https://t.co/ogWY9oXU6X',Latvia,1306588676227432453
Ritvars95LV,b'@tonycat83 And then Rosenberg get awarded a soft penalty',Latvia,1306572277891334152
KlavsMiezis,"b""@SpencerOwen any second thoughts about Liverpool's position in PL after the latest news? (And I know you did the di? https://t.co/XYUxSQiGSf""",Latvia,1306566680462622720
Emilss1,"b'@tonycat83 5 games played, 3 games postponed. And 2 of the games played needed new refs. Incredible how the league is still going.'",Latvia,1306566107277537281
APodzolovs,"b""Sunny September day. However court issues with needed aims,as the only option: son's custody, prosecutions, enforce? https://t.co/Ex4sgWYCCt""",Latvia,1306517852036493312
Duizhang_Jjigae,b'RT @haroxmuteis: @PissnOnYour_Ego @Sheer__Opulence using gay as an insult to uplift women is not it',Latvia,1306411961870102528
namjuly94,b'RT @haroxmuteis: @PissnOnYour_Ego @Sheer__Opulence using gay as an insult to uplift women is not it',Latvia,1306401929002733573
haroxmuteis,b'@hkkalll_ u too!',Latvia,1306397786007506944
haroxmuteis,b'@hkkalll_ morning !',Latvia,1306393452771307521
cipherEquality,"b'RT @Tsunami1_: @Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 @drant13 And also, none of the ten commandments mention homosexualit?'",Latvia,1306382619312091136
Tsunami1_,"b'@Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 @drant13 And also, none of the ten commandments mention hom? https://t.co/KXTDe5cztW'",Latvia,1306380791614787585
Tsunami1_,"b'@Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 @drant13 And also, with Jesus dying on the cross, the old t? https://t.co/eQqAJ0F8FG'",Latvia,1306377892344090626
Tsunami1_,"b'@Bonvinsky @riki_mendes @firstgaycaveman @alandelrio014 @drant13 The specific sins, sorry.'",Latvia,1306376796145942535
