user,text,country,id
PennjrJr,b'Ready to explore the world!',Lesotho,1306710510184706048
houston_whitey,b'when i move out im gonna get a cat i think',Lesotho,1306710411253821440
eazymulahdave,"b'RT @PennjrJr: If mi don?t protect mi self, who t?f gone do it?'",Lesotho,1306709594471792640
houston_whitey,b'my phone background is so trippy https://t.co/ckGnaIwHBW',Lesotho,1306708916475228160
houston_whitey,b'does anyone like the bee gees',Lesotho,1306707831798804482
houston_whitey,b'every time i get close to someone i get scared and abandon them',Lesotho,1306707592052387841
houston_whitey,b'one of my irl friends is in love and calling her several hours a day and what the fuck do i have.  a scout leadership position',Lesotho,1306707491707924480
houston_whitey,"b""@BotKamen i love you so much please don't go""",Lesotho,1306707054069940224
houston_whitey,"b'why would a spider crawl in my mouth? my underwear aint very tight crawl up my dick, champ'",Lesotho,1306706726671077377
grdnhead,b'RT @houston_whitey: why dont the bts guys start fucking each otherr on stage thatd be better in my honest ass opiojion',Lesotho,1306706294385016833
houston_whitey,b'why dont the bts guys start fucking each otherr on stage thatd be better in my honest ass opiojion',Lesotho,1306706237942386689
PennjrJr,b'Just tryna keep my head above water..',Lesotho,1306705809011744769
PennjrJr,b'@ibeazaa Facts!',Lesotho,1306705229975400449
houston_whitey,b'check my home screen out https://t.co/Bkk11O9gNZ',Lesotho,1306704942091177984
houston_whitey,"b""why do i always feel like i have a headache. not a physical thing it's 24/7 and i hate it""",Lesotho,1306702372924796928
PennjrJr,b'I really need a cut?',Lesotho,1306700029688643586
grootman_pheko,b'@bitismad Haade! Thats sad.',Lesotho,1306693360636383233
MphoTamane,b'@SpheDludla @Mzulu__ @Ilanga Things people do for money yhooow ???',Lesotho,1306689756684791815
MphoTamane,b'@SpheDludla @Mzulu__ @Ilanga The audacity to even become the spokeperson of the family ?????',Lesotho,1306688119861903360
houston_whitey,b'i just gave her all my money she took it and bought herself the arby special',Lesotho,1306676121166061568
tha_jaxnatorr,"b'@marko_reborn @ThabangTshaba @vuyiswamb Yeah,American bullies are a lot friendly,American pitbull terrier is friend? https://t.co/ADbGwcRjB5'",Lesotho,1306675635134386177
mrbigzie,b'@magembi @Cmfundisi @Tshi_Nakanyane Happened at Garankuwa',Lesotho,1306669078690648064
mrbigzie,b'@magembi @Cmfundisi @Tshi_Nakanyane Some come to finish what they started',Lesotho,1306667815324315648
TizzYthaSoN,b'@UkaegbuPrincew2 @yum_yum08 @Nengi_Bb @OfficialOzoBBN @Nobsdaslushhkid @OloriSupergal @BBNaija @TWEETORACLE but I t? https://t.co/ylWWfqHZaV',Lesotho,1306665595979599872
WEREWOLFMAN67,b'RT @houston_whitey: @thongyorke hotdog demon https://t.co/D1Gy8i4AzB',Lesotho,1306655428848353287
Keisha_Plum,"b'RT @Speeder_Razor: @Keisha_Plum Zastron, South Africa.. ?? ??'",Lesotho,1306654617330241536
houston_whitey,b'boobs https://t.co/ZERk2VtJEN',Lesotho,1306654145198411776
houston_whitey,b'@thongyorke hotdog demon https://t.co/D1Gy8i4AzB',Lesotho,1306653054935224321
PennjrJr,"b'If mi don?t protect mi self, who t?f gone do it?'",Lesotho,1306650577716219904
BoityPitso,b'RT @Mohlamatsi1: @TakaTina1 Does @euphonik own that?',Lesotho,1306639423069548544
TheeNolu,b'@947 if I could win the 5k I will take all of it to pay my fees at NMU atleast it would make a difference? https://t.co/A4yg6DDzHX',Lesotho,1306629481340243968
Mohlamatsi1,b'@chartneypuffs Ke external or internal?',Lesotho,1306624188514537473
houston_whitey,"b""can't wait until the internet is over""",Lesotho,1306621208549560327
houston_whitey,b'@thongyorke reform party 2020',Lesotho,1306619513945960449
houston_whitey,b'im a lot like Michael Jacobshagen',Lesotho,1306615577222447109
houston_whitey,b'no way https://t.co/omB0FS9cEg',Lesotho,1306615036425756672
houston_whitey,b'new pup is fire',Lesotho,1306614465878687744
Mohlamatsi1,"b""@News24 @Fin24 I still don't understand how china steals data from dancing people""",Lesotho,1306613800263659521
houston_whitey,"b""ok 3 days but won't have internet. the great whitey disappearance or some shit https://t.co/f4SaEt3FDr""",Lesotho,1306606415339978752
TizzYthaSoN,b'@AkwariCharles @Aurora_lte Magodo phase 1',Lesotho,1306588887121358848
PennjrJr,"b'Growing up I only remembered nights that was post traumatic, so I?m never acting Boujie like I?m supposed to have it??'",Lesotho,1306576127670906880
PennjrJr,b'If you ain?t known for having cash or that bag they going treat you like you nothing!',Lesotho,1306575651445461000
CooksonVern,b'RT @WoodbrookPTO1: Please remember to mention Woodbrook when ordering. ? https://t.co/ismDlqTuVV',Lesotho,1306571958864281601
Speeder_Razor,"b'@Keisha_Plum Zastron, South Africa.. ?? ??'",Lesotho,1306571287293243396
Mohlamatsi1,b'@matela_irene How much on mefium plastics',Lesotho,1306554241092386816
MissHovanecWBE,b'RT @WoodbrookPTO1: Please remember to mention Woodbrook when ordering. ? https://t.co/ismDlqTuVV',Lesotho,1306541584024993793
Mohlamatsi1,b'@AnatiiTylar Full tank of petrol would do just fine',Lesotho,1306540993928466435
