user,text,country,id
leslyisaway,b'@z0mbiesnare let?s go together ?',Liberia,1306710168248385539
promppz,b'i hate being embarrassed:(',Liberia,1306695935074996230
promppz,b'i hate working wtf',Liberia,1306694665526272002
promppz,b'a media hora de mi libertad. TGITHURSDAY.',Liberia,1306692240501280770
BarbiturateCat,"b'RT @reliablespice: had a dream there was a reality tv show that rated your bathroom and the winner got a billboard of them that said ""Who h?'",Liberia,1306675100238798848
reliablespice,"b'had a dream there was a reality tv show that rated your bathroom and the winner got a billboard of them that said ""? https://t.co/UAMvSz0d7K'",Liberia,1306669395029225472
lucassssx1,b'@mlpsxx Mais que amigo closed friends',Liberia,1306668737756528640
reliablespice,b'@sourflwr_ a wee bit!!',Liberia,1306648135540842496
katemarjj,b'@RZebbie Same here twinny!!',Liberia,1306622949957533701
bernardoniniii,"b'Clown ka, gHorl???'",Liberia,1306621695944396801
kimezrabriones,b'ruined.',Liberia,1306609507179528195
nerineann,b'speed lang',Liberia,1306607271204380672
filthyjuann,"b""You'd be wise to get objective about your goals and expectatio... More for Sagittarius https://t.co/cQu0oDBKo4""",Liberia,1306594209734959110
gigiseeella,b'@prncss_jlyn i love you too!!!!! ?',Liberia,1306580660794978309
prncss_jlyn,b'RT @gigiseeella: happy birthday bb @prncss_jlyn!!! ? my pbb buddy!! i miss you! ingat palagi ???',Liberia,1306578368964341761
gigiseeella,b'happy birthday bb @prncss_jlyn!!! ? my pbb buddy!! i miss you! ingat palagi ???',Liberia,1306578188970024961
salabaoannamay,b'anotha leopard print item from momma &lt;333',Liberia,1306574977785708544
garciaroseann_,b'haysss tax loveyou! https://t.co/cTbhYl1AQq',Liberia,1306574634830028800
arvieshayne,b'childhood https://t.co/JHWkuXt4YC',Liberia,1306574178099761164
nerineann,b'@yvnnnglk calcu tutorial with marvs HAHSHA JOKE I LOVE U SIR',Liberia,1306572374263824385
_RoseAngelll,b'RT @_anneabella: igit accountancy',Liberia,1306572008252043264
trc_AssocVPNA,b'RT @eloisaelayda: Hellowzxc. ? https://t.co/d2JmMzkvgc',Liberia,1306571757705293824
eloisaelayda,b'@leiiimalars Thank you po. :&gt;',Liberia,1306536788744310784
