user,text,country,id
sonicx2018,b'@b_a_s_t_19 I can see you https://t.co/ZWcymfRCRA',Libya,1305179024512159744
b_a_s_t_19,"b'The older you get, the more that you appreciate the simple things. It is not about how expensive it is, but more on? https://t.co/PPslL79Akv'",Libya,1305131327725989895
AbdalhadiErtiba,"b""Don't fear taking calculated risks. @ Leptis Magna https://t.co/fylvJsNeTP""",Libya,1304862852797231105
MuhammadAbuhaj2,b'Have a good day https://t.co/U5z3bcmID6',Libya,1304708034879533061
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
Sondos_Radwan_,b'_\n\nOne hundred percent ? https://t.co/KOxjSEcamQ',Libya,1304017035819659265
