user,text,country,id
Kalbatronas,"b""@crayvita @CheckpointCozy Hey at least your good at it, i can't even lie to save myself. https://t.co/hgL43iNRWM""",Lithuania,1306680800981774336
samantadbrlt,"b'@MrSpookyoutube Aww, thanks https://t.co/2ZUP15Z55h'",Lithuania,1306673159916183554
samantadbrlt,b'@MrSpookyoutube I?m not having a great day',Lithuania,1306672530468503558
TroyBarnies7,"b'@timmytckr It will be streamed online, gotta find the link... hoping it?s easy access for people back home ??'",Lithuania,1306649528737685504
MajusK928,b'@RadiaNCSGO Yeah',Lithuania,1306593155651756032
TroyBarnies7,b'1st game of the regular season starts this Sunday for us ????? https://t.co/nhJ7oM9TXA',Lithuania,1306591385508700164
EskriwaQ,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306510312250773505
Kalbatronas,b'Today more witcher means more gwent and..... more monster slaying\n\nhttps://t.co/twHqUsehkE',Lithuania,1306504768131665920
filippiko,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306468223362228230
Kalbatronas,b'@AdmiralBahroo God of War God of War God of War God of War God of War God of War God of War God of War God of War G? https://t.co/PATYhgEAP5',Lithuania,1306334787561553923
elgreatodavid,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306296174815531008
Bidzejus,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306288279084568577
mataityte,b'@MINGYUISTA I was peacefully watching and then saw woozi and I was like. IS HE THAT SMALL??',Lithuania,1306284292729958401
mataityte,b'@wooziworm1703 @soompi What is the name of the song? ?',Lithuania,1306283104315768834
Shio_saltss,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306269678549913602
G0ngasCS,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306269084322070528
TroyBarnies7,b'@kicks4wes @brgridiron @BleacherReport @MiamiDolphins He was nice tho ??',Lithuania,1306267845479759872
hitzin,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306263260371582982
Plus1_Minus1,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306261984417951746
dotqu1ckcs,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306260984688979971
davidkerrigan96,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306258932005036032
burycsgo,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306257796762083332
kyutoo7,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306253990850711552
mayaaallu,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306246372316848128
aliwinchesterrr,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306243800210247681
konpeito89,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306243259140767744
Ph03n1x_ps,b'RT @bymascs: 2:0 VS COMPLEXITY wp!! Played way better on our ct sides today ?',Lithuania,1306242846312345600
