user,text,country,id
LaaluManna,"b'RT @jeeehan: ?Ignorance changes over time. But it is always there, and it remains just as lethal.?'",Maldives,1306708074300809216
bunyaameen,"b'RT @MIRAmaldives: To understand when a particular supply is subject to GST, it is critical to understand the concept of ?time of supply? sp?'",Maldives,1306706081683394560
qaaidh,b'RT @Rumaalu_05: Present government is hopeless! \n\n#IndianMilitaryOut \n#IndiaOut',Maldives,1306705908471218176
jeeehan,"b'?Ignorance changes over time. But it is always there, and it remains just as lethal.?'",Maldives,1306705756532531200
killian_11r,b'@CSI_KFC I love bucky',Maldives,1306705755471523843
killian_11r,b'Eisner\nTf?? https://t.co/dmaOfQSswz',Maldives,1306705627155230721
Plastic_Hero_YT,"b'RT @CHARLIEBOT34: When North Korea does this, we call it ""Brainwashing""'",Maldives,1306704035408277504
legacyofpain,"b'@FoniLunboy Don\'t say ""and stuff"". Just say there\'s whores in it.'",Maldives,1306703334850441216
ppmpolitico,"b'RT @MBahaaru: Indians mistook our silence as a weakness. No, it?s not a weakness. But we are not used to barking like Bharat Karnad, K. C.?'",Maldives,1306702517451980800
MattIsLegal,b'@yasuchu__ light green ig :)',Maldives,1306702189105037312
XefroX,b'RT @Ameenfaisall: lol to all those fake accounts who put extra effort to belittle and defame @AasiKaleyfaan and @Mihaarunews  Keep up the g?',Maldives,1306702049094938624
mfruqan,"b'RT @zariyand: The Office of Anticorruption and Integrity leads the integrity initiatives of ADB through the conduct of investigations, proa?'",Maldives,1306701532356780032
Ismfzn,"b'RT @MBahaaru: India is a natural predator, and with their puppet regime entrenched in Maldives, they consider Maldives to be their current?'",Maldives,1306701298843099136
NanoZe76,b'@DameDollarrr @jamesk_516 meanwhile i just spin out and break my whole car\n\nor end up bumping into my rivals and breaking my front wing',Maldives,1306701267587280897
MattIsLegal,b'@CrackersUlt Congrats!',Maldives,1306701075181793280
MattIsLegal,b'@CrackersUlt Great!',Maldives,1306700887449047040
Ismfzn,"b'RT @MBahaaru: No country in d world will ?give? money to make another country wealthy. There?ll be a vested interest, esp. so in d case of?'",Maldives,1306700646771384320
