user,text,country,id
WaftyCrank,"b""@antpaulbloom I'm laughing out of relief, every bet I've had tonight involved Jeff Smith winning that.""",Mauritania,1307060728302571521
Fly1A27,"b'@burfipista @UmarIsTheBest @thelazygeneral1 to differentiate you from us, thus creating a sect and Allah has forbid? https://t.co/Z9J1CJYL9m'",Mauritania,1307057327292526594
WaftyCrank,"b'@Danny_McMoomins You know what your follwers want, Daniel. You Always have.'",Mauritania,1307055432394067969
WaftyCrank,"b'@Danny_McMoomins Glad to see that although you probably had second thoughts, you decided to press on regardless...'",Mauritania,1307053648019685379
sumayyakh,b'RT @ouldsidi: The funniest picture this week! ?\n#PICTUREOFTHEDAY \n#IsraelUAEDeal https://t.co/yikkQvNpaF',Mauritania,1307052390961549312
Moubarack09,"b'@danger2507 Ok , enjoy it ...\nYou seem dont like to bring your driver with you , good luck , may God bless you'",Mauritania,1307050418443354114
vzidi1,"b'RT @ANgororano: Agreement signed ?with Mauritania?s Minister of Employment, Youth &amp; Sports Hon. @TalebSidAhmedMr to support ???s 1st full f?'",Mauritania,1307049980042063873
WaftyCrank,"b'@vocnorth Ah, so sorry D.'",Mauritania,1307043262415470593
Moubarack09,"b'@melanie_korach Waw you look so beautiful even with mask , and you seem have a good hand writing , yes the lesson is very inderstood !!'",Mauritania,1307042305879273472
Fly1A27,"b'@burfipista ohh you said Ya Allah, no way first time a shia has said Ya Allah ? this is new what new sect is this ??'",Mauritania,1307040227400220672
Fly1A27,b'@burfipista @UmarIsTheBest ur avi is showing awrah so fix up',Mauritania,1307037481108463617
Fly1A27,b'@aqsikk @_Mehrr_ and to humiliate and destroy their oppressors completely Ameen',Mauritania,1307035534527803398
mabinguengom1,b'RT @unfpamauritania: UN??support to implement Mauritania National #Volunteer Program??: Watanouna\n\nMinister of Youth @TalebSidAhmedMr - @un?',Mauritania,1307029567702552576
Fly1A27,b'@sakinaz_110 clear cut Shirk. https://t.co/LTWFIOfnUg',Mauritania,1307014986938617856
etfaghaoubeid,b'Amazon shouldn?t have hired me. Here?s how I became an SDE2. by Curtis Einsmann https://t.co/g8qNHW7caH',Mauritania,1307007034831798277
pixeIogy,b'damn https://t.co/vmUx9GLVyg',Mauritania,1306999029625167878
oumcam,b'No comment\nNo justice. always peace? https://t.co/0xZFome0zL',Mauritania,1306985276951199746
Malik71367177,b'RT @ouldsidi: The funniest picture this week! ?\n#PICTUREOFTHEDAY \n#IsraelUAEDeal https://t.co/yikkQvNpaF',Mauritania,1306977301003935745
LeHard3ur,b'@MrBocar @fafawdu Hahaha why not',Mauritania,1306972950244085761
Moubarack09,b'@rosajeruszka Be careful ! I may be hiden there',Mauritania,1306969617168887808
Moubarack09,"b'@MorgaKate You know , i liked your voice more than the music , i want you to be my English teacher , will you ?'",Mauritania,1306968943219924992
Moubarack09,"b""@SexEverly Just call me 4 help , i'll fix all your disarrays !""",Mauritania,1306967855007764483
Moubarack09,b'@Jessica65840751 Call me i will bring you house',Mauritania,1306966195577511938
hazou23,b'@MesutOzil1088 Man you?ve been missed ! @realmadriden',Mauritania,1306965616092381185
Moubarack09,b'@LoisAnita Me \nLocation please',Mauritania,1306965604746907664
AriLaami,b'Vision 360 comme Neiji ? https://t.co/d5j0dZFMSq',Mauritania,1306960249463754757
Moubarack09,b'@AzezJenny Alright',Mauritania,1306943005098680320
WaftyCrank,"b'@Examiner ?Strict lockdown rules?\n\nTurn it in, liars.'",Mauritania,1306922301422735360
WaftyCrank,"b'@PPOffers 11 corners, 16th minute. #PaddyPPileup'",Mauritania,1306918236659879936
kar19642,b'RT @MariemBrahim: @kar19642 Allahoume amiine. Thanks for the wishes and prayers',Mauritania,1306917023595802625
MariemBrahim,b'@kar19642 Allahoume amiine. Thanks for the wishes and prayers',Mauritania,1306915239942852610
hamady_mody,b'annii arda association.',Mauritania,1306902809418309632
hamady_mody,b'nxoro keya noxo.',Mauritania,1306897910156726272
TalebSidAhmedMr,"b'RT @ANgororano: Agreement signed ?with Mauritania?s Minister of Employment, Youth &amp; Sports Hon. @TalebSidAhmedMr to support ???s 1st full f?'",Mauritania,1306893810094530564
Abkane17,"b'RT @ANgororano: Discussed the flood response in the south of?? with the Gov. of Trarza, the Mayor of Rosso &amp; the Min. of Empl, Youth &amp; Spor?'",Mauritania,1306875623005184003
usembnouakchott,"b""#FBF to this photo taken from Ambassador Dodman's visit to the city of Ouadane! #USAMauritania https://t.co/HBI7hyaWOT""",Mauritania,1306865640846823426
DeydiNane,b'@RadwaElSherbiny Shine bright like a diamond ?',Mauritania,1306833383276900353
hilalmysoul,b'RT @ouldsidi: The funniest picture this week! ?\n#PICTUREOFTHEDAY \n#IsraelUAEDeal https://t.co/yikkQvNpaF',Mauritania,1306758131695988736
MohamedAbchir,"b'RT @ANgororano: Discussed the flood response in the south of?? with the Gov. of Trarza, the Mayor of Rosso &amp; the Min. of Empl, Youth &amp; Spor?'",Mauritania,1306746828566810624
