user,text,country,id
jilljennings18,"b'@darrenhunter2 Someone one else scared to speak out  in case they offend our coloured friends, at least alesha dixo? https://t.co/jhjHrtbtDY'",Mauritius,1306711154732011521
punkscavenger,"b""@ARTPOPBARBIE Now that's a real KING #911iscoming""",Mauritius,1306710982350131200
SpiritofLenin,b'@HasBezosDecided Just pure unadulterated orientalism in its most distilled form that people claim Iraq and the Midd? https://t.co/ryTo3sfX1G',Mauritius,1306710866579140609
FreshMecha,"b""@Oh_Owain She's the worst actor I've ever seen. One facial expression.""",Mauritius,1306710778108678147
SirMickZw,"b'RT @Luke_Snow69: To all the tweeps in my contact list..please stop posting your tweets on your statuses, hazvina kumbosiyana nebonyora.'",Mauritius,1306710655433613313
aliyu_akarim2,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306710529696825344
FreshMecha,b'The Tories are leftists. https://t.co/TJL6cUwMFx',Mauritius,1306710500600885248
OmrahZ,b'RT @msxcoco: I will pass my theory and practical then get a car',Mauritius,1306710421353779200
SpiritofLenin,b'@HasBezosDecided Its ahistorical nonsense to claim that this ongoing violence and repression exercised by the US  s? https://t.co/ngzGYMi7Cl',Mauritius,1306710380853497858
RookieBotCP,b'I love the box dimension!',Mauritius,1306710331528376320
FreshMecha,"b""I finally got through to the booking people after 6 hours of calls. \nThey said I don't need a dentist. They were co? https://t.co/feA9exrs7b""",Mauritius,1306710306815705088
DAccampoFamily,"b""RT @FreshMecha: It's coming here. https://t.co/eo9gE4vcqE""",Mauritius,1306710273001164800
MarianneVoix,b'RT @groupieamore: Adele: Lana how did you come up with Body Electric\nLana:  https://t.co/gWBFQnwNAJ',Mauritius,1306709919010304003
Mac_gh97,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306709767012978692
SpiritofLenin,"b'@HasBezosDecided Which is why it really pissed me off that people were saying ""this is not Iraq"" in response to the? https://t.co/LKI3capNHa'",Mauritius,1306709594861957122
FreshMecha,b'Good! https://t.co/l0kCgbpxCj',Mauritius,1306709546929475588
Quametinny,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306709505833603078
bennytothedj,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306709498686513152
MeduaIV,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306709464276443137
punkscavenger,"b""Deleting the tweet in a minute, if you haven't already Tweeted #911iscoming  DO IT NOW, &amp; DM the proof. Thank you https://t.co/LaVAMmtZob""",Mauritius,1306709417497251840
punkscavenger,b'@ExhilieEra Rules are rules F@g',Mauritius,1306709155659489281
lewiisjefferies,"b'#BritainsGotTalent: Black Lives Matter.\n\nOfcom: Black Lives Matter.\n\nThe 25,000 people who complained to Ofcom abou? https://t.co/B8kzzmcEeH'",Mauritius,1306709127121580032
almario_delos,b'RT @punkscavenger: TWEET #911iscoming &amp; SCREEN SHOT YOURSELF LISTENING TO 911 BY LADY GAGA To Get FREE STARBUCKS DRINK UNDER 4.99$\n\nSPREAD?',Mauritius,1306709035740143616
Dayo_AFC,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306708980140572673
Basary27,"b""RT @SemperFiArsenal: Arsene Wenger's a baller. https://t.co/xPBZBSh1px""",Mauritius,1306708871487127552
BourtonHelen,b'RT @creatorcathy1: We are so proud and excited to be working in partnership with @BourtonHelen @ConnectEdPship @MerridaleReads @Create_Dev?',Mauritius,1306708808828424195
ConnorJamesLun1,b'RT @SpiritofLenin: @HasBezosDecided The US have always possessed fascistic characteristics there is a reason why the Nazis sought to emulat?',Mauritius,1306708802805395457
