user,text,country,id
thogdad,b'@MattieBWFC @BertMatthews8 Stalkers will be stalkers lol',Montenegro,1306714885783465985
itsZamira,b'@KiroGirl95 @_lorrr_ Different from all ?',Montenegro,1306714787305451520
SDendic,b'@CFCpeejay @Thfc_gerald @goal Bigger than your too',Montenegro,1306714395779760129
djuretic_t,b'RT @tvitujem1: you can leave niksic but niksic never truly leaves you',Montenegro,1306714141994831872
JainaRoleModel,"b""That halligan behind Sullivan's neck, okaay Andy ?? https://t.co/zkcTmkcpYa""",Montenegro,1306713485368328194
lavsvihlavova,b'RT @tvitujem1: you can leave niksic but niksic never truly leaves you',Montenegro,1306713029070008327
CedoPg,b'@tiborprekrasni True',Montenegro,1306711833324158976
radoleks,b'it?s over for yall https://t.co/Alaen49UoJ',Montenegro,1306711826697269250
majcina_scer,b'Cher ?? https://t.co/0Tb8OdylDl',Montenegro,1306710333847994370
anikaaab,b'just gonna stand there and watch me burn',Montenegro,1306710176477708289
raaadulovic,b'@milica21779161 Ludim',Montenegro,1306709453824290816
KiroGirl95,b'RT @itsZamira: Wish list  :\n -  Peace of mind',Montenegro,1306709115251691521
itsZamira,b'Wish list  :\n -  Peace of mind',Montenegro,1306708330572853250
IgorMilic7,b'@endzi029 photoshop!',Montenegro,1306707914363723776
LTrippyboy,b'@kalc1jum twenty one pilots - screen',Montenegro,1306707477174591488
zzvizna,b'the best of lana del rey sati',Montenegro,1306706000158785538
LTrippyboy,b'@_mdj__ evo ti\nrage against the machine - know your enemie',Montenegro,1306705487233249280
kosarkas15,b'@hoopshype Danny green?',Montenegro,1306704914547175426
begovich0,b'RT @tvitujem1: you can leave niksic but niksic never truly leaves you',Montenegro,1306704429400424450
alexyyyyys,b'oh honey',Montenegro,1306702878271307776
gentgashi4,"b""RT @itsZamira: '' Words are the new guns.  ''""",Montenegro,1306702744389025794
tiborprekrasni,"b""She want neo-soul, this hip-hop is old\nShe don't want no rock-n-roll\nShe want platinum or ice or gold\nShe want a wh? https://t.co/CELtvNBmzx""",Montenegro,1306702497671786504
GjonniG,b'RT @DedGjo: It?ll always rub me wrong how the dances performed under communism were so much more orchestrated and expressive than anything?',Montenegro,1306701778516402176
LTrippyboy,b'ukrao',Montenegro,1306701672610226176
SlavicVarg,b'I to da se proba ? https://t.co/Ck7VlJyO81',Montenegro,1306701235031023623
LuiselcabesaX,b'RT @Tauron_E5150: Check out my impostor ?',Montenegro,1306701205905833987
Tauron_E5150,b'Check out my impostor ? https://t.co/rm3ZG43nNb',Montenegro,1306700924442865665
LTrippyboy,b'doomer wave sati',Montenegro,1306700859854721024
DedGjo,b'No matter what cultural concert I attend I see the same ideas recycled over and over again with little to no effort? https://t.co/hoxoVwvV1p',Montenegro,1306700818847072257
Fangirl_7_1,b'2020 just keeps on giving https://t.co/99Huytagaq',Montenegro,1306700417783476224
nopappa,b'RT @tvitujem1: you can leave niksic but niksic never truly leaves you',Montenegro,1306700390289813505
mladi_metro,b'Me in the sheets            Me in the streets https://t.co/33R7Zm3bS0',Montenegro,1306699969190076427
DedGjo,b'It?ll always rub me wrong how the dances performed under communism were so much more orchestrated and expressive th? https://t.co/j0lw4lBWHx',Montenegro,1306699740776747010
Ivaskinator_,b'@d0ticna Pope &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;',Montenegro,1306699595699884032
JainaRoleModel,b'I REALLY HOPE THIS IS NOT WHAT @KristaVernoff HAS IN MIND!! https://t.co/frRA7scg2e',Montenegro,1306699534769283072
JainaRoleModel,b'@surreraspooshh In a relationship with Station 19 ??',Montenegro,1306699234687754241
mladi_metro,b'Mastodon - March of the Fire Ants\nhttps://t.co/CQN2EY5hJp',Montenegro,1306698349148540929
nesveti_sisoje,b'@presnijet all i see is https://t.co/imybQlE4UU',Montenegro,1306696611788136448
nijedobrooo,"b""definitivno sam previse skratio kosu but i don't give fuck""",Montenegro,1306694018944978947
kdvcm,"b'Can Candace Parker, Diana Taurasi survive and advance? https://t.co/XOvH3Gg449 https://t.co/GymDHKnlkW'",Montenegro,1306693925311143936
ljubofil,b'After the last night?s interview with Dritan Abazovi? and the hate campaign in whitch even some civil society activ? https://t.co/JnLDQT1Bco',Montenegro,1306692924076445696
anicredep,b'just kidding i can?t ??? pls come back https://t.co/lChAY6IJDP',Montenegro,1306692260856311811
mmmatryoshka,b'@Kompletna iMbox ???',Montenegro,1306691938796568576
ArlingtonBeech5,b'@RNevofficial @DionDublinsDube Yes well I?d be feeling a lot more at ease! Should be a cracker. You doing anything? https://t.co/V3SZxeDd5s',Montenegro,1306691388336156673
DejanMilovac,b'It was a very good night 4 education. https://t.co/tUaYumeA2F',Montenegro,1306691307709005824
anicredep,b'he spelled peshko wrong https://t.co/QhUjQNEr7R',Montenegro,1306690041750659080
tiborprekrasni,b'Conspiracy shirt https://t.co/rJHuYB9Zev',Montenegro,1306689443483602945
KMaddocksUK,b'Join us! https://t.co/KBhGdbvsyu',Montenegro,1306688436930326531
ArlingtonBeech5,b'Remember this like it was yesterday! Never thought he?d be presenting homes under the hammer 25 years later ha ha.? https://t.co/Ys0QzgBCmp',Montenegro,1306686605470699520
StateSecretary3,b'RT @VanjaKljajevic: @EBRD #StarVenture is currently receiving applications in the #WesternBalkans. If you are an early-stage #startup with?',Montenegro,1306686314666958848
VanjaKljajevic,b'@EBRD #StarVenture is currently receiving applications in the #WesternBalkans. If you are an early-stage #startup w? https://t.co/XT6CprMLn0',Montenegro,1306686137897975810
dramskamakarona,b'@vakumiranasolja Goal',Montenegro,1306685298500345857
tiborprekrasni,b'Stargazing https://t.co/XhY3oo4G2N',Montenegro,1306685085824036865
zzvizna,b'native*',Montenegro,1306684977514455046
neznamdjebijem,b'opet https://t.co/4jMOA0qREq',Montenegro,1306684633925464070
Suncica33,b'Strike a balance between taking the lead and heeding the advic... More for Aries https://t.co/88KNHKKwdo',Montenegro,1306684388118159360
inadrj,b'@lina_lxu Is that youuu????',Montenegro,1306683672960139264
oliveracejovic,"b'Prone to arrogance, self-love, cruelty and above all a superficial view of life and what constitutes its essence, m? https://t.co/E5q6UVcWf1'",Montenegro,1306683555129569280
Dorotino,"b'@JamroMZ ? Okay, sounds good'",Montenegro,1306682916710363136
thogdad,b'13.51 hours - sign contract with Spurs. 13.52 hours - on the local golf course. https://t.co/aKJauBuD2Y',Montenegro,1306682885534109699
maliprinc062,b'RT @kozica16: stupid autocorrect ?',Montenegro,1306682574341844999
JainaRoleModel,b'56 DAYS TILL SURRERA IS BACK 56 DAYS TILL SURRERA IS BACK 56 DAYS TILL SURRERA IS BACK 56 DAYS TILL SURRERA IS BACK? https://t.co/xo9HVj2kwE',Montenegro,1306682492582342657
kozica16,b'stupid autocorrect ?',Montenegro,1306682480771190788
bibleblacko,"b'RT @kozica16: ""and damaged people understand that every evil demon that exists down there was once a kind angel before it fell""'",Montenegro,1306682403860160512
kozica16,"b'""and damaged people understand that every evil demon that exists down there was once a kind angel before it fell""'",Montenegro,1306682355252420608
JainaRoleModel,b'@beatricespinett Aww thank youu twin ??',Montenegro,1306681512419614720
DrjElsa,b'@Anj3sa Happy birthday yll ????',Montenegro,1306680521863376896
SnakyPro,b'Wolves yedi.\n\nBeter ol Wolves!',Montenegro,1306680423532171265
GjonniG,b'RT @DedGjo: I propose Malesor diaspora put funds together to create a Trump-esque wall situated between tuz and poddersville and we man it?',Montenegro,1306679480086339584
DedGjo,b'Worst case scenario we have goats placed in front of the wall with lamps hung over their horns to impersonate soldi? https://t.co/UVmtCHZHWP',Montenegro,1306679203228798976
Tauron_E5150,b'@EazyCR @CrafterKane Nope',Montenegro,1306677041056698368
ljubofil,"b'What an interesting turn of events. Now, the SDP wants to take part  in the new government. Bosniak Party and Alban? https://t.co/k8cm5Mq9n6'",Montenegro,1306675867146498050
ervldd,b'@jollebezos edhe postojn video edits t bts',Montenegro,1306675046992228358
DedGjo,b'I propose Malesor diaspora put funds together to create a Trump-esque wall situated between tuz and poddersville an? https://t.co/5eENFVSwpm',Montenegro,1306674743500771329
DejanMilovac,"b'One time only.\n?? Special edition??\nIf I were Vanja, but with executive powers https://t.co/TselycGbiW'",Montenegro,1306674721208107010
JainaRoleModel,"b""@stationsgreys It's strong possibility that their story is going to be like in Grey's - Mark Callie Arizona. Hopefu? https://t.co/3bFBahiYgb""",Montenegro,1306673332033671169
DanMacroland,b'@ContrarianShort Is he going to pump his flu vaccine?',Montenegro,1306672356837003264
JainaRoleModel,b'@surreraspooshh @D_SAVRE Me tooo!!',Montenegro,1306672010077110274
janjusevickaa,b'@jelenasavojska Mozee!!',Montenegro,1306671709299277826
DanMacroland,b'@JaMo7276 @RCMPAlberta Why is $TSLA autopilot allowed to exceed the speed limit in the first place?\n\n@Transport_gc',Montenegro,1306671708661846020
sisaajzvezdo,b'@juego_con_fuego okice?',Montenegro,1306671392344150016
hyseni_arlind,"b'We live in a country where: if you accept corruption, if you remain silent when someone gets raped,killed or abused? https://t.co/jjSNI9JYNO'",Montenegro,1306671309695451136
lazynesssince95,b'@Kleeeaaa_ Mduket shum suspicious ?',Montenegro,1306670096249761794
pickamarena,b'@mjeseczut @Bojanicaaa2 Call me?',Montenegro,1306668846636503041
ohhstopit,b'RT @Ratlokum: @ohhstopit I summon the great white https://t.co/JzYpdalSre',Montenegro,1306668279910543360
Ratlokum,b'@ohhstopit I summon the great white https://t.co/JzYpdalSre',Montenegro,1306668134884093952
DanMacroland,b'@amandabella @ScottTerrioHMA Call them and say what exactly?',Montenegro,1306667352944246785
DanMacroland,b'Inside being this clueless about working parents https://t.co/lFWTm2WiV0',Montenegro,1306666996097003521
Milorad_Krusica,b'Nights.\nOn drugs. https://t.co/8EyLRpmZvQ',Montenegro,1306666349553385474
GentianaGjelaj,"b""RT @itsZamira: '' I think it's very healthy to spend time alone. You need to know how to be  alone and not to be defined by another person.?""",Montenegro,1306665191384526848
medinasmfh,"b""RT @itsZamira: '' I think it's very healthy to spend time alone. You need to know how to be  alone and not to be defined by another person.?""",Montenegro,1306665076619870209
cetvorotockas_,b'@dragiceviccv @tejstless sry not sry',Montenegro,1306663725114548234
nataleeeep,b'@nilnisi_ I just found your account and I love your art! &lt;3 https://t.co/HKCnE1Xnt4',Montenegro,1306663534995140609
nenaspavanost,b'@justicijaa Plac',Montenegro,1306663176554065921
itsZamira,"b""@yamansharma22 where it's coffee ?""",Montenegro,1306662496900710400
ColucciLc,"b""RT @itsZamira: ?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306661976601432064
ColucciLc,"b""RT @itsZamira: ?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306661976601432064
DanMacroland,b'@Fxhedgers So then raise rates and stop buying bonds',Montenegro,1306661435766902785
ninateresa22,"b""RT @itsZamira: ?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306661083629989893
DanMacroland,b'@BenRabidoux Winter is going to be fun',Montenegro,1306661011173367809
mladi_metro,b'T pose on them hoes https://t.co/NvQglx4CZ7',Montenegro,1306660891052716032
itsZamira,"b""@yamansharma22 cause it's down""",Montenegro,1306660743589376000
itsZamira,b'@adiileshabanii down down',Montenegro,1306660048119181316
andrijadota123,b'@TobiKadachi5 @GrimnoGhost @xMBGx @AngryJoeShow He said he finished bloodborne on last stream.',Montenegro,1306659957757169675
itsZamira,b'@sunehagoel Also hereee',Montenegro,1306659834901729281
busstationblues,b'my precious? https://t.co/v9hNbkCYqa',Montenegro,1306659757881790477
andrijadota123,b'@FineFictMen @AngryJoeShow Demon Souls was corrected later its ps5 exclusive',Montenegro,1306659534400782340
_krsh_,b'RT @vukkk2: my momma dont like u and she likes everyone',Montenegro,1306658941292642318
icalldibs_,"b""RT @itsZamira: ?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306658551084068867
zzvizna,b'Childish Gambino - Feels Like Summer https://t.co/HgziZ0IbrW via @YouTube',Montenegro,1306658374243811328
Ksendzooo,b'ista sammm https://t.co/C3VwiTYTpe',Montenegro,1306657621844332546
JainaRoleModel,b'@SeriesaddictF That would be definitely too much!!',Montenegro,1306657555092045825
monaa_du1,"b'Feeling cute,might delete later https://t.co/HNX0d7p56f'",Montenegro,1306657361885564928
itsZamira,b'@ddazaicore depressed baby ?',Montenegro,1306657101654233095
DavorZlaticanin,b'@_GaryWilliam_ I?m disappointed he?s even talk about that shit!',Montenegro,1306656828789534722
KiroGirl95,"b""RT @itsZamira: ?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306655325005787137
itsZamira,b'@bizelja1 I loved you but I playing CSGO ?',Montenegro,1306655160391864324
kozica16,b'@Vucerakovic_I love that song',Montenegro,1306655101969412099
itsZamira,"b""?Sunset is the opening music of the night.'' https://t.co/udjMXcYPVq""",Montenegro,1306654682299928578
sarenicc,b'RT @tvitujem1: you can leave niksic but niksic never truly leaves you',Montenegro,1306654382306533382
shaaolinshow,b'@atommeradi Wow this waaas hard',Montenegro,1306654111736246280
uper_side,b'????? brat !! https://t.co/ozsqYfCTRk',Montenegro,1306653955695546376
efaulkersn,b'lovin the new update rrrrr',Montenegro,1306653685972267009
kosarkas15,b'@letssharefacts @bosnianserb2 I honestly feel like im wasting my time with u sir. No need to continue.',Montenegro,1306653656977149956
ljubofil,b'Great piece by @imilanjovanovic and @ivanastradner for @ForeignPolicy https://t.co/ZGa0wcqNJp',Montenegro,1306652525425295366
KiroGirl95,"b""RT @itsZamira: '' Words are the new guns.  ''""",Montenegro,1306651189518446592
itsZamira,"b""'' Words are the new guns.  ''""",Montenegro,1306650977257259009
DanMacroland,b'@ScottTerrioHMA Weird. I thought only servers and flight attendants would be losing jobs.',Montenegro,1306649881042464768
gvidoobradovic,b'I AM THEY - Glorious Day: Song Session https://t.co/ay0d5x5eUY via @YouTube',Montenegro,1306649724288667649
kosarkas15,b'@PPeregrinus I simply asked him why Macedonians are not pro serbia instead pro albanian. Even tho albanians are a c? https://t.co/XyRbhBiCV5',Montenegro,1306647373519695876
JainaRoleModel,b'@jainalortizteam @JainaLeeOrtiz Always a badass!',Montenegro,1306647222768095233
Ivaskinator_,"b'@nevelimnista Spit in my mouth, look in my eyes https://t.co/5y3iq79u0Y'",Montenegro,1306647212060020738
