user,text,country,id
callumschicken,"b""@parkit_parker I'm from Morocco so GMT+1""",Morocco,1306712859355873280
simo_simosama,b'Paradise place ! japan \nPhoto by\nDavid Picarda https://t.co/Q9Frq8ew6u',Morocco,1306712032679518215
simo_simosama,b'Someone needs to edit this for the jaws dvd cover ? https://t.co/W30v9s75fj',Morocco,1306711702164172800
Omarchaan,b'@knizzzz hada ana mni I still wanna talk mais t9adat lia lhdra',Morocco,1306709161959469064
TAKARIsante,b'@lconstateur awesome?',Morocco,1306708844542918656
ChristinaMaroc,"b""@jamesrbuk Genuinely confused.  If Track and trace now calls you and says you've been in contact with someone who i? https://t.co/0WIfGXtSVh""",Morocco,1306707290473598977
Mcshitty15,b'@nisrineb17 Just lie about it hhhh u can say anything literally they dont even take a look they don?t care aslan hhhh',Morocco,1306706438568501248
ChristinaMaroc,"b'@MrKenShabby and how we thought it was a comedy, not a training manual.....'",Morocco,1306703676531236864
Faycal_Abidate,"b'Just posted a photo @ Agadir, Morocco https://t.co/lZOxntUOHS'",Morocco,1306701775274217472
mimouni916,b'@sadaalmalaeb Henry and Zidane',Morocco,1306701448911220737
callumschicken,b'@4mulafenestraz YES yes yes',Morocco,1306700869405233157
Aksel86,"b""It's #JoeShow time \nhttps://t.co/u9fQAG36AN https://t.co/ICgpswG8pP""",Morocco,1306700062031073280
kafleader,b'She or nobody',Morocco,1306699350727364608
callumschicken,b'@chris1701D Vettel and norris\nWOAH i love it',Morocco,1306699288509132800
ChristinaMaroc,b'@lauferlaw I hope ypu are right',Morocco,1306695841500082177
HKhmaissi,b'@mwk360 Let?s hope so ?',Morocco,1306691735817515013
HKhmaissi,b'@mwk360 It would be cool wouldn?t it?',Morocco,1306690402511204352
simo_simosama,b'@sayaka_Execute Gorgeous eyes!',Morocco,1306688665503047690
ChristinaMaroc,b'@YvetteCooperMP I wonder what the scientists think of it....',Morocco,1306686071896449024
kaderianos,b'@wizard_fu Android Devices??',Morocco,1306676755734966277
HafidZiri2,"b""Be patient.\nYou're about to overcome something you've been dealing with. Your mind and heart will soon be at peace? https://t.co/BukChdOKw0""",Morocco,1306672994866036736
callumschicken,b'@softpierre Totally',Morocco,1306670345013915650
callumschicken,"b""@oncevivien They're not talking abt the same thing""",Morocco,1306669951911178242
callumschicken,"b""@sateIliteluke It's working for me""",Morocco,1306666319169847297
callumschicken,"b""@ALB0NS Dw he doesn't hate u that much""",Morocco,1306665009968287747
callumschicken,b'?100 followers ? https://t.co/dvcfxri3zZ',Morocco,1306656074322378759
callumschicken,b'@SimpinLandosP3 The music is kinda good but the lyrics is just bad',Morocco,1306654479673184258
NourOumousse,"b'Luck!\n\nIt will likely play a major role in every area of your life, but it?s better for you to not believe that.\n\nL? https://t.co/NVOBNWJxEg'",Morocco,1306653449078149120
callumschicken,b'@curlingemoji I had that in my android ages ago ?',Morocco,1306650428046794755
callumschicken,"b""@F1hive26 You lost my respect ? where's callum?!""",Morocco,1306650052853673986
AbrLatifa,b'@Serdarmlf @chouqi_  gooooo omg',Morocco,1306645842317713408
callumschicken,b'@cazzoemerda * Cries in ilotty *',Morocco,1306642615098540032
ChristinaMaroc,b'anyone else who spends half of #Pointless wondering why a contestant is sitting down?',Morocco,1306636933880254464
Elpeakys,b'@Riley_LUFC Hahah that?s pure shit',Morocco,1306634969020870662
Elpeakys,"b'@sketchyshaman @Jessejames7280 @Wezy_Admrl @sketchyshaman you don?t know what you talking about, do you?'",Morocco,1306634730272698370
NoorNou62774222,"b'RT @LeilaELMouloua: We really need BigBang back in the industry, its getting so tasteless and repetitive! @YG_GlobalVIP\n@ygent_official\n#bi?'",Morocco,1306633442810097664
Hafid70226269,b'Who is your Captain ?? this GW2 ?\n#FPL #GW2',Morocco,1306631790090649602
ChristinaMaroc,b'@adavies4 is the website set up to divert people miles and miles from their homes to deter them from taking the test?',Morocco,1306625522659741697
DarSiHmad,"b'If you are a high school student from the region of Souss Massa or the province of Sidi Ifni, and are interested in? https://t.co/mK7sYI6ANP'",Morocco,1306623952597336065
LeilaELMouloua,"b'We really need BigBang back in the industry, its getting so tasteless and repetitive! @YG_GlobalVIP\n@ygent_official? https://t.co/eqmWoNVpaP'",Morocco,1306623791892660232
Hafid70226269,"b""My team for GW2.\nWithout any transfer and I'll keep it until GW3.\n#FPL #GW2 https://t.co/hWRTDD7kDo""",Morocco,1306622055358570497
Omarchaan,b'@Culest10 we need it ?',Morocco,1306619396262105093
callumschicken,b'@liamm_f1 What about now?! :)',Morocco,1306608248750043136
jihoons_legs111,b'guys pls like and retweet this ??\nhttps://t.co/7qZO6U2kyf',Morocco,1306603644083724293
yokunchvha,b'Sometimes We have a skills that we don?t need',Morocco,1306603602371321858
callumschicken,b'@OveratedLama Cause Charles was just joking in this',Morocco,1306603166922878977
NourOumousse,b'And in every other creative career! https://t.co/QNfLQ67tWB',Morocco,1306602412250206208
rvniiv,b'back up on my bullshit ?',Morocco,1306596589314519040
LeahWallacee,b'@MartinSLewis @Schofe But also strawberry',Morocco,1306593302435643392
LeahWallacee,"b""@EmmandJDeSouza Oh my gosh. Talk about bullshitting. The answer you're trying to say is no I haven't. Fucking helll? https://t.co/SOnFfgc1Ax""",Morocco,1306593070054424581
callumschicken,b'@meverstappen SHUT IT MAN \n* to a chicken*',Morocco,1306591831711346688
callumschicken,b'@f1millie Wear it',Morocco,1306589700698681350
callumschicken,b'@ALB0NS Totally',Morocco,1306589583467925510
argancountry,b'Discount code : argancountry10 https://t.co/E0hNVQuNuu',Morocco,1306586834542231552
