user,text,country,id
ShingaMushandi,b'RT @maDube_: Big up to all MDC-A councillors and MPs who are being recalled by Mai Khupe. They are being punished for refusing to serve mai?',Mozambique,1306714590672310272
mmaringireni,b'@Queen_balad I have a ask\n\nIs it now a curtain raiser. Taakutodashurana muno isati yauya #Nigeria yacho\nZimvsNigeria',Mozambique,1306710497656438785
Luka_Brasi100,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306709396907532291
Zack007i,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306708185936523264
tino_wade,b'@ZimBadGyal Your face has done that already please...',Mozambique,1306708070421139457
SibbsMbonisi,"b""RT @ManicaPostZim: In our lead story in tomorrow's paper, cotton farmers in Chipinge express their displeasure over being paid for their co?""",Mozambique,1306706209173536770
Ngi_Muhle,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306705682083860482
TrapHondothesix,b'RT @bossmassy: I?m sure we all  have people who will only talk to you when they need something from you?',Mozambique,1306705362095992834
Mark_Am0s,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306705307557658624
flor_phlor,b'RT @bossmassy: I?m sure we all  have people who will only talk to you when they need something from you?',Mozambique,1306705044008587264
TlotloMonaisa,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306704631800696838
howeverprobable,b'RT @takudzwanxshe: Your boyfriend trusts Fabrizio Romano more than you.',Mozambique,1306703405419765771
ishesithole,b'RT @4LoveOfZim: @ishesithole @Mathuthu ThokoZanu seen here doing the maths but the answer keeps telling her =It cant?\n\nThis is a domestic i?',Mozambique,1306702779201843203
SimbarasheGumb8,"b'@AnitaJaxson @zimcelebs @leekay_producer Unstoppable ..keep on pushin queen ,makin Zimbos proud eyy !'",Mozambique,1306702474095611906
MichaelMuteked1,b'RT @maDube_: @munyati01 @ProfJNMoyo @Davidmuchuchu @MdluliNtate @MichaelMuteked1 @hamburamukaka @KnowlMoyo @kyrantitterton @Mavhure @vitali?',Mozambique,1306702195069513728
BruceChakatsva,"b""RT @maDube_: I was once attacked by my fellow CCC after I attacked the G40.\n\nNow it's clear. https://t.co/1oOik5WE7v""",Mozambique,1306701200528756737
AlistaBrown,b'@moo_venda U see what zimbabwe  has done to your people ..Its Zanu PF',Mozambique,1306700655340421121
MutareEntertai4,"b""RT @ManicaPostZim: In our lead story in tomorrow's paper, cotton farmers in Chipinge express their displeasure over being paid for their co?""",Mozambique,1306700353962999812
