user,text,country,id
nisalatp,"b'A hero, in a country full of people who want s thing delivered to hand for free. https://t.co/XKktQdofo1'",Nepal,1306715519836393473
humansnydercut,"b'If a mob assembles at your house, simply assert your antifascist credentials by producing a copy of Indiana Jones on bluray'",Nepal,1306714200962510848
BlessYaSoul,"b'RT @Hovain: I want us all rich, idc who first.'",Nepal,1306712748168863744
nisalatp,b'@TheDarthVegan @ThreeNewCrowns @JudeMelaka @ImSalmi27 @RehanaThowfeek Ofcourse.\n\nI have no issue with what they wan? https://t.co/oEbVNMoFsj',Nepal,1306712349244620800
nisalatp,b'@JudeMelaka @TheDarthVegan @ImSalmi27 @RehanaThowfeek That dose not make my point wrong. Right? Even they have to e? https://t.co/CPkkVy4kkt',Nepal,1306711484614029312
noseblush,b'@RadianceRune will you pick up',Nepal,1306709979559268357
redrum417,b'RT @Hovain: When ever @WESTSIDEGUNN hit you on the late night just know it?s about ???',Nepal,1306707559768702978
humansnydercut,b'@trisidorou @ofKorinth @sunlightsabre @an_angel_named corn did to europeans what liquor did to indians',Nepal,1306705863982215168
humansnydercut,"b'@SaxonNewfie In addition cattle can graze on land that would be impossible to use for crop farming, and unlike crop? https://t.co/bmCOkT69lx'",Nepal,1306704805163794437
Rossgarvey,b'@RiggsBarstool Cold beers #gmac',Nepal,1306704799946158081
humansnydercut,"b""@KazeNishizumi @sixerozu I can't say yes, but I can say I've been working on it""",Nepal,1306704754291036160
sixerozu,b'RT @humansnydercut: Loot I drop when you kiII me https://t.co/VebJYdwnZS',Nepal,1306703995646349313
humansnydercut,b'Loot I drop when you kiII me https://t.co/VebJYdwnZS',Nepal,1306703705232699392
_MsK_____,b'RT @_MsK_____: Picture with a deep meaning ?\n\n #PlankYouModi https://t.co/w50qviyTEo',Nepal,1306703635783585800
_MsK_____,b'RT @_MsK_____: G\n    O\nO\n    D\n\nN\n     I\nG\n     H\nT https://t.co/oLnGIDB4yJ',Nepal,1306702229383110656
_MsK_____,b'G\n    O\nO\n    D\n\nN\n     I\nG\n     H\nT https://t.co/oLnGIDB4yJ',Nepal,1306700273386225665
HARSHAMADURANG_,b'@OvinKaushalya96 @sandyt562 ?one pack ??',Nepal,1306692477622120453
_MsK_____,b'@Alya_ism LOB U ALUUU ??',Nepal,1306689756777123840
__SharekaL,b'RT @Hovain: The crazy thing about being an over thinker is your right most of the time.',Nepal,1306688968608673795
brapbunny,b'RT @Hovain: I thought a bitch who sell her food stamps said something ? (Cause I?m buying them if ya are lol ) https://t.co/BvJwmm924G',Nepal,1306687389885067264
RayyappanSaran4,b'RT @DD_nas_: Director @Dir_Lokesh than Rt pannitaronu nenachen ??\n\n #INDIAsMostRTedVIJAYSelfie #Master https://t.co/Vhy46mfzxx',Nepal,1306683175033217025
AmbroseNewton8,b'RT @kavikaushi_: Just a lol ?\n\nMy New Insta ? https://t.co/pBl9dS9kfr Follow Me ? \n\n#WednesdayThoughts https://t.co/OIliP0Sidf',Nepal,1306683101297352705
RayyappanSaran3,b'RT @DD_nas_: Director @Dir_Lokesh than Rt pannitaronu nenachen ??\n\n #INDIAsMostRTedVIJAYSelfie #Master https://t.co/Vhy46mfzxx',Nepal,1306682162976968704
chasinbangtan,"b""RT @tae_lien7: Sri Lankan ARMY let's keep tweeting ?\n#BreakTheSilenceToSriLanka\n#BREAKTHESILENCE_THEMOVIE\n\nPlease bring it to Sri Lanka too?""",Nepal,1306681658137927680
