user,text,country,id
ryanladarius,b'RT @thankuneeext: @ladygaganownet it should have been 9:11',Norway,1306714202535493637
Lethaaaaa,b'RT @kvng_kelv: ?Ong I?m done with ha this was the last straw omm I?m dead serious this time?\n\nA few toxic hours later:',Norway,1306713098800246785
nickalatriste,b'@AnthonyMozzott @cafecondigital @ladojr21 @joshzaleznik @djdazmiami On attire alone definitely you',Norway,1306712040355106817
IamKudu_,"b'RT @RacksOnZach: Letting a girl buy you a PS5 is signing a 360 deal, don?t fall into that trap fellas.'",Norway,1306711573021495297
emirG_Hue,"b'Listen the president is gonna blow cocks, that?s confirmed. So make sure your local representatives are people you? https://t.co/uNmum7oTvw'",Norway,1306709962828197889
coachfreddiej,"b'RT @TXPrivateFBGuy: ? Preseason ?Others? Rankings? \n\n*This includes TAPPS D5 teams, Independent teams, TCAF teams, TCAL teams, UIL Private?'",Norway,1306709338124419072
X_AL13NC4T_X,"b""@beecrXssing I'm fine with the black one lmao""",Norway,1306709034930634752
emirG_Hue,b'Real https://t.co/bxde0oVKwK',Norway,1306709013531328513
thankuneeext,b'@PopCulture2000s simpler times',Norway,1306708743179173890
priscila_cout,b'@diwantstodie Don?t even think about it',Norway,1306708356153913344
jemenuie,b'@_lalaboo_ @aminoo_9587 @tevinauguste Le rapport ???',Norway,1306707810487500800
AyeItsJoel,"b'RT @RacksOnZach: Letting a girl buy you a PS5 is signing a 360 deal, don?t fall into that trap fellas.'",Norway,1306707148022448134
lilatom08,b'@big_business_ I know JR killed that dude',Norway,1306707050739781635
thankuneeext,b'@ladygaganownet it should have been 9:11',Norway,1306706492645683203
jemenuie,b'Camille https://t.co/1i3abZJyi6',Norway,1306706430075043846
onosetale_,b'@Corllo1 Alright. Alright. I?ll spare you.',Norway,1306706211350425601
lilatom08,b'@missleighcarter @Dojafat Anybody else notice how she had eyes like bugsy from bedtime stories?',Norway,1306705463736705025
Toris100,b'5 of 5 stars to Hero Code by Lindsay Buroker https://t.co/rbidr4UE2E',Norway,1306704738545795074
JoviMosconi,b'RT @CherryTNT_: Custom Jotaro ashtray i did for a long time friend ! #JoJosBizarreAdventure #JotaroKujo #anime #resinart https://t.co/jK1TZ?',Norway,1306703299568173064
onosetale_,"b'@Corllo1 It?s nothing personal bro, no hard feelings?'",Norway,1306703104587558914
ThatOldTV,"b""@SpawnWaveMedia Ngl but I'm not too bothered by any of the recent shitstorms Sony got themselves into, the only rea? https://t.co/59bbOG4IjM""",Norway,1306702924182163458
BarryR96,"b'RT @RacksOnZach: Letting a girl buy you a PS5 is signing a 360 deal, don?t fall into that trap fellas.'",Norway,1306702834818113537
onosetale_,b'@hazeydaisiesss Bathong. I was talking about fruits yoo?',Norway,1306702755000733696
CherryTNT_,b'RT @CherryTNT_: Custom Jotaro ashtray i did for a long time friend ! #JoJosBizarreAdventure #JotaroKujo #anime #resinart https://t.co/jK1TZ?',Norway,1306702347041730561
Davidhillx,"b'RT @Logan_blaneee: Someone tried to put a brick through my mums shop window in maybole, anyone know anything about it? Dirty rat bastards h?'",Norway,1306701796816154628
UnitedDaily10,b'@Rixchel1 @CFCJay__ @FrankKhalidUK Who? Haven?t missed sancho yet lol. And we got vdb. Thats our 2 Mail targets?',Norway,1306701541768867847
ReAnimetron,b'RT @CherryTNT_: Custom Jotaro ashtray i did for a long time friend ! #JoJosBizarreAdventure #JotaroKujo #anime #resinart https://t.co/jK1TZ?',Norway,1306701430103986177
Rayyy__p,b'RT @onosetale_: Today?s TL is pure cruise???',Norway,1306701410977882112
CantusTheFolf,b'@thesims_plus Had to change that tweet huh? ?',Norway,1306701366526705664
BrandonHodge,"b'RT @RacksOnZach: Letting a girl buy you a PS5 is signing a 360 deal, don?t fall into that trap fellas.'",Norway,1306701313124847616
thankuneeext,b'@woominaj @PopBase we do',Norway,1306701074175229953
onosetale_,b'Today?s TL is pure cruise???',Norway,1306700954222428160
Mie121501,b'@MirallesJove And you are my one and only??',Norway,1306700902191960064
Mie121501,b'@MirallesJove Im so lucky that i have you ??',Norway,1306700678484512768
thankuneeext,b'@BuzzingPop QUEEN',Norway,1306700633353920514
UnitedDaily10,b'@jerome_fizzy @ryzio270 @CFCJay__ @FrankKhalidUK Best team in the league with Bruno. ?Finished club?',Norway,1306700483395022848
Mie121501,b'@MirallesJove GOOD MORNING MY LOVEEEE',Norway,1306700357712580608
debayankundu10,"b""RT @tvaellatips: ?Friday's #BOTD!\n\nBet of the day!\n?18.09.2020 13:35 CET??\n??Guangzhou Evergrande vs Henan Jianye??\n?Odds 1.85 / 7 Units\n#D?""",Norway,1306699955495731200
Gluck1k,"b'RT @RacksOnZach: Letting a girl buy you a PS5 is signing a 360 deal, don?t fall into that trap fellas.'",Norway,1306699931747573761
onosetale_,b'@Corllo1 Lmfaooo. Come and smash it naw',Norway,1306699396755709957
mftrainwreck07,b'What should we watch',Norway,1306698258371108864
Robles04,b'RT @TXPrivateFBGuy: ? Preseason TAPPS D3/4 Rankings? https://t.co/HXfuKSZUmR',Norway,1306698039525027841
AnoniMikee,"b""RT @tvaellatips: ?Friday's #BOTD!\n\nBet of the day!\n?18.09.2020 13:35 CET??\n??Guangzhou Evergrande vs Henan Jianye??\n?Odds 1.85 / 7 Units\n#D?""",Norway,1306697797668872193
_uggghh,"b'Wear a fucking mask, so you don?t smell poo poo pee pee caca and we don?t wanna see your ugly face https://t.co/iV8KcG4EvH'",Norway,1306697440133746688
grasnifn,b'@NonClawKai @dxzz1e Honestly idk dm me who it is',Norway,1306695888102985729
tvaellatips,"b""?Friday's #BOTD!\n\nBet of the day!\n?18.09.2020 13:35 CET??\n??Guangzhou Evergrande vs Henan Jianye??\n?Odds 1.85 / 7 U? https://t.co/5fAwAE6QW1""",Norway,1306695433725636608
grasnifn,b'@dxzz1e @NonClawKai who is it?',Norway,1306694986193342465
grasnifn,b'@NonClawKai @kcuqz whos it',Norway,1306694436596969475
onosetale_,b'@hazeydaisiesss English please??',Norway,1306694168861970433
Softsdiarra,"b'monty, se gostar do jasper favor da block https://t.co/9RatkphJcY'",Norway,1306694165758193664
