user,text,country,id
Eesha_10,b'@WaseemBadami wish @Sakina_Raza16 \nA very happy birthday plzzz naaa',Pakistan,1306715633535549440
AdanAbbasi9,b'@usmi_says @White_Knight_09 Noight??',Pakistan,1306715606864060416
KgeKjell,"b""Meet Anniken Krutnes, Norway's new Ambassador to the US who presented her credentials to @POTUS today. @NorwayAmbUSA https://t.co/l1ddgt63gn""",Pakistan,1306715601272999939
TarikJaffery,b'Nature is ultimately hitting a balance to protect the planet! Nature has its own ruthless and brutal ways to ration? https://t.co/3yBmTosl1T',Pakistan,1306715598026661898
SabirShah115,b'RT @FarhatullahB: APC demanded annulment of 19thAmend. Called for a new forum for judges appointment in which all stake holders sit togethe?',Pakistan,1306715593345847297
_adelaide2,b'heres mine https://t.co/KDkjZlSVwY https://t.co/Foo5KBx7TO',Pakistan,1306715593068871680
SabirShah115,b'RT @FarhatullahB: APC declared NAB as instrument of political manipulation. Demanded new accountability law. Called for accountability of a?',Pakistan,1306715581123571715
Brig_Munir,"b'According to a confidential report commissioned by NATO, Mullah Yaqoob?s aim is to achieve independence for  Afghan? https://t.co/uaRWRq2AgZ'",Pakistan,1306715579542315009
SabirShah115,b'RT @FarhatullahB: APC of political parties &amp; Pak Bar Council in Islamabad today. Joint Declaration expressed grave concern over interferenc?',Pakistan,1306715558323380224
SMH_Pakistan,b'@YusufMoeed @IPRI_Pakistan Pls also share how u hired hussain nadim on such a sensitive government position without? https://t.co/jP8muLItOo',Pakistan,1306715507966595073
Eesha_10,b'@WaseemBadami can u plz wish me happy birthday eesha bete :)\n Its been more than a month ?',Pakistan,1306715458163421186
Khan82542526Ak,"b'RT @gilmour_wendy: Spectacular beauty of the #Astore Valley, #GilgitBaltistan: trekked from Rupal to Rama Meadows around the NE side of Nan?'",Pakistan,1306715436655009793
errorxz0ne,b'@jzsusx @softheartmusic im holding my dog HOLD ON',Pakistan,1306715427222020096
happilynevraftr,b'RT @Khaaksaar__k: Please tip the guards at restaurants/cafes. Waiters get tips but these people are deprived. They get paid same as the wai?',Pakistan,1306715373438480385
HasnainR_,"b""RT @RaahatUllah: I don't know what's going on in Islamabad.\n. \nThis is what I just saw. https://t.co/yMkr7KVKdk""",Pakistan,1306715362906566658
Eesha_10,b'@WaseemBadami can u plz wish me happy birthday eesha bete :)',Pakistan,1306715348729823232
mohsinmalvi19,b'@neelofer23 @Manzoor01162219 @ilyashussain67 @qaispoint @saranoo14119598 @gujrat_hussain @MrNaassir? https://t.co/apWOJyEXfA',Pakistan,1306715344720015360
