user,text,country,id
darussoj,b'Las ketchup https://t.co/vvqz2GBAVS',Panama,1306709380189085697
Arielalexi2,b'@couple1981 Rica fula',Panama,1306704039384580097
Andresjesus0,b'@veronicavvs29 After birria :?(',Panama,1306702051183919104
luaarip,b'@lmonboii EXACTOO DISELO',Panama,1306701710468018176
halfiddd,b'tf r u doing',Panama,1306692719801241603
halfiddd,b'@valnoexiste bc y?all dumb',Panama,1306692644941295616
halfiddd,b'@kaybeermann Obvi x2',Panama,1306692597646266375
halfiddd,b'im craving some chocolate chip cookies rn???',Panama,1306689617542946833
pretto_gaby,b'@Glorissapinoo Same?',Panama,1306688429049212932
halfiddd,b'might fuck around n gtfo',Panama,1306687923950100494
abby_wood14,b'5- you?re the baddest bitch &amp; i love your confidence ??',Panama,1306685174600462338
Jeancfv03,"b'@yeilynypd Well, then you might be getting into some sort of deeper shit.'",Panama,1306684252705222657
abby_wood14,b'8- you?re so funny &amp; drop dead gorgeous ???',Panama,1306684102725124096
abby_wood14,b'22- you?re so kind &amp; beautiful ?',Panama,1306683946780913664
abby_wood14,b'96- you?re the sweetest soul i?ve ever met &amp; im so thankful for our friendship? love you?',Panama,1306683848227389440
abby_wood14,b'16- you?re so freaking sweet and i miss smoking w you and kelso in the onion fields ???',Panama,1306683525337210880
abby_wood14,b'24- you have a rad style &amp; you?re gorgeous ???',Panama,1306683323469557760
abby_wood14,b'1215- dude i love your vibe and your energy ? you?re a bad ass photographer and i can?t wait to work w you ? love you ?',Panama,1306683241072529409
abby_wood14,b'69- how did i know you were gonna pick that number ?? but anyways you?re beautiful &amp; i freaking love your wild ass! miss you ?',Panama,1306683071173779458
yeilynypd,"b""RT @Jeancfv03: @yeilynypd DON'T. It's not worth getting hurt at your age and going through depression and shit. You better focus on your ca?""",Panama,1306676783710982145
hilarylissethc,b'Fuckry? https://t.co/R1HJLq4Flb',Panama,1306666664696610816
Leoue3,b'RT @apachelasminas: #kodigos #backtothebeat #djtranse #capaz #gcurin ??????18/09/20 Ready? https://t.co/9tbRm89qHh',Panama,1306662332626591746
JHEchevers,"b""A New View of Jupiter's Storms via NASA https://t.co/qPHxnDjEun https://t.co/pwoQXB3dgW""",Panama,1306661260516364290
LAlfaro03694591,b'RT @apachelasminas: #kodigos #backtothebeat #djtranse #capaz #gcurin ??????18/09/20 Ready? https://t.co/9tbRm89qHh',Panama,1306658957579223040
joaquinzalazars,b'RT @apachelasminas: #kodigos #backtothebeat #djtranse #capaz #gcurin ??????18/09/20 Ready? https://t.co/9tbRm89qHh',Panama,1306656883915321344
apachelasminas,b'#kodigos #backtothebeat #djtranse #capaz #gcurin ??????18/09/20 Ready? https://t.co/9tbRm89qHh',Panama,1306656172204847105
Jeancfv03,"b""@yeilynypd DON'T. It's not worth getting hurt at your age and going through depression and shit. You better focus o? https://t.co/86GK5DMmjZ""",Panama,1306651821302337545
T_Shipley3,b'RT @abby_wood14: huge things coming for winding roads ?? so freaking pumped',Panama,1306643977823608832
halfiddd,b'@babigyalz ly bb???????',Panama,1306641813374197767
starssssssy,b'@zenitsluv 5 de Black bluter',Panama,1306637749026516993
alvaritojj24,b'@aguerosergiokun Sterling es el impostor @aguerosergiokun',Panama,1306627577927348225
abby_wood14,b'77.5- you?re gorgeous &amp; a bad ass! i can?t wait to take your senior pics?',Panama,1306626419569520640
abby_wood14,b'33- you?re beautiful and have a HUGE personality!?',Panama,1306626127905959936
abby_wood14,b'12.9- you?re gorgeous &amp; i hope you?re doing good ?',Panama,1306625970556661761
abby_wood14,b'9- i love what y?all do! so freaking talented and creative ?',Panama,1306625882069463040
abby_wood14,b'77- you?re so talented at drawing &amp; have a killer style ???',Panama,1306624187000188929
abby_wood14,b'23- bro you?re so fucking funny? your stories make me laugh. you?re gorgeous and i hope you?re doing good ?',Panama,1306624016376107010
abby_wood14,b'14- you?re gorgeous &amp; have beautiful eyes ??',Panama,1306623796564996099
abby_wood14,b'54- you?re my favorite person in the whole world and i?m still waiting for you to come see me??',Panama,1306623682966503428
abby_wood14,b'6.9- i freaking miss you. hope you?re doing good shawty ??',Panama,1306623545972109313
abby_wood14,b'19- dude you are like drop dead gorgeous ?? you?re a bad ass &amp; i love your ambition',Panama,1306623404120797184
abby_wood14,b'14- you?re beautiful &amp; gonna do so good in life! can?t wait to watch you kick ass? love u blondie',Panama,1306623152286437376
abby_wood14,b'13- you?re gorgeous &amp; look like you have a fun vibe ???',Panama,1306622991002824710
abby_wood14,b'94- i want your freaking dog? you?re gorgeous &amp; i hope you?re doing good &lt;3',Panama,1306622878318641153
abby_wood14,b'3- you?re beautiful &amp; i hope you had a happy birthday ???',Panama,1306622737708806145
abby_wood14,b'10- you?re very pretty ?',Panama,1306622564945420289
abby_wood14,b'17- you?re pretty as fuck &amp; i wanna shoot w you!??',Panama,1306621409599266823
edmosaquites,"b'@RobertDeNiroUS The thing is calling a bad behavior by someone else\'s name. Why ""TrumpCult""? This is being reported? https://t.co/t2jFxXKcPX'",Panama,1306613780818923527
NovaroThania,b'Mood https://t.co/5EcD4f02us',Panama,1306610594255175682
TitoHerrera,b'Just posted a photo @ Azuero Peninsula https://t.co/aBpsp9VpCA',Panama,1306579952402411520
HostelKimmell,b'Just posted a video @ Hostal Familiar La Casita de los Kimmell/Hostel Kimmell https://t.co/CVv7h2JsGW',Panama,1306563574307880960
aldayr07,b'Only 106??',Panama,1306523510081302535
Jeancfv03,b'@Jemr1206 Hay homosexuales en TINDER? O solo straights?',Panama,1306470598986608640
Chitreanos,b'RT @marimen0927: @Chitreanos Debe ir a Guinness.',Panama,1306435484198072322
S14Isaac,b'@slitherysebas E46 next',Panama,1306431057076482050
gelosolanilla,b'@KikeValenzuelaL Don king...',Panama,1306427440798011397
pretto_gaby,b'@estefanycmr4 Te tan haciendo la will smith',Panama,1306414481099157505
oskarnd182,b'RT @yinelysdl: This https://t.co/tNcUanKk6u',Panama,1306408636550451205
marimen0927,b'@Chitreanos Debe ir a Guinness.',Panama,1306407227696312321
ed_vasquez21,b'@MariStories Such a mood',Panama,1306395754148360192
Carmillax1,"b'RT @hurtslikebeer_: feeling that you bore someone when you tell them how you feel or that you r going through a bad time is too painful, it?'",Panama,1306393745747775492
yinelysdl,b'This https://t.co/zJCKcFe8PR https://t.co/tNcUanKk6u',Panama,1306381249783758849
HarathZapata16,b'@gerardmau_10 Jurao',Panama,1306363277090402307
hountguy,b'It so hot ????? https://t.co/TdI6mL5QvO',Panama,1306351483806453760
Jeancfv03,b'Esta historia es demasiado hermosa. ??\nLook at how happy and healthy they look? https://t.co/IyC6qIj59m',Panama,1306349848761978880
DannaaST,b'Welcome Back #99??? https://t.co/IMbvWBe0zz',Panama,1306344144567230465
DropeAzael,b'@carlosarauzc Online cheaper',Panama,1306343659000954881
S14Isaac,b'Dweebs https://t.co/8TBFbkhPzR',Panama,1306335739584475137
juandruu,b'entonces xbox o play ?',Panama,1306334752262230018
hurtslikebeer_,b'Alexa play the man',Panama,1306333939657838601
S14Isaac,b'@cristian5198 Rip my knees https://t.co/LWfqXv6Dn8',Panama,1306325501280051200
Juan110975,b'The Black Eyed Peas - Shut Up (Official Music Video) https://t.co/DoqNh9D9yq a trav?s de @YouTube',Panama,1306324286525841409
JosephGTrejos,b'Al fin? https://t.co/giqQGRSpjD',Panama,1306324283392692224
hurtslikebeer_,b'feeling that you bore someone when you tell them how you feel or that you r going through a bad time is too painful? https://t.co/eRYX9ZLm2S',Panama,1306318574689161216
S14Isaac,b'My car ran me over that?s it for sell ?',Panama,1306317344399007745
JHEchevers,"b'NASA Image Shows Fires, Hurricanes Across the U.S. via NASA https://t.co/vMutVxBzCj https://t.co/jVlOEQGR86'",Panama,1306313940268396549
hurtslikebeer_,"b'@madisonbeer girl a lot of love to you, thank you for talking about mental health in a way no one else does'",Panama,1306296513115627523
danieldevildog,b'From Paris with Love',Panama,1306295644525662208
hurtslikebeer_,"b'I understand you perfectly, practically that is my situation https://t.co/e01xOvbDGA'",Panama,1306293530038542336
rosieporras,b'@FabianUrcia_ Okay ?',Panama,1306287835968831489
jcorreao,b'@mchong21 Super',Panama,1306264031985049604
josexitox,b'I like it',Panama,1306238520693002241
nicold014,b'@GRiquelme05 A novey ???',Panama,1306237766829834242
griseldaivet,b'i can?t stand ppl https://t.co/c6IciUsQDt',Panama,1306235243100336129
elandrewss,b'RT @griseldaivet: ?Manifesting?',Panama,1306234377135939592
griseldaivet,b'?Manifesting? https://t.co/azzHn14XBI',Panama,1306233944837324803
JosGilMorenoRa,b'@oracion_milagro Amen',Panama,1306229822931300353
halfiddd,b'@pauuuu_19 hello clairo',Panama,1306218131271147521
ShoEmber,b'@jocelynearauzz Man i feel u!',Panama,1306214867309924353
EdwardSandovalQ,b'Morninggg',Panama,1306198095357771776
HnzzzLuis,"b""Cause when you love someone\nYou open up your heart\nWhen you love someone\nYou make room\nIf you love someone\nAnd you'? https://t.co/Y1AAOCMnpu""",Panama,1306187836555624448
HnzzzLuis,b'how could i make you love me? ?',Panama,1306186394897805312
HnzzzLuis,"b""because i'm toxic and a piece of shit.""",Panama,1306139387218898944
HnzzzLuis,b'my friends hate me now.',Panama,1306139091126243329
Rogue1movie,b'RT @SeniorStrange: Star Wars. https://t.co/22NzhoIaIX',Panama,1306123069556232195
SeniorStrange,b'Star Wars. https://t.co/22NzhoIaIX',Panama,1306122418763829248
halfiddd,b'@clownviccc why not?',Panama,1306110144217067522
S14Isaac,b'@ericespinozaaa Max talks out his ass sometimes',Panama,1306110107554512897
MaryoriVigil3,"b'RT @_adrian02: Heelp, quien ha comprado zapatillas por Shein???'",Panama,1306103705721360384
S14Isaac,b'? never disrespect Kobe ever again https://t.co/KHss2RZUuQ',Panama,1306099307838283776
diegovlopez_,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307066147573960704
Scorpile,"b'@LinusTech i have an idea for a video on ""how dumb the ecosystem concept is""... about a company that sells stuff  a? https://t.co/7mYnzE1BTI'",Panama,1307066119392559104
AMQRvmin,b'@Jhope_ChartData @BTS_twt @iambeckyg he deserves it so much! congrats to hoseok and becky?? #CNS100thWin #JhopeiTunesLegend @BTS_twt',Panama,1307066096353267716
ArmandoTheUser,b'@Paincaked What ????',Panama,1307066061158785033
mika_1110,"b""If this room was burning\nI wouldn't even notice\n'Cause you've been taking up my mind\nWith your little white lies""",Panama,1307066018058178565
Themaritimepil2,"b'@GaPorts @johnmorgan726 @cmacgm 366m lenght, 51m beam, 150k tons. That is not a toy!'",Panama,1307066015709368325
MirandaAbdel,b'@murgastorrazza ?????\nDamn https://t.co/784RpkMepD',Panama,1307066008054755335
ZismanTax,"b'On Wednesday, President Trump urged Republicans to ""embrace a larger coronavirus stimulus package as a top White Ho? https://t.co/PyaCkadlkF'",Panama,1307066002920923144
freddypitti,b'@edjch011 @jcocallaghan Android? Never in the life!! ? #JustKidding',Panama,1307065990174437376
C_Geeezy,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307065980116439042
lotusoul__,b'@brivnvndrew @deremon this you ?',Panama,1307065959774072838
notallbhas,b'RT @deeeeeex_: henlo! a very good friend of mine has been going through a rough patch after she lost her job due to unfair circumstances. i?',Panama,1307065955508539392
YaBoyDlike,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307065884511555585
deepinguinohard,b'Am I proud? Well ofc I am',Panama,1307065803179790336
JosiasTheKing19,b'@lexiexroses @DerosaRoxy Too gorgeous',Panama,1307065751396909059
HighimJoel,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307065686666153990
pubsubJJ,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307065590381711363
lachicamilanesa,b'@amandamachado_2 I be loving the fit???',Panama,1307065579744956417
codylegoddess,b'Old Cody stuck around to make things right new Cody just keeps it pushing. \n\nYou?re not for me.',Panama,1307065567971602432
bbfromtheblock,b'RT @Heatside: Works for me. https://t.co/L0QrW9XAIU',Panama,1307065541522337792
DmcTheOriginal,b'RT @codylegoddess: Pop smoke was definitely headed somewhere with his music.',Panama,1307065519380598784
pulgapurpp,b'@Aki_Limonsin  ven a discord',Panama,1307065391202566153
mariecarmen_s,b'Anne with an E. #renewannewhitane https://t.co/4gq5niMF0C',Panama,1307065380347707394
