user,text,country,id
EvitaLyrics,"b""There is only one man who can lead any workers' regime\nHe lives for your problems, he shares your ideals and your d? https://t.co/UbZgbPvOB6""",Peru,1306713285991956480
LlNOACE,b'@skzmind our mind &gt;&gt;',Peru,1306712633337413633
LlNOACE,b'@HWNGKITH idk why is ta so low but another day..yh',Peru,1306712065701224452
LlNOACE,b'hey stays https://t.co/rKG9JgrF7i',Peru,1306711231244447744
Marcocescar,b'@hugel98 I always tell you the truth ? love you ??',Peru,1306709023203393537
LlNOACE,b'@skysseung blueprint 16...why is pacemaker that high',Peru,1306706599663284224
LlNOACE,b'@hnipia @skysseung yeah no',Peru,1306706379575525378
EvitaLyrics,"b""Instead of government we had a stage\nInstead of ideas, a prima donna's rage""",Peru,1306705767366418432
LlNOACE,b'@flwrIino link plsls lol',Peru,1306705435915939840
LlNOACE,b'@flwrIino ex too low',Peru,1306705284912513024
LlNOACE,b'@linovanter how is airplane last and pacemaker in the top 10 ?',Peru,1306705085817335810
PezMazorca,b'@GABRIEL213232 @sxft_sonyeondan @DalasReview calla lisa burns ??',Peru,1306701970380664833
carbonel_bryan,b'Don don don don',Peru,1306701392518807554
LlNOACE,b'@yvsclt airplane too low',Peru,1306699769230884864
EvitaLyrics,"b""[Mistress:]\nSo what happens now?\nSo what happens now?\nWhere am I going to?\n[Peron:] You'll get by, you always have before""",Peru,1306698186510053381
ravikyun,b'RT @kshpictures: 191128 ? memory box \n\n#SEUNGHUN #?? #CIX https://t.co/5LrEJskx3Z',Peru,1306697948193980416
12bis1994,b'Good Afternoon... https://t.co/MxM42VHUAy',Peru,1306697034917969921
crysquijano2015,"b'RT @SuperSecretario: Best placa, ever https://t.co/99P0C2TqM6'",Peru,1306696903569088512
EvitaLyrics,"b""Put me down for a lifetime of success\nGive me credit, I'll find ways of paying""",Peru,1306690653204615169
LlNOACE,b'@markcheated horny bitch...okay',Peru,1306690458073075714
LlNOACE,b'@cheesyminhos how so',Peru,1306690279362174999
LlNOACE,b'i think i can recognize all tbz members now hehehe',Peru,1306690145165418498
LlNOACE,b'@linosclt same',Peru,1306689821545463809
